family,n,rmse_Z_mean,rmse_Z_std,rmse_F_mean,rmse_F_std,rmse_sigma_mean,rmse_sigma_std,rmse_Y_mean,rmse_Y_std,rmse_X_mean,rmse_X_std,w0_err_mean,w0_err_std,w_err_mean,w_err_std,BIC_mean,BIC_std,elapsed_s_mean,elapsed_s_std
bernoulli,50,0.20300320749722717,0.01614890374883288,0.05813675430351882,0.011544948272070678,0.02795076088668937,0.005948218201824605,0.09986172210797166,0.00703691379441858,0.30360091882997875,0.010577096668058825,0.08111813204902507,0.06909314482462774,0.11655434456915177,0.06863692257159638,1979.8887547641425,58.96160944327968,4.950981307029724,0.24144315654457998
bernoulli,100,0.19263403451760894,0.013426419194579528,0.0369413604234954,0.006962117381263234,0.01914335407784883,0.004339906307353458,0.09507844729630154,0.006503851327048759,0.308002951216681,0.0033989949692683125,0.0567548900172854,0.04080229430642023,0.09747658071710871,0.04218820550838698,5919.036644504169,101.94359177121824,11.191602563858032,0.7544712400286696
bernoulli,150,0.18004533821880636,0.003620322670772304,0.03257609651934246,0.004861218610815411,0.015843050922550724,0.0026365068673393057,0.08641282251116097,0.0023758447782030027,0.30999569034729013,0.0050303030395676025,0.03193948875543131,0.029803839708477407,0.0674268380153192,0.02879940606889145,11828.613242882955,216.35366579222196,19.671323347091676,0.19578476238087494
bernoulli,200,0.17446782301210187,0.00552508503493164,0.026585533261799077,0.0055762474700033395,0.013236641892106719,0.0018372488083784294,0.08333622897132725,0.0019792112653413095,0.30671065065335423,0.004318127338163172,0.04137282492339024,0.02190713921463281,0.07037005160777716,0.03526045811236012,19798.729354234172,342.65915453049126,29.553479075431824,0.11486302599375758
bernoulli,250,0.16533034996014723,0.006121209266281672,0.02466481331087649,0.004120927899854307,0.012015527062893015,0.0029192770168128554,0.07814022297747293,0.0021140793991898375,0.310885496704724,0.004600369994425564,0.019187512802014205,0.012686416741664805,0.05406576067553646,0.022321628808863025,29787.70435132902,363.32082067371346,43.42349536418915,1.552732724577329
bernoulli,300,0.15712877664134356,0.00518843618256352,0.02513714565776311,0.006299516280586299,0.011029574358717075,0.0019314213679679992,0.07466449147256202,0.0024574842739624025,0.309394528228229,0.005550155542153711,0.022648847227363423,0.013394266845940679,0.057266890373713464,0.015750672277284848,41883.91138820343,530.0006060389546,53.506844353675845,2.686353588168896
gaussian,50,0.051898892337480504,0.002959976149552893,0.04816373419744884,0.006412321552118248,0.023587511158233966,0.00410462950732727,0.061784171970044655,0.0035942715863855404,0.30337728964061345,0.009587423931662868,0.0024665439831275996,0.0012110881009435163,0.0014132975299918859,0.0009375756573319869,-3269.914864970565,55.94567205795939,2.6692198514938354,0.018535007738763775
gaussian,100,0.03606321843757497,0.0015645445592408608,0.033321040466410885,0.0061867442206371085,0.016499390968342437,0.0026128316313427657,0.04379197635716843,0.001993845294839425,0.30990599549401737,0.003302512397616291,0.0012397682935958248,0.0007737700082498201,0.0005238412974219231,0.0005341099291486942,-15668.173683142722,88.80607472636166,5.584045171737671,0.12596344819210753
gaussian,150,0.028711864319900353,0.0006624475346317851,0.030351203923056062,0.007138933342654642,0.013166320740684346,0.0024801271473122773,0.03489773567746768,0.0008054248932261939,0.31319210929879904,0.006305110139622236,0.0007012503899170452,0.0005026238752175497,0.0004981639803708193,0.00040618273812925254,-37142.33590020343,209.96025219602475,9.043771314620972,0.21915311620130004
gaussian,200,0.02463760610095941,0.0005661441975826034,0.02380119478250268,0.0032660093133791593,0.011304427616072286,0.001534807158631686,0.02999200363346779,0.0006528642875400698,0.3122515971644194,0.005222552091767165,0.0004906273016011514,0.00046560137289672007,0.00038972542079820374,0.00020854816668787343,-67591.91303215898,188.36558493155783,13.087139439582824,0.08576123053400184
