family,d,rmse_Z_mean,rmse_Z_std,rmse_F_mean,rmse_F_std,rmse_sigma_mean,rmse_sigma_std,rmse_Y_mean,rmse_Y_std,rmse_X_mean,rmse_X_std,w0_err_mean,w0_err_std,w_err_mean,w_err_std,BIC_mean,BIC_std,elapsed_s_mean,elapsed_s_std
bernoulli,5,0.24210193644636674,0.01181640342393451,0.03396607595583917,0.006253664641372431,0.019263336035791924,0.004806903400908944,0.10914169372411968,0.005018315496258697,0.29542729090501807,0.00935133031046547,0.04455093155629584,0.02121227573415231,0.09861692900836454,0.017783415067852144,10968.32529238218,85.33458554211177,19.402380657196044,0.8915386045208358
bernoulli,10,0.20297636252142653,0.007216909416939499,0.028085730933954733,0.005894743849031569,0.017353483715900512,0.005000142438849168,0.09652261678268118,0.0025333549469515938,0.3018003465894481,0.006783960230870836,0.03093879229502845,0.02952262996887632,0.08339597198996214,0.03309359403813216,11366.957367604504,107.48530885299105,19.748639392852784,0.08690649889567124
bernoulli,15,0.17891665993831607,0.008342396425816308,0.0330609157329259,0.007531332928668664,0.01614011931175422,0.002288755521543294,0.0862850844565772,0.0039681460898386926,0.3060487139056388,0.003999125784059481,0.0351723182259556,0.027870039104331345,0.06489266736913109,0.023739043702873015,11801.93026311412,122.45250849011478,19.61353919506073,0.12668559556616418
bernoulli,20,0.16190986729568238,0.011695534514669835,0.03486424928273786,0.011553958659675333,0.015565283370144425,0.0019410819039956224,0.07968871952634138,0.006947353712775733,0.3094244258819213,0.006162802062064705,0.02396764552050946,0.018742639831764604,0.07181517186417732,0.04508294682630265,12317.446411473951,159.1426669425516,19.753247117996217,0.1813976603654894
bernoulli,25,0.1516598457476837,0.010060366174088913,0.03718661163215578,0.01196248757823327,0.015635263367083967,0.0030107580747120253,0.07564437357639014,0.0055984875648032815,0.3094906748230169,0.005016415179748907,0.02166766784153242,0.018103497224588837,0.06381032805828601,0.036701610268702584,12752.449288348756,211.13200018383765,20.150783038139345,0.6555198924219637
bernoulli,30,0.13894748661619324,0.011562230396778669,0.03560728909150004,0.01520922971379168,0.014930066370937236,0.0017067300889588883,0.06945353189982069,0.005495243010924247,0.3087201002098673,0.0028442596026913205,0.02060053353877602,0.011308363568430261,0.0498423662512788,0.03563717191395263,13128.439741068685,171.5696009032749,18.45800232887268,0.4724118746873883
gaussian,5,0.02831365368024726,0.0010565509143924587,0.029504002180121357,0.005854276205530778,0.01153318346515152,0.0034051712296562747,0.03454410779165985,0.0013085118966973102,0.3082867811104301,0.007808892845138021,0.0007275571098587532,0.0002868456127397317,0.00046717974886997804,0.00041083491633714397,-38171.79707655909,176.082864241503,10.297822570800781,0.15127951113833701
gaussian,10,0.028274346711931058,0.0010734694313804247,0.026644280348167088,0.005467944761026134,0.013260647514526214,0.004500800947623313,0.034436063081551685,0.0013280269081022116,0.3085548570783213,0.005426272750345613,0.0008933286725326761,0.0004170127575733004,0.0006821027255122403,0.0003766599532517999,-37709.07399918577,174.67793563040763,10.450610637664795,0.524952137498081
gaussian,15,0.028257247588015604,0.0007004606630726938,0.02727366276394872,0.0033622423112716873,0.013861399247620657,0.001741898060426473,0.03443635758240787,0.0008377348360629537,0.3107303833175545,0.004072210412496358,0.0009527227159155701,0.0003601926758551282,0.0004090337730311644,0.00042506136342418296,-37244.14761029627,213.09413046091916,9.941155004501343,0.07848269690354066
gaussian,20,0.028142938135976993,0.001372631678117268,0.02707795526514703,0.005157459429654611,0.013950593633125497,0.0015181668722252203,0.03427073175438104,0.0015603239361498852,0.311577206751301,0.005726936495569528,0.0009131037761612858,0.0004013700732142191,0.00021656590971630418,0.00017898274021580312,-36766.43787349238,232.91317090402708,10.129932260513305,0.19004404664945113
