family,condition,trial,data_seed,rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,Q_final,w_est,nan_occurred,BIC,elapsed_s
bernoulli,proposed,0,9500,0.19122966088459384,0.036825622402493284,0.018449157388703785,0.09377937478586601,0.32765363235803546,0.06682009711504289,0.12355750203718263,-6031.861437880559,1.3764424979628174,False,12349.329087524604,19.145739555358887
bernoulli,proposed,1,9541,0.1848941695233854,0.038299994983541676,0.01657927862913563,0.08571986692984407,0.30542430235874013,0.022975563923622544,0.09114930961455725,-5768.083089808271,1.4088506903854427,False,11821.77239138003,18.76808524131775
bernoulli,proposed,2,9582,0.17137282809579432,0.029800453401111652,0.014019206260306229,0.0839813342134568,0.30820517564297056,0.005191949419723008,0.04377318344187664,-5791.328521342533,1.4562268165581234,False,11868.263254448553,18.99530839920044
bernoulli,proposed,3,9623,0.16585781068319744,0.02489439868632823,0.021229204724675703,0.08475902505239544,0.29392856155229086,0.021530489365990446,0.08146952372877325,-5680.204818101583,1.4185304762712267,False,11646.015847966653,18.875988483428955
bernoulli,proposed,4,9664,0.18279945433081154,0.0374187553450734,0.017563843716706343,0.08861752935834447,0.30607707466567213,0.06134762179465569,0.13407976590236892,-5998.703375282841,1.365920234097631,False,12283.012962329169,18.978214740753174
bernoulli,proposed,5,9705,0.16707916628489247,0.020506232095546015,0.015151228002783696,0.08283791005230066,0.304133416323931,0.004199139586861911,0.042658549161921355,-5713.715066444975,1.4573414508380786,False,11713.036344653436,19.68047070503235
bernoulli,proposed,6,9746,0.1733265867654052,0.04874987278656378,0.028581922067794682,0.08209500703679666,0.3171094587862275,0.0017261284283587308,0.0785883523124764,-5758.085435335701,1.4214116476875236,False,11801.777082434888,21.578410148620605
bernoulli,proposed,7,9787,0.17540249179009948,0.03141732461311938,0.013154155896116952,0.08699055877519501,0.31318481872723436,0.01919156987719195,0.052485834330201264,-5799.680871085142,1.4475141656697987,False,11884.96795393377,19.76694083213806
bernoulli,proposed,8,9828,0.17550173390182947,0.02844632665136781,0.018005593984998458,0.08593229772148825,0.31073268550508837,0.048933050592563254,0.048952592065334866,-5778.873348372648,1.4510474079346651,False,11843.352908508783,20.0853328704834
bernoulli,proposed,9,9869,0.17629836107450417,0.02364205763981441,0.016680526587846006,0.08485761038796864,0.2987879919551213,0.011837006290353225,0.09399361999271139,-5714.285939568394,1.4060063800072886,False,11714.178090900274,19.931771516799927
bernoulli,ablation,0,9500,0.32096331367370146,0.16462462761240484,0.019740292499601134,0.3104964738339668,0.3305356383094761,0.4282170010940627,1.5,-8633.826803517977,0.0,False,17553.25981879944,18.37447237968445
bernoulli,ablation,1,9541,0.262301416850217,0.05639253831868747,0.014772805772885044,0.3157381914134804,0.3097371693389033,0.40725218226505366,1.5,-8461.006654282322,0.0,False,17207.61952032813,18.531256437301636
bernoulli,ablation,2,9582,0.23218308219478734,0.05008300206903691,0.01448604771911162,0.31072930485555306,0.3110454541911344,0.4068625936017365,1.5,-8480.91170250916,0.0,False,17247.429616781807,18.48446011543274
bernoulli,ablation,3,9623,0.2153690606010266,0.06488604816152166,0.020479536978596207,0.3173255468288506,0.2979028096661545,0.42202006216147425,1.5,-8379.608183907045,0.0,False,17044.822579577576,18.19007921218872
bernoulli,ablation,4,9664,0.24775840416331846,0.07401703189315122,0.01861089275453729,0.30632621821797273,0.31091258085709644,0.4060832679096166,1.5,-8449.3340088552,0.0,False,17184.274229473885,18.206920623779297
bernoulli,ablation,5,9705,0.2100239313286941,0.03821822364067735,0.015885212106254175,0.3138134874162422,0.30918236153396095,0.4060832679096166,1.5,-8426.27070475916,0.0,False,17138.147621281805,18.12402868270874
bernoulli,ablation,6,9746,0.24843597549960406,0.09196188374853333,0.029279743669473227,0.3204077570811909,0.3192558675520447,0.41114535216412396,1.5,-8533.285704253527,0.0,False,17352.17762027054,18.552263259887695
bernoulli,ablation,7,9787,0.2628844316559729,0.08355914565470517,0.014459636308634097,0.3129341173406072,0.31759700822722314,0.4076417214911291,1.5,-8497.063353922998,0.0,False,17279.732919609483,18.272166967391968
bernoulli,ablation,8,9828,0.24490544970891842,0.05328563023889546,0.01795755530757755,0.31821579524565785,0.3146656770409815,0.4444256499742574,1.5,-8543.829748764125,0.0,False,17373.265709291736,18.19214367866516
bernoulli,ablation,9,9869,0.24020007155833428,0.050393639409249215,0.015266051729283433,0.3189285971574053,0.30370739895810056,0.41153439780023005,1.5,-8431.507837899419,0.0,False,17148.621887562324,18.33727717399597
