k_est,trial,rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,Q_final,Q_strict,BIC,num_params,elapsed,nan
1,0,0.7608995711131118,0.4661445738157526,0.9000000000000001,0.2578237194908518,2.0241763740470757,0.31389913425343263,0.5483595440891841,-7487.408570839053,-10384.876582757759,20844.912694926963,15,14.783945200000744,0
1,1,1.4104270252513058,0.7449553171051609,0.9000000000000001,0.2585436998916067,1.8161062236934589,0.321649571583249,0.38936517706299467,-8140.8507051603865,-10527.072157291128,21129.3038439937,15,14.82167870000012,0
1,2,0.7385250005392613,0.4149870903116956,0.9000000000000001,0.2502147467768315,1.8008359801584637,0.29913352439680685,0.27514567765274567,-7778.079745509062,-10235.720145238429,20546.599819888303,15,15.160837999999785,0
1,3,1.0959511636692367,0.6931807897753387,0.9000000000000001,0.261520887269856,1.8948167330668972,0.3239976602334613,0.593043563341974,-7431.868663848875,-10554.649593038037,21184.45871548752,15,14.88822970000001,0
1,4,1.3987298682689804,0.7759105341600793,0.9000000000000001,0.27488307141607066,2.088951654616355,0.33277634099661224,0.6871356276376778,-8288.437922112806,-11091.400496848386,22257.960523108217,15,14.972669500000848,0
1,5,0.6899758936448295,0.4953133034117015,0.9000000000000001,0.23856961038875912,2.0115330246845478,0.265388188370982,0.3247442189522456,-7560.410318293163,-10308.111832251245,20691.383193913935,15,14.740885200000776,0
1,6,0.9868198735845162,0.6642780782403719,0.9000000000000001,0.2547250786647381,1.8464426441351434,0.3119012643081046,0.4204773132793791,-7499.28177774916,-10350.554356758119,20776.268242927683,15,14.948233600000094,0
1,7,0.8925607617538535,0.5814441397831934,0.9000000000000001,0.25510057999456703,1.9495873325322135,0.32485327915285056,0.32985849355370633,-7994.945348730498,-10524.527509474134,21124.214548359712,15,15.1451433000002,0
1,8,0.7834778495073393,0.5484436308911748,0.9000000000000001,0.26397810972162744,1.9784795376240074,0.3667891890205215,0.4932327702581738,-7963.329907247226,-10644.605858463992,21364.37124633943,15,15.27033609999853,0
1,9,0.7690788810980124,0.4874570888888515,0.9000000000000001,0.26544103395289315,1.72946340169014,0.30776451718364206,0.46301938765227857,-7825.102533009546,-10342.840958448052,20760.84144630755,15,14.865223400000104,0
2,0,0.5166644755133692,0.20551460915232245,0.9000000000000001,0.1958651454975537,1.3426778221994389,0.19118496009669805,0.3156532554019926,-6237.430225790318,-9134.898237709025,18415.10489894684,29,17.162518099999943,0
2,1,0.572886089888516,0.31718115835375704,0.9000000000000001,0.20232694218887998,1.514739669820077,0.2034299215964921,0.24161973571696738,-6890.9347480454435,-9277.156200176185,18699.62082388116,29,17.00889669999924,0
2,2,0.7338427508668305,0.40978579981551655,0.9000000000000001,0.1904810529190066,1.5059906839379333,0.18660476633956213,0.26085172816225977,-6694.739249543358,-9152.379649272723,18450.067722074236,29,17.11726710000039,0
2,3,0.950594258867376,0.4919884086409322,0.9000000000000001,0.21399766179050916,1.5771615063638602,0.2229589031357051,0.41345487590274277,-6412.656819587257,-9535.43774877642,19216.18392108163,29,16.877817900000082,0
2,4,0.7870829564216111,0.33971615736164995,0.9000000000000001,0.22088131624885027,1.6507357639861218,0.2250237333702496,0.5032235462212549,-6882.206606489768,-9685.169181225348,19515.646785979487,29,19.752397899999778,0
2,5,0.7816711130906683,0.434399673589937,0.9000000000000001,0.1986119858102053,1.5694551829898582,0.18270114038967333,0.34266011686235753,-6593.8822287902385,-9341.58374274832,18828.47590902543,29,18.878610499999922,0
2,6,0.6542122682398994,0.3180540689390145,0.9000000000000001,0.20582931506994315,1.418379703579017,0.20610959485693503,0.3032606529907671,-6323.3817211607,-9174.65430016966,18494.617023868108,29,17.079816699999355,0
2,7,0.7363184560398823,0.44594235234371865,0.9000000000000001,0.19793089237398087,1.4785758254921983,0.20936236992569635,0.23387644080071568,-6589.691907992635,-9119.27406873627,18383.85656100133,29,17.238271899999745,0
2,8,0.9324587362905001,0.4893809199008568,0.9000000000000001,0.21447644476078545,1.4457065767234845,0.2741959974850223,0.4055248483576084,-6782.663700040711,-9463.939651257477,19073.187726043743,29,16.894541699999536,0
2,9,0.9897404145699479,0.5581465021980312,0.9000000000000001,0.21570133090743562,1.4158162213955767,0.2052341398611368,0.41661928163853257,-6884.471270966445,-9402.209696404952,18949.727816338695,29,17.179958600001555,0
3,0,0.30379689229837353,0.07790225042913011,0.9000000000000001,0.1342302876359791,1.1976888855730727,0.05460544618914964,0.1852788812843349,-5570.571564092066,-8468.039576010773,17146.525834373588,42,17.82154559999981,0
3,1,0.2744490677165576,0.06496310870400676,0.9000000000000001,0.11902258172039959,1.1889258080026233,0.042536864992265166,0.11560911566432819,-5863.142427291028,-8249.36387942177,16709.17444119558,42,17.972687900000892,0
3,2,0.2655525917110631,0.07109479720565294,0.9000000000000001,0.11496709130532871,1.2217032827897423,0.039164182570226136,0.14337573307022655,-5783.4539293351745,-8241.094329064541,16692.635340481123,42,18.233179899998504,0
3,3,0.2681889903912467,0.061116320488753574,0.9000000000000001,0.12547847421135877,1.2012336929632492,0.043058626921568144,0.12627245111459184,-5202.711551099552,-8325.492480288714,16861.43164292947,42,17.691276199999265,0
3,4,0.2871407325296677,0.07259052766411592,0.9000000000000001,0.13126689460340016,1.2403527268622139,0.030381191463119017,0.16979257838026496,-5661.835133839973,-8464.797708575556,17140.042099503153,42,17.85062900000048,0
3,5,0.2809584355847974,0.07562551954806206,0.9000000000000001,0.1258807557741063,1.2271249836275762,0.01710663531442047,0.16146891401032204,-5629.124657077994,-8376.826171036075,16964.09902442419,42,18.728205999999773,0
3,6,0.2706015145117975,0.06003149364034533,0.9000000000000001,0.11963294488179724,1.2370983191064957,0.026895258008399092,0.127069510249453,-5446.4473944541605,-8297.719973463121,16805.886629278284,42,17.362031099999513,0
3,7,0.2713230118178539,0.06340885972790368,0.9000000000000001,0.12376197653964084,1.1935470142279903,0.040543777332544995,0.08389996395057042,-5632.972585320697,-8162.554746064332,16535.556174480706,42,17.178569400000924,0
3,8,0.2722226407566765,0.06084139012105308,0.9000000000000001,0.12837991529970516,1.2020262859709119,0.1038696386827852,0.1477988554963625,-5653.74815652273,-8335.024107739495,16880.49489783103,42,17.29261580000093,0
3,9,0.29006015220504844,0.06413420420941537,0.9000000000000001,0.13063802639505515,1.2078426837178573,0.015745956755697788,0.14257625044929334,-5778.973250289115,-8296.71167572762,16803.87003380728,42,17.254769499999384,0
4,0,0.529282018976641,0.1897453319493751,0.9000000000000001,0.13696876466440383,1.182642485520594,0.05095304862968175,0.44791334911949865,-5763.65473842184,-8661.122750340546,17592.81980656229,54,17.113722199999756,0
4,1,0.7138925832687001,0.31517676164504305,0.9000000000000001,0.1331407489128719,1.2002816387615332,0.05164310312823106,0.4111685894402157,-6086.009671327315,-8472.231123458056,17215.036552797308,54,17.328267999999298,0
4,2,0.3530231633148846,0.1365700705562332,0.9000000000000001,0.1351083073048037,1.187703761622655,0.047677151243273985,0.41818378954004354,-5991.75814816172,-8449.398547891087,17169.37140166337,54,17.78916019999997,0
4,3,0.47469227358100385,0.23829958044598204,0.9000000000000001,0.12820302842978182,1.172855447844396,0.03447891975191597,0.42173262644774234,-5407.093135355856,-8529.87406454502,17330.322434971236,54,17.25073280000106,0
4,4,0.525220343766993,0.23812609672898724,0.9000000000000001,0.13785318522487117,1.2007168337548824,0.05048952747049651,0.432930685332678,-5858.531998926366,-8661.494573661948,17593.563453205094,54,17.2116201000008,0
4,5,0.578052796243891,0.197376177060382,0.9000000000000001,0.132673723404391,1.1913655012701416,0.014977721041339098,0.44198917269724425,-5843.845370855025,-8591.546884813106,17453.66807550741,54,17.262388900000587,0
4,6,0.4472542721431499,0.23875748061965665,0.9000000000000001,0.13094465584066464,1.2068333918751346,0.04080902198516079,0.40060560118281074,-5639.812809430936,-8491.085388439897,17252.74508276099,54,17.26310419999936,0
4,7,0.423947878518798,0.20007147903896297,0.9000000000000001,0.1315570678721318,1.1529470034089406,0.03902375351823417,0.37334457176938685,-5813.800728819578,-8343.382889563212,16957.34008500762,54,17.468204400000104,0
4,8,0.5166785789969406,0.28888838364717395,0.9000000000000001,0.1363912134050942,1.1620383669414043,0.08902765682541414,0.3926307153790132,-5814.574657863601,-8495.850609080366,17262.27552404193,54,17.030509600001096,0
4,9,0.4883453522637697,0.2434604226572891,0.9000000000000001,0.13491123905605643,1.2005546286419235,0.029490810667620604,0.4247735992484729,-6006.6009442643135,-8524.339369702819,17319.253045286834,54,17.662277500001437,0
5,0,0.7087965026910432,0.3045337679906731,0.9000000000000001,0.15198353076493729,1.1492797397440853,0.05629156222616161,0.6172779748866718,-5988.248278757036,-8885.716290675742,18097.12387546774,65,17.765616099999534,0
5,1,0.6845983302077063,0.31433682959877784,0.9000000000000001,0.14543541215457403,1.168241094945012,0.04594239583997617,0.5836035376995742,-6314.457980949179,-8700.67943307992,17727.050160276096,65,17.916184300000168,0
5,2,0.8721019873224509,0.44058319798686274,0.9000000000000001,0.1421193905782376,1.1897455731964466,0.043450396709688754,0.5933741348353754,-6205.398523097008,-8663.038922826374,17651.769139769003,65,17.75721280000107,0
5,3,0.7246203087009921,0.29365437946484263,0.9000000000000001,0.13906730830026445,1.1757480756029723,0.05089941973152312,0.6048633430593792,-5655.476602385427,-8778.257531574589,17882.206357265433,65,18.501051799999914,0
5,4,0.7229622809963291,0.37828450055472634,0.9000000000000001,0.14840405969576323,1.223289961983528,0.044790546937653164,0.6042548816747728,-6078.588834731124,-8881.551409466705,18088.794113049666,65,17.868365400001494,0
