iteration,Q_bernoulli,Q_poisson
1,-10624.423329037178,-11568.414757808929
2,-8272.193118529674,-5062.2561351176855
3,-7495.9783285909725,-3869.1533371240293
4,-7335.937865459319,-3685.384654765173
5,-7298.010982980837,-3634.8263049006537
6,-7296.792719549923,-3626.637825946672
7,-7295.007033272532,-3623.2506638146924
8,-7290.216665896047,-3623.195051578439
9,-7289.722639712944,-3625.720242140474
10,-7283.774427365231,-3617.323912454608
11,-7282.933016758618,-3611.509318540235
12,-7281.039328423469,-3620.559018203296
13,-7289.119226847582,-3620.860003874869
14,-7291.558077428212,-3620.076058604139
15,-7292.078497033037,-3624.272796946766
