family,k_est,rmse_Z_mean,rmse_Z_std,BIC_mean,BIC_std,Q_strict_mean,nan_count
bernoulli,1,1.0192481982872406,0.4163488796888434,18163.138792048358,703.7004813732989,-9006.409866612736,0
bernoulli,2,0.8025427997814247,0.13781322087247022,15123.258164003262,783.1472838578655,-7451.395105531514,0
bernoulli,3,0.17964929067543697,0.007160452070385228,11935.824516435247,137.99040212191875,-5825.10915233588,0
bernoulli,4,0.529125492053745,0.09557741773385607,12364.292988211882,119.60126507183536,-6009.27957645962,0
bernoulli,5,0.5479288028811788,0.09224539185359097,12826.948609453795,101.98450711148912,-6213.048892963047,0
bernoulli,6,0.67665918811975,0.08021536486314856,13266.957817912713,106.75069719094279,-6408.000320722026,0
gaussian,1,0.8156757202257732,0.3026316477480523,7507.11321093186,719.1469526774601,-3678.397076054486,0
gaussian,2,0.7274008130010119,0.14052541313233094,-2149.4775349019446,1957.5942101530213,1184.97274392109,0
gaussian,3,0.02820487078889724,0.0005111487069269906,-37172.16321327679,46.84853645190598,18728.884712520143,0
gaussian,4,0.3619788772025066,0.12325624710290987,-36749.64861944942,78.14256816385038,18547.69122737103,0
gaussian,5,0.3936326523763468,0.12474309544091594,-36297.26028286978,80.964900805879,18349.05555319874,0
gaussian,6,0.5067015563737355,0.09908997049893958,-35839.81311369529,57.065526044946914,18145.385145081975,0
poisson,1,0.7811257928921198,0.29417768248460757,43193.05185409554,930.2353569581361,-21521.366397636324,0
poisson,2,0.7079914023920355,0.13338293903375706,37631.58297955313,749.9717224585665,-18705.55751330645,0
poisson,3,0.17476696617583795,0.04504153022664177,32844.08246210431,1014.1573491206657,-16279.23812517041,0
poisson,4,0.44864493647354003,0.08332227264000774,32856.32901134272,196.4890683793872,-16255.297588025041,0
poisson,5,0.5250051251915596,0.11088600025459973,33305.27300906663,184.14873958561768,-16452.211092769467,0
poisson,6,0.6284971515950126,0.10442780375503341,33695.484316941714,184.8688827020884,-16622.263570236526,0
