family,d,rmse_Z_mean,rmse_Z_std,rmse_Z_min,rmse_F_mean,rmse_F_std,rmse_F_min,rmse_sigma_mean,rmse_sigma_std,rmse_sigma_min,rmse_Y_mean,rmse_Y_std,rmse_Y_min,rmse_X_mean,rmse_X_std,rmse_X_min,w0_err_mean,w0_err_std,w0_err_min,w_err_mean,w_err_std,w_err_min,nan_count
bernoulli,5,0.2590529245578207,0.01571724276598051,0.24726823485952412,0.03642950467702703,0.005424569783979944,0.03033212760805358,0.020696689142874636,0.004257086160245984,0.01552201348760468,0.1144975164068766,0.00581000404958877,0.10931087473143579,0.29348149336126195,0.016191139122699292,0.2770923076154387,0.05654189579453468,0.020183390297497265,0.035444160618964826,0.12679915310838524,0.041132956822901925,0.06876499437681716,0
bernoulli,10,0.2032999037304179,0.007407188120353077,0.1973591862917336,0.035169588819595914,0.007886323377725313,0.026758032175401545,0.015269479546824175,0.0038996290555971245,0.010405873784926372,0.09501794335081565,0.002420817607852929,0.09236998537081542,0.30776146731207654,0.006799516629252934,0.29940849658402147,0.03005267084284431,0.025286106153163783,0.007887612913725195,0.07850774879455776,0.02601900363270486,0.04471493507754598,0
bernoulli,15,0.17942228963218504,0.007840755641441908,0.17201936929430578,0.03125729703916309,0.0033626033785553967,0.02755361651072888,0.016881318296848212,0.005253992946727931,0.010872301627842073,0.08533733005278285,0.0047462880231447626,0.08222597887568636,0.31083494520534527,0.0051761913204390175,0.3055743592814079,0.027504005642679498,0.02456605506594655,0.008270162405158987,0.06943045843709336,0.018619246435195913,0.03837672414471527,0
bernoulli,20,0.15801704378126025,0.007449734549596129,0.14648133904282903,0.0313219684489439,0.00481871581238162,0.02579892087519015,0.016249262359130136,0.003359316482862646,0.012543227357899978,0.07608533253910785,0.003154570894548374,0.07220437912194168,0.3096093320128376,0.006110704094214842,0.30303431209787085,0.02349473486855571,0.015714517189142043,0.010129326023674112,0.03499297797248539,0.026695035379679162,9.060478698352803e-05,0
bernoulli,25,0.14859534537506,0.007445781594510792,0.13805879081807826,0.030607339865969845,0.007865933675902161,0.021558225715240555,0.014625702675136942,0.0014681022862349732,0.012261182435244681,0.07400632945503936,0.00520465537985736,0.06762221012617056,0.3090231878695445,0.003561466215603814,0.30425616704936886,0.04380730141457938,0.030384967800946443,0.011218111466612779,0.043153639958703006,0.041220050897857886,0.018681547262284326,0
bernoulli,30,0.13386255954298867,0.005844137077349634,0.1285967202330953,0.03167042256784473,0.0042675850100777095,0.026963716278318627,0.014828343852752538,0.0009465429211233187,0.01334500270017472,0.06646583729984668,0.0022934450619138858,0.06488818396448617,0.3106939897169454,0.00382985112433678,0.30606406824412197,0.012168635996700728,0.010589743341037445,0.004328982065200937,0.0483119305615376,0.015800826257867454,0.0358285506463647,0
gaussian,5,0.028377789462038505,0.0004648021313129766,0.027905674359478654,0.03307678621753165,0.008358044392460316,0.02595043169960927,0.011833134369654334,0.0035204494573556895,0.00866342364560034,0.03434029769680329,0.0007534273566918169,0.03360766740662794,0.31042770144522736,0.01140960045621142,0.30329179163296116,0.0007479016043696904,0.00041759096039669405,0.0002706344203339182,0.00036782320078025953,0.0004715679979725225,4.328175646933774e-05,0
gaussian,10,0.02904417683012415,0.00045949683720072085,0.028648041603152784,0.034220703488899426,0.00756244429026781,0.026861114725787227,0.01175759864115256,0.0032039746187616917,0.008451643945313999,0.03511353115788399,0.0006871187940093878,0.034424977848920624,0.31368259572183455,0.004772882583005962,0.30747186616548444,0.0004783909326603192,0.0004358545403653501,4.2636719866176464e-05,0.0006088404320460205,0.0004462885644064056,2.7557284930868065e-05,0
gaussian,15,0.02882275452540763,0.0004236603358219045,0.028301728029676277,0.030277917941228055,0.005576331065939034,0.024082407767500594,0.014929966877172568,0.002635698403271982,0.012220821342105458,0.034851911179392736,0.00032107548337839334,0.03458661098045369,0.3147112029372675,0.007164474110483591,0.3079752479279439,0.0005958663254090386,0.00034116540737036,3.701179914060562e-05,0.0004160575898325636,0.00034184626963704076,6.723036374922664e-05,0
gaussian,20,0.028233687446639493,0.0006437894032019579,0.02736788788109828,0.03112278978154113,0.005033387488892027,0.02695794668692503,0.01433132145749747,0.0024271095285173026,0.010774215683802395,0.03411426735696818,0.0008662725893439778,0.033132462782095515,0.311534847956367,0.006198072931589614,0.30433081940839957,0.00038703385767785154,0.00017608650312434784,0.00012484289980078204,0.00029217405049691836,0.0002848794419256226,8.415699625574646e-05,0
gaussian,25,0.028309386368810297,0.0007828186546551592,0.027387666755095942,0.02919374963330671,0.00552913307905351,0.023100555462193726,0.013155464561043112,0.00127378708323993,0.011257304279411665,0.03423283959593261,0.0009180163675431914,0.03298907534039393,0.3116497061331436,0.0037823134391291127,0.3075088370464637,0.0006038207556312116,0.0004965598131462878,6.026073541807802e-05,0.000643422006324068,0.00042694119635707255,0.00011620961146624476,0
gaussian,30,0.029253436119578747,0.0004680792884997658,0.02882602987052803,0.03085203094191772,0.003460618292300068,0.02663886168034514,0.013322488311333647,0.0007600717041595702,0.012362435870850041,0.03527391332657629,0.0008459388353522378,0.03428947915249085,0.3115922481561718,0.004338882353488801,0.3067686906724749,0.0006393781595796564,0.000534854379803244,0.00015800796188345878,0.0005903300595472061,0.0007590258635491184,6.122233196265148e-05,0
poisson,5,0.19938060387465292,0.006792970009110963,0.19318010621477733,0.03478278936368693,0.009176289307392067,0.02810960695052591,0.016931020799323928,0.0037365282140203564,0.013654213138757717,0.6674092434978596,0.03857199310196706,0.6050579468215475,0.3013494625943039,0.015889665442025424,0.2911641013713477,0.01859701402228163,0.013313279144777463,0.004713570923665254,0.00877660042549121,0.003946813495877711,0.005161226097392391,0
poisson,10,0.17294788001823203,0.006417714896258649,0.16538375758687898,0.03425759894330896,0.008073617877956121,0.02801161217654797,0.014276038803436409,0.0036501959842393994,0.010250398175573936,0.6311514261901416,0.08017679689164003,0.5182011172461083,0.3083560855140617,0.004718576547923239,0.30185636432783103,0.016464958768219566,0.009386369951549942,0.006279463744577881,0.005021149154882487,0.003113885332903964,0.00034688461157866834,0
poisson,15,0.1544012042172765,0.007120688600779874,0.1478229372926469,0.03512472691800857,0.010498819166183462,0.024925489062577376,0.015644829088627125,0.004856959965216832,0.011099256260195204,0.6355573846326102,0.061844023086870585,0.5736945511044099,0.312225390892481,0.006161106579942371,0.3051712778427175,0.0272522333877551,0.018014120175756286,0.009607691631557695,0.010812393091542905,0.009840349055733569,0.002592510054262309,0
poisson,20,0.17360835312765457,0.054403350323999636,0.13422543039518384,0.09191826588630157,0.1118417621108641,0.026484354834161266,0.015697268196468907,0.0037789415365448937,0.010895122499685569,0.6813943141899348,0.1604772594413954,0.5238928329127124,0.3088558691749891,0.006383969695990028,0.300619243655202,0.043517127332714796,0.03568907111290576,0.005900834099092753,0.0360449865066117,0.03990286231524654,0.003211042944942344,0
poisson,25,0.1597049600845866,0.050822882166309535,0.12787443381817584,0.06785523942430607,0.0872668536744534,0.024296648074810412,0.01461626614596363,0.0017951596213044297,0.01163035166970562,0.7033958168624143,0.3147426506369517,0.5395276128450383,0.3097827459216012,0.00426214396962472,0.304914909880251,0.030256678215122852,0.035807032953622905,6.819209161500195e-05,0.0221016720005061,0.03621643958996709,0.0012508137651129347,0
poisson,30,0.1455665143023427,0.04372815679716597,0.1211213113222936,0.06254985344763224,0.07189841622383768,0.025099847320335898,0.01451454785878913,0.0012547288334586622,0.012802362243120426,0.6159419144762758,0.2020092021956481,0.48759529555543013,0.3104957630773101,0.004359632437258436,0.3052986277736604,0.027403559285390632,0.03405003678086831,0.0009102856987281627,0.02155559002797136,0.030180576168070072,0.003215080514241686,0
