d,family,rmse_Z_mean,rmse_Z_std,rmse_Z_min,rmse_X_mean,rmse_X_std,rmse_X_min,Q_delta_mean,n_trials
5,bernoulli,0.30725703427059897,0.017070254281788516,0.290885222812762,0.29828593253938185,0.017095441761705358,0.273815413057238,3.572398285379677,5
5,poisson,0.19470446629359534,0.006303672287112936,0.1897887483725157,0.30295077064493314,0.013519631014372436,0.28009351246666,4.119348553315945,5
10,bernoulli,0.23419420951666697,0.010060071082793089,0.21946924363783762,0.30716909696437295,0.007628320605475389,0.2992264353577308,2.8360421399976987,5
10,poisson,0.1773858955074934,0.009330894077982592,0.16497176746803674,0.30512742022592476,0.008007608042556192,0.29313127556604734,3.897879606387164,5
15,bernoulli,0.2037687138780187,0.01487241936673025,0.18919637362389105,0.30651437100155304,0.0038966609982750526,0.30307333607290965,2.9947288489189305,5
15,poisson,0.15692309857742764,0.008391306435157248,0.1499539524854189,0.3059445428857476,0.004293257538312399,0.29970788948789856,3.7730825177620404,5
20,bernoulli,0.17536960949970987,0.008703079001172676,0.16277712891910237,0.3097284835064641,0.008243542818319077,0.3019504617694028,3.1487705233050294,5
20,poisson,0.14442145019524458,0.005527759711169674,0.13824462443781857,0.3084258652737957,0.00797149026854711,0.3011011687716832,4.057476578600472,5
25,bernoulli,0.15754342711689784,0.004420624761786358,0.15343876841065607,0.31383327954576723,0.004482076109794559,0.3092618021142885,4.443648301127541,5
25,poisson,0.13474344218357634,0.003958014017099789,0.13072976198894398,0.31209112697592045,0.004134613093164234,0.3081279585149582,4.191769128848819,5
30,bernoulli,0.14568498394685614,0.0030106522670654864,0.1412560514254263,0.31125084924955193,0.004666858221351958,0.30610528252898506,2.395420122427822,5
30,poisson,0.12714514835514007,0.002207084187283981,0.12460179787331503,0.3104762945446214,0.004368349207831275,0.3055370011400582,79.60469160566862,5
