d,k_true,n,trial,data_seed,family,rmse_Z,rmse_X,Q_final,Q_delta,w0_est,w_est,nan_count
5,3,150,0,4500,bernoulli,0.29918483038612725,0.32168497821511177,-6955.371400636215,3.210059502122931,0.6385575091076552,0.7353859513415347,0
5,3,150,0,4500,poisson,0.1910160819386092,0.30672592408350535,-685.4517623296033,3.2562923217448088,0.012121812805291484,0.501390318461853,0
5,3,150,1,4513,bernoulli,0.29731513972038176,0.273815413057238,-6950.049559464414,2.0736902307135097,0.6385686796780364,0.7003959690251448,0
5,3,150,1,4513,poisson,0.1897887483725157,0.28009351246666,-2372.5481986828045,0.786371493180468,0.017808537931154264,0.48491244062072425,0
5,3,150,2,4526,bernoulli,0.33288624941318534,0.30026771738124347,-6950.012676724812,6.1024649437540575,0.6432748940633533,0.7127203512564384,0
5,3,150,2,4526,poisson,0.2055793617998087,0.303142278681006,-2316.1406994017184,0.5043305208982929,0.011952865636223466,0.49878921076370714,0
5,3,150,3,4539,bernoulli,0.290885222812762,0.294801499087851,-6894.733478018238,2.6699840124783805,0.5936245120707169,0.7418243924515218,0
5,3,150,3,4539,poisson,0.1931597579602488,0.3095719178934349,-4133.225842651939,6.90671501133329,-0.002471772588318985,0.49556226697484257,0
5,3,150,4,4552,bernoulli,0.3160137290205385,0.30086005495546503,-7006.737204637519,3.8057927378295062,0.6250971190366295,0.7081236081747501,0
5,3,150,4,4552,poisson,0.19397838139679435,0.31522022010005957,-1258.2149241548698,9.143033419422864,-0.003184457035559391,0.5028886694903393,0
10,3,150,0,5000,bernoulli,0.21946924363783762,0.30011414035208706,-6995.1950635145695,7.372631099111459,0.6395871706318804,0.781887033289203,0
10,3,150,0,5000,poisson,0.16497176746803674,0.30328564031480604,-3856.1111512858283,3.360845521831834,0.01852672247503108,0.48919400549048514,0
10,3,150,1,5013,bernoulli,0.22988788714735592,0.30742444207663916,-7172.9946084113235,2.3492019320638065,0.6466816184416685,0.7039096499868083,0
10,3,150,1,5013,poisson,0.17215906904252645,0.3042459691415069,-3706.0491469821072,8.259966245478154,0.018056444787972865,0.4869833916094763,0
10,3,150,2,5026,bernoulli,0.23485290600803993,0.31217651763600845,-7177.866228404824,1.1623816480532696,0.6535314651667196,0.7319423922267949,0
10,3,150,2,5026,poisson,0.18891382949125785,0.3122864336228791,-524.444221631526,1.5658236149273534,0.018583014947673577,0.48875752458673294,0
10,3,150,3,5039,bernoulli,0.24372773967051548,0.2992264353577308,-7001.653252143961,0.1421396226987781,0.6479456961726002,0.7677293027427767,0
