family,k_est,rmse_Z_mean,rmse_Z_std,rmse_Z_min,rmse_X_mean,nan_count
bernoulli,1,1.0786428651298094,0.11546092538101829,0.8961261842868699,0.7500476886784396,0
bernoulli,2,0.760919438417101,0.19726370003003657,0.47393284002624414,0.5436384902062488,0
bernoulli,3,0.17856932370597894,0.010548934316423437,0.16689969019585024,0.31466944119063317,0
bernoulli,4,0.468930644972231,0.09245631483489308,0.33796378983509595,0.31001773025235896,0
bernoulli,5,0.6251421955991191,0.05135065988460877,0.5835834818664607,0.3091574507712455,0
bernoulli,6,0.6502983944258338,0.07437102604857385,0.5933333458077646,0.3033739722140096,0
gaussian,1,1.018407667195935,0.09563347412326,0.86465173111198,0.7721329546222664,0
gaussian,2,0.6848777154181024,0.12263190723994859,0.5389535961558729,0.5982834532007065,0
gaussian,3,0.028402857070055586,0.0010513430896756442,0.027259603879762243,0.3180902152848791,0
gaussian,4,0.41943624982940764,0.13056098774291042,0.26189338210058044,0.3129737444164986,0
gaussian,5,0.5752076321799064,0.09531609067940836,0.48642538400142665,0.31003422615102594,0
gaussian,6,0.4653179177163782,0.11857645639303231,0.3649870690395024,0.30387313792215587,0
poisson,1,1.0355660653779364,0.23862435688977957,0.6610066365540478,0.7891998366476276,0
poisson,2,0.7603018398991075,0.17628028082920671,0.5526742257072637,0.5739115930892188,0
poisson,3,0.15925017299659688,0.004691132944809201,0.1516793276094759,0.31354796199683294,0
poisson,4,0.478945335118269,0.17075869824996998,0.2239197559078116,0.3089310867677604,0
poisson,5,0.5327847859984284,0.13180083964649808,0.3996057858488674,0.3064187810287863,0
poisson,6,0.6306077255650762,0.128470715952338,0.4711761572462979,0.3020805602677971,0
