n,k_true,trial,data_seed,rmse_Z,rmse_X,Q_final,w0_est,w_est,nan_occurred,elapsed_s
50,3,0,2000,0.18155793909495596,0.3134760690625962,-663.1463576453996,0.05970598525555502,0.4866639952327874,False,7.857322692871094
50,3,1,2007,0.19723607524519304,0.3036948281294942,-795.7760010042059,-0.010362784002222446,0.49374998374574414,False,7.946941614151001
50,3,2,2014,0.19162669657707998,0.3050447662630359,-508.7416474153759,0.04334511613834942,0.49401362668537263,False,7.939298629760742
50,3,3,2021,0.17825818417619277,0.2969555687536544,-820.6566394168343,0.00231291553033909,0.4983627677673585,False,8.021596193313599
50,3,4,2028,0.18950619353420617,0.30771015360261744,-846.5259615957693,-0.008931816708378086,0.504934065966225,False,7.860003709793091
100,3,0,2000,0.1672465024928626,0.3101121680014461,-1886.8540816025638,0.00784887936710007,0.4962054865459877,False,20.003214120864868
100,3,1,2007,0.16431377354732943,0.3043522063319196,-1897.4619972090015,0.01793703580295492,0.48899532553069847,False,21.40529155731201
100,3,2,2014,0.18924424298165815,0.29885721779796115,-1244.2684436565455,0.060286731803466775,0.4480184545455029,False,20.344993829727173
100,3,3,2021,0.15879705000058197,0.2951870725090795,-2298.8412411018458,0.025465580256414957,0.49321289949374125,False,20.506327152252197
100,3,4,2028,0.16311269866746653,0.30768138308084103,-2066.530268803228,-0.0011628043050123363,0.49422887680381106,False,19.90260672569275
150,3,0,2000,0.16074399800983524,0.300951513328307,-3110.1875993208796,0.0205297112761505,0.49223926654493627,False,34.23908066749573
150,3,1,2007,0.14573581004289854,0.30565860885465385,1199.5111211377866,0.03136058481416906,0.49150689129370695,False,34.337796211242676
150,3,2,2014,0.16153036462186715,0.3021538450613383,-3139.8709278164038,0.012811678279199889,0.48769270162076434,False,34.21576142311096
150,3,3,2021,0.16361734644588485,0.30509096546180686,-3675.9229373631943,0.010894536448829555,0.49756078787989794,False,34.29737138748169
150,3,4,2028,0.1520238108051606,0.30824097137050827,-2798.5945266311264,0.02261958752282633,0.49436164291006696,False,34.69650959968567
200,3,0,2000,0.13934915835181186,0.3183808327141709,-4784.389107917681,0.006956195552541231,0.49620571366615496,False,51.054259061813354
200,3,1,2007,0.1559480392205873,0.30848946721104537,8787.334052857137,0.090942621120304,0.4609785042928685,False,50.46856474876404
200,3,2,2014,0.14147938825002843,0.30412908713897346,-4212.207295658174,-0.003107622446977642,0.5018304128752132,False,50.61871337890625
200,3,3,2021,0.14635063316674507,0.29880800083607917,-1394.5120427201596,0.013386033139201298,0.4950135869792665,False,50.530988931655884
200,3,4,2028,0.1423114563048191,0.30441467250830617,-4794.8971816793455,0.02038870737181574,0.4906945113982414,False,51.21893858909607
250,3,0,2000,0.13721100279197068,0.315553077852169,-6505.628789027378,0.001947787994785738,0.4975335028475043,False,74.14866590499878
250,3,1,2007,0.1457276066130444,0.30552801534961926,28085.065043803632,0.17313876970287062,0.4382228670103981,False,74.23739409446716
250,3,2,2014,0.1378061467986331,0.31090937142345465,-6671.025541757015,0.011852571323970969,0.49363444216147884,False,74.24984669685364
250,3,3,2021,0.13526261471835066,0.3018352093515288,-2768.736667827291,0.01881096039665489,0.4880766898756529,False,76.60080313682556
250,3,4,2028,0.138761057388929,0.30606838030265454,-5292.827700362299,0.02384691346743146,0.4940430627144943,False,74.11369037628174
