scenario,true_x_dist,true_y_dist,estimated_x_dist,estimated_y_dist,trial,seed_data,seed_model,n,d,k_true,k_est,L,iterations,rmse_z,rmse_f,rmse_x,rmse_y,q_value,w0_est,w_est,nan_occurred,nan_count,is_oracle_condition,is_conventional_like_condition
A,poisson,bernoulli,gaussian,gaussian,0,6000,6050,150,15,3,3,5,8,0.2777101071399659,0.3316557780981826,2.3473087979564404,2.686743861717,-195.78896659186574,0.3661836319277353,0.17752580097942458,False,0,False,False
A,poisson,bernoulli,gaussian,gaussian,1,6100,6150,150,15,3,3,5,8,0.3032169483128641,0.27261550668017964,2.273063405883535,2.6843175069414196,-369.9059274740606,0.36585188568972904,0.17209632935451846,False,0,False,False
A,poisson,bernoulli,gaussian,gaussian,2,6200,6250,150,15,3,3,5,8,0.5528824513854211,0.9402052853875122,1.86909932516929,2.744370592840931,-567.1344909881225,0.30050867135114134,0.14572929645676969,False,0,False,False
A,poisson,bernoulli,gaussian,gaussian,3,6300,6350,150,15,3,3,5,8,0.27769433682614353,0.3096093354928315,2.268302402923634,2.6931243524964326,-82.39786221363538,0.36406846574377266,0.1775829099437339,False,0,False,False
A,poisson,bernoulli,gaussian,gaussian,4,6400,6450,150,15,3,3,5,8,0.2836445809627569,0.3232706533701045,2.1324878393992086,2.6800909853822295,8.197551096296774,0.3580041234447149,0.17702830744045636,False,0,False,False
A,poisson,bernoulli,gaussian,gaussian,5,6500,6550,150,15,3,3,5,8,0.8031159505137793,1.1087053392242945,1.6159506755344302,2.762370322647354,-503.7078123694817,0.23974744579339213,0.1565691873437137,False,0,False,False
A,poisson,bernoulli,gaussian,gaussian,6,6600,6650,150,15,3,3,5,8,0.2870895542817253,0.30183525911795545,2.1281444571095753,2.6872287070561987,-153.75884508151339,0.35662028675125557,0.17354455627787302,False,0,False,False
A,poisson,bernoulli,gaussian,gaussian,7,6700,6750,150,15,3,3,5,8,0.43597065791015854,0.6892910019383649,1.750883844915221,2.7285424513162426,-202.60671759413617,0.32612886486179665,0.16005584352558247,False,0,False,False
A,poisson,bernoulli,gaussian,gaussian,8,6800,6850,150,15,3,3,5,8,0.3040336471616711,0.2757039357382346,2.25597489861302,2.685617352301025,-281.5967392865632,0.3467606221955609,0.1701887471525919,False,0,False,False
A,poisson,bernoulli,gaussian,gaussian,9,6900,6950,150,15,3,3,5,8,0.3350196984975115,0.4452781050577755,2.190902653100407,2.7023912350826387,-377.4922670053687,0.34410938541049707,0.16679726217855098,False,0,False,False
A,poisson,bernoulli,gaussian,bernoulli,0,6000,6050,150,15,3,3,5,8,0.24842441051130973,0.39018692844889985,2.274377771401434,0.10489929709797226,-10030.730322168534,-1.0135013632027143,1.64627000797436,False,0,False,True
A,poisson,bernoulli,gaussian,bernoulli,1,6100,6150,150,15,3,3,5,8,0.2664725427139328,0.33167217200562094,2.211901446322772,0.11217160920627559,-10189.239593420545,-0.9491459516015965,1.5206488101165023,False,0,False,True
A,poisson,bernoulli,gaussian,bernoulli,2,6200,6250,150,15,3,3,5,8,0.5774561437541039,1.2288335680017701,1.719651754441734,0.18391040171090825,-10341.665040878506,-1.0972828006747228,1.1021908238307108,False,0,False,True
A,poisson,bernoulli,gaussian,bernoulli,3,6300,6350,150,15,3,3,5,8,0.2654961031749938,0.39530417864841755,2.1915811973475137,0.1103161830041686,-9933.06211574325,-1.0174325756949623,1.6625008743117258,False,0,False,True
A,poisson,bernoulli,gaussian,bernoulli,4,6400,6450,150,15,3,3,5,8,0.28409614091143676,0.3378152849354249,2.093087831514121,0.11284307094531172,-9853.619936381134,-1.0348123048304994,1.6094427164837475,False,0,False,True
A,poisson,bernoulli,gaussian,bernoulli,5,6500,6550,150,15,3,3,5,8,0.7453022051510907,1.397747027799158,1.588788141574168,0.19301773442978917,-10355.497325485805,-1.1904419098140855,1.0031749148061306,False,0,False,True
A,poisson,bernoulli,gaussian,bernoulli,6,6600,6650,150,15,3,3,5,8,0.7047519037402254,1.3510590421594744,1.5554712504996735,0.2012990155426067,-10175.588363478386,-1.1976131293612264,1.069398347812416,False,0,False,True
A,poisson,bernoulli,gaussian,bernoulli,7,6700,6750,150,15,3,3,5,8,0.4817151822962567,0.8732091469916684,1.6325687935626116,0.1740235078668068,-10035.856615752855,-1.1305877148445511,1.1678586678231713,False,0,False,True
A,poisson,bernoulli,gaussian,bernoulli,8,6800,6850,150,15,3,3,5,8,0.6571433297569171,1.134971918826543,1.7793649683452486,0.20140075304291685,-10433.076055103089,-1.2772750390622931,1.0464429459770512,False,0,False,True
A,poisson,bernoulli,gaussian,bernoulli,9,6900,6950,150,15,3,3,5,8,0.6240161009905427,1.419217303866552,1.6280090720177247,0.1986222255851411,-10299.405737964731,-1.139927690128122,1.0671710476040586,False,0,False,True
A,poisson,bernoulli,gaussian,poisson,0,6000,6050,150,15,3,3,5,8,0.6695616794801817,1.358504030951806,1.8366209730168956,375.53149679358245,-12311.875778786201,-1.3933064057432705,0.38949097847907127,False,0,False,False
A,poisson,bernoulli,gaussian,poisson,1,6100,6150,150,15,3,3,5,8,0.7669858213943692,1.359875970169992,1.7346340652459884,521.8496474368043,-12338.015496362787,-1.3279120929279271,0.3397843101384885,False,0,False,False
A,poisson,bernoulli,gaussian,poisson,2,6200,6250,150,15,3,3,5,8,0.6588957783102739,1.3987361732015424,1.689553090410517,748.5789197238055,-12176.561968213544,-1.2808652155582168,0.2922747947958842,False,0,False,False
A,poisson,bernoulli,gaussian,poisson,3,6300,6350,150,15,3,3,5,8,0.6594722716805073,1.3524262247401484,1.6765192277911136,333.65472551623077,-12116.176852940673,-1.3303356760059406,0.36200451483263746,False,0,False,False
A,poisson,bernoulli,gaussian,poisson,4,6400,6450,150,15,3,3,5,8,0.6464418011609343,1.2477267636979583,1.5718906164266004,257.83309216892997,-11941.782656889995,-1.3823956102646882,0.3801631156025916,False,0,False,False
A,poisson,bernoulli,gaussian,poisson,5,6500,6550,150,15,3,3,5,8,0.7545625253826865,1.351678665931571,1.614044678250126,480.40568983051435,-12136.077085076822,-1.3451752530629308,0.33092847968541406,False,0,False,False
A,poisson,bernoulli,gaussian,poisson,6,6600,6650,150,15,3,3,5,8,0.7215178623688691,1.3711966472034594,1.5692893377947659,294.32450057816726,-11994.698218086021,-1.358065132741244,0.3531511289759814,False,0,False,False
A,poisson,bernoulli,gaussian,poisson,7,6700,6750,150,15,3,3,5,8,0.5847066857028818,1.0858707952488502,1.557700587963188,561.7137459344659,-11936.672644895289,-1.3512382940719594,0.3753341530360687,False,0,False,False
A,poisson,bernoulli,gaussian,poisson,8,6800,6850,150,15,3,3,5,8,0.747526965265803,1.425773566902051,1.7112181563001052,522.5744185740624,-12078.39110544406,-1.3875404381564111,0.3443136869994626,False,0,False,False
A,poisson,bernoulli,gaussian,poisson,9,6900,6950,150,15,3,3,5,8,0.7064496850932184,1.3468196662333423,1.6241687047038376,580.7909575955117,-12126.598860007813,-1.3353947978388447,0.32169352621400027,False,0,False,False
A,poisson,bernoulli,bernoulli,gaussian,0,6000,6050,150,15,3,3,5,8,0.43740368085969494,3.385203290678687,2.330200877470974,2.7698041126898096,21614.9231894576,0.34025616956660226,0.13935295516857324,False,0,False,False
A,poisson,bernoulli,bernoulli,gaussian,1,6100,6150,150,15,3,3,5,8,0.4576808465659998,3.4235600279364795,2.222865196374158,2.7674525541717108,19949.74068214988,0.34868050116780847,0.13654428602100444,False,0,False,False
A,poisson,bernoulli,bernoulli,gaussian,2,6200,6250,150,15,3,3,5,8,0.702290301672626,3.249493483712616,2.3150695292895342,2.830515733604964,22869.62207402525,0.3050871590998744,0.1036588545090433,False,0,False,False
A,poisson,bernoulli,bernoulli,gaussian,3,6300,6350,150,15,3,3,5,8,0.5150015862885955,3.215338986003439,2.2366444850876466,2.7860397543457913,21132.09637914082,0.3216952527237755,0.14053724502279147,False,0,False,False
A,poisson,bernoulli,bernoulli,gaussian,4,6400,6450,150,15,3,3,5,8,0.5321154673626258,3.3284818133978464,2.0957883169958422,2.7831461023071054,21396.49075498694,0.3134259613369725,0.13140464979568395,False,0,False,False
A,poisson,bernoulli,bernoulli,gaussian,5,6500,6550,150,15,3,3,5,8,0.5871720383826489,3.221163978240476,2.2386932276989904,2.799800293437305,22108.38437154798,0.3131363556773517,0.12090885619387011,False,0,False,False
A,poisson,bernoulli,bernoulli,gaussian,6,6600,6650,150,15,3,3,5,8,0.6803372092167618,3.306746865521939,2.1042253376775237,2.818827784595,22598.150730226364,0.28947055215367506,0.1187415432451194,False,0,False,False
A,poisson,bernoulli,bernoulli,gaussian,7,6700,6750,150,15,3,3,5,8,1.3071115630071437,3.3644744449419157,2.241575458734069,2.922016008754513,2827.200897742043,0.3566468355512295,1.1051865468661901,False,0,False,False
A,poisson,bernoulli,bernoulli,gaussian,8,6800,6850,150,15,3,3,5,8,0.43552619210613264,3.3148819709692794,2.226273087206506,2.760043870494833,19538.5901982195,0.33614983071086063,0.13391204272158436,False,0,False,False
A,poisson,bernoulli,bernoulli,gaussian,9,6900,6950,150,15,3,3,5,8,0.44151121179502756,3.3353397881264994,2.20913029591634,2.777458972088106,18728.4913417989,0.3430788539314183,0.12977443853419524,False,0,False,False
A,poisson,bernoulli,bernoulli,bernoulli,0,6000,6050,150,15,3,3,5,8,0.9486555254952123,2.5765070975047437,2.4017602077207263,0.30197107526611117,-3507.4795505226853,-0.5872523139079685,0.19737127708052116,False,0,False,False
A,poisson,bernoulli,bernoulli,bernoulli,1,6100,6150,150,15,3,3,5,8,0.9958316115739614,2.340196116234719,2.3230750417750103,0.30134179748820644,-4652.982774287067,-0.6540319874271642,0.20691517712113647,False,0,False,False
A,poisson,bernoulli,bernoulli,bernoulli,2,6200,6250,150,15,3,3,5,8,1.0283521515780167,2.6524761674408097,2.4210363486042845,0.283282852162732,-4438.930811637324,-0.6347891638384853,0.1288835171809196,False,0,False,False
A,poisson,bernoulli,bernoulli,bernoulli,3,6300,6350,150,15,3,3,5,8,0.9251226649125904,1.8986951498266877,2.3191304115826177,0.3152367039377984,-1075.9200570203595,-0.5746394994238259,0.23254809012002003,False,0,False,False
A,poisson,bernoulli,bernoulli,bernoulli,4,6400,6450,150,15,3,3,5,8,1.1513969236323065,1.7198057076429702,2.244649427398526,0.3086958744678204,-7046.748179488741,-0.6052904168701226,0.08322498044321622,False,0,False,False
A,poisson,bernoulli,bernoulli,bernoulli,5,6500,6550,150,15,3,3,5,8,1.0929100073873097,2.409364736862126,2.3467927274697713,0.29193024664658523,-4638.95037534789,-0.624460695839522,0.1280982350292068,False,0,False,False
A,poisson,bernoulli,bernoulli,bernoulli,6,6600,6650,150,15,3,3,5,8,1.0629420107468956,1.9901868083895933,2.2202058427894125,0.29902058898881645,-6024.553413723145,-0.6100547668515419,0.11564158605073976,False,0,False,False
A,poisson,bernoulli,bernoulli,bernoulli,7,6700,6750,150,15,3,3,5,8,0.8979190621085806,2.6196491066160874,2.1664746252294855,0.29422146004247557,-3648.3040322202287,-0.6219566421934929,0.22690786703492755,False,0,False,False
A,poisson,bernoulli,bernoulli,bernoulli,8,6800,6850,150,15,3,3,5,8,0.9480722229948415,2.568999441618504,2.2850179311419465,0.2861140328849666,-3431.7189081455226,-0.6726816190321866,0.19647499853168326,False,0,False,False
A,poisson,bernoulli,bernoulli,bernoulli,9,6900,6950,150,15,3,3,5,8,1.020083893731488,2.2454204384723773,2.3015638985786984,0.2963312753318164,-5772.858107518001,-0.6384357225984948,0.1499611144895263,False,0,False,False
A,poisson,bernoulli,bernoulli,poisson,0,6000,6050,150,15,3,3,5,8,0.34521652675110337,3.4803539668680896,2.3335944843008614,375.47405353243676,9129.217268785465,-1.2848508326027472,0.4161673556696365,False,0,False,False
A,poisson,bernoulli,bernoulli,poisson,1,6100,6150,150,15,3,3,5,8,0.4039401085873938,3.452387779044496,2.2150075916255503,521.8215045435333,7916.189748761848,-1.2773080097930567,0.39947160673465215,False,0,False,False
A,poisson,bernoulli,bernoulli,poisson,2,6200,6250,150,15,3,3,5,8,1.0871374827621176,3.403503126346925,2.367663760113858,748.6781328087948,-4525.562439183886,-1.106979342360657,0.9269618987255658,False,0,False,False
A,poisson,bernoulli,bernoulli,poisson,3,6300,6350,150,15,3,3,5,8,0.5067789775552726,3.3819009019329527,2.2351456340441676,333.66860102457525,9221.103482868717,-1.3653174347828314,0.3977434857353928,False,0,False,False
A,poisson,bernoulli,bernoulli,poisson,4,6400,6450,150,15,3,3,5,8,0.580695348751769,3.3727019392200046,2.0916403779702364,257.819423593772,9045.460090565604,-1.344445376060594,0.39943929061709516,False,0,False,False
A,poisson,bernoulli,bernoulli,poisson,5,6500,6550,150,15,3,3,5,8,0.9408434398677219,3.4455143688299232,2.227995191765582,480.4168902724617,11198.620025972958,-1.3757157916520066,0.3430434120678985,False,0,False,False
A,poisson,bernoulli,bernoulli,poisson,6,6600,6650,150,15,3,3,5,8,0.5278612713952542,3.381392816364003,2.1108871928131316,294.3202496281024,9434.814287477611,-1.3551811548470278,0.3688226699133295,False,0,False,False
A,poisson,bernoulli,bernoulli,poisson,7,6700,6750,150,15,3,3,5,8,0.6537800646517774,3.4161779217858803,2.0706046830858074,561.732763600606,11579.414023461024,-1.4224047758230445,0.342088510218604,False,0,False,False
A,poisson,bernoulli,bernoulli,poisson,8,6800,6850,150,15,3,3,5,8,0.4103526929676448,3.3605303503142556,2.219986981148654,522.5404624027676,8517.888850265197,-1.3315502855682997,0.3942666955905575,False,0,False,False
A,poisson,bernoulli,bernoulli,poisson,9,6900,6950,150,15,3,3,5,8,1.206554275960367,3.3459389367940413,2.218369951890143,580.8483884508105,-3681.105315639704,-1.0952371917906834,1.605568032226024,False,0,False,False
A,poisson,bernoulli,poisson,gaussian,0,6000,6050,150,15,3,3,5,8,0.23698286003589863,0.09061203676841759,1.2905944160024247,2.6830348531126496,4547.7844761173055,0.36543066474300534,0.1772988725761086,False,0,False,False
A,poisson,bernoulli,poisson,gaussian,1,6100,6150,150,15,3,3,5,8,0.2678081166580268,0.08411733800023156,1.2541647666119218,2.6896460106550797,4192.798751600463,0.3665768009485175,0.17210917761886857,False,0,False,False
A,poisson,bernoulli,poisson,gaussian,2,6200,6250,150,15,3,3,5,8,0.2873721567474044,0.07419546943045252,1.3093436051164877,2.6873290731720223,4071.6437631713134,0.3536663879905539,0.16503717616976893,False,0,False,False
A,poisson,bernoulli,poisson,gaussian,3,6300,6350,150,15,3,3,5,8,0.25618585525736,0.0751398019677107,1.2703527941666153,2.687100673076393,4540.615623997223,0.3655950844797049,0.17814307296616216,False,0,False,False
A,poisson,bernoulli,poisson,gaussian,4,6400,6450,150,15,3,3,5,8,0.2522421700707457,0.05596389134667406,1.243121293621294,2.6717473347450307,4361.33502558497,0.36210492630777696,0.17694674692219992,False,0,False,False
A,poisson,bernoulli,poisson,gaussian,5,6500,6550,150,15,3,3,5,8,0.28488509897549474,0.07137938042184447,1.2818773433544162,2.6877884215026864,4231.843394601412,0.3571612856866759,0.16829144865661147,False,0,False,False
A,poisson,bernoulli,poisson,gaussian,6,6600,6650,150,15,3,3,5,8,0.2600452448433009,0.06576288825820219,1.3189591728637315,2.6823207669323645,4181.384060184815,0.3596053329954478,0.1738877223847957,False,0,False,False
