scenario,k_est,trial,rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,BIC,Q_strict
B,1,0,0.7442125719006102,0.4594545432255244,0.6049327135495848,1.7192682702777706,0.791445790048888,0.2258403710789499,0.094326780599711,43527.03356278021,-21688.35725197866
B,1,1,0.7595419290520515,0.5149643677593153,0.5118887116952578,1.8540946978764088,0.6982802287603431,0.23367597437519744,0.06246625410754714,43395.76548712322,-21622.723214150166
B,1,2,0.9741896933894657,0.658679292561483,0.671401979830718,2.106859086699432,0.8388906397208589,0.2275030455805281,0.07249704692765135,44832.23126647946,-22340.956103828285
B,1,3,0.8803970805724834,0.4986881768980084,0.6187325164407554,2.0160971382686808,0.7980623931084853,0.23613774191410664,0.012595344236595474,44752.57678588468,-22301.128863530896
B,1,4,1.2979255603548192,0.5431395430541514,0.5744450412113388,1.8759171044110965,0.7911618579778884,0.2551262406804602,0.026549229834702537,44654.21647547906,-22251.948708328084
B,1,5,0.5442449747566903,0.21648387027350938,0.6583253887522462,1.6992189601664385,0.8394662799888789,0.2561289399401429,0.012065234481452747,44937.32114895873,-22393.50104506792
B,1,6,1.1295824562942771,0.5271623234133342,0.5809154962726685,2.3625749135846834,0.7984392684051982,0.22288862539036464,0.035260564330896416,44716.13297256542,-22282.906956871266
B,1,7,0.8270071478056472,0.4382631055812132,0.7044380882652563,1.8441085823392316,0.8761566076386452,0.2243362116681844,0.06833163454138114,44214.30595631538,-22031.993448746245
B,1,8,0.2147807063525662,0.03667695164103895,0.5783493658561786,1.6189858545401516,0.7377377649077831,0.259921892164695,0.005376237831325015,43737.934927378534,-21793.807934277822
B,1,9,0.883901252288116,0.48680362327060933,0.6875112236133695,1.730216897721634,0.8399600786038178,0.21862151699543297,0.05102889437200231,43432.53694117736,-21641.108941177234
B,2,0,0.567619852134964,0.3234045050230837,0.2983057994433034,1.1526801985217254,0.5700375898883854,0.09110447874461206,0.05841726173518236,37122.887813919675,-18451.20993048972
B,2,1,0.6791422230150105,0.29643081721525705,0.19081251072082975,1.4663985852726,0.4411527083247639,0.17794553400178156,0.021744729854327405,38242.246412605295,-19010.88922983253
B,2,2,0.24972471080635034,0.08884236124072022,0.2895947082398927,1.2890640959427397,0.5421553150962227,0.09667697939715136,0.03294349195731716,37773.69808724319,-18776.615067151477
B,2,3,0.7745083078818993,0.38646095534819924,0.29150094594540804,1.304783731616558,0.5309680371249978,0.11171697632764854,0.0017226765034955571,37527.88650023761,-18653.70927364869
B,2,4,0.883062511795743,0.4436792462066842,0.2243187571140759,1.2508719545224558,0.506918528879286,0.14461661597047842,0.012849882481615449,38351.81396750313,-19065.673007281446
B,2,5,0.4052191346151392,0.2245523605123561,0.46595841180651615,1.4239479479673773,0.6685834899125153,0.12354359443642673,0.00405414829363282,39466.062611484595,-19622.79732927218
B,2,6,0.5783178581993573,0.19666642009286492,0.21564024232275858,1.2913039273894282,0.5113787986702875,0.10956597730038295,0.014146151928040362,37935.48399715145,-18857.50802210561
B,2,7,0.48992683750176486,0.2659292394247861,0.39593723767647787,1.128426835470166,0.6367566396677538,0.0899009399343062,0.03891277389300718,37556.23187864156,-18667.881962850664
B,2,8,0.9395518429476505,0.3997571426987706,0.23439675289232093,1.167795650608389,0.5015469835485137,0.12817462031553364,0.0006549837733542674,37595.95691486443,-18687.744480962097
B,2,9,0.454873918853182,0.2633321242038217,0.40434390181194135,1.1644955211633685,0.6175636071001028,0.11834721528746045,0.01371114203056889,37583.68895613999,-18681.610501599876
B,3,0,0.16025695749051952,0.04797186690524476,0.013457360736807289,0.5929217783496425,0.3033667937621941,0.09737608602513194,0.03350357893656308,32835.03507844899,-16274.714433342751
B,3,1,0.15561468839438514,0.036902314025616806,0.016816732356016256,0.5675026754924025,0.3112291276270477,0.019572662998799912,0.008231008860798472,32512.57753343677,-16113.485660836643
B,3,2,0.16952170604137554,0.06081890488936693,0.014379065275311893,0.6655042522526838,0.307100740983318,0.061800827643453966,0.03296725578737264,32540.586622864594,-16127.490205550554
B,3,3,0.17421541981093916,0.04632780295823709,0.014588882325793744,0.6473882282338799,0.3089856867292403,0.0654883714660994,0.03754699393211902,32369.54630471015,-16041.970046473332
B,3,4,0.15305992896328044,0.026712147834087794,0.010404726956294224,0.5798385837395029,0.31341145339360993,0.019067835060202352,0.007745758609568831,32529.177736241523,-16121.785762239018
B,3,5,0.15586358921186774,0.024997581270413925,0.01569601564906842,0.511652062517917,0.2971576097590916,0.020734455876533886,0.010049391816268183,32359.639868077462,-16037.016828156988
B,3,6,0.3332544223009338,0.2921066337600075,0.01343240314100563,1.2878431329109994,0.3046670365,0.11493744623324173,0.11548208113479003,34525.633906883435,-17120.013847559974
B,3,7,0.15209658166833534,0.045667517594418755,0.011530784007816916,0.5824406676851602,0.31240007678891973,0.02845248508887559,0.01745243626755455,32495.724603965573,-16105.059196101043
B,3,8,0.1643576318417543,0.02537555343670004,0.009839588543661572,0.5638949752396085,0.3163185154314624,0.0264311546742878,0.008830046713025397,32366.86354640704,-16040.628667321776
B,3,9,0.156942064192861,0.030485694649702147,0.018295489516903983,0.5173926111714701,0.30165912676492107,0.02487614566132939,0.013830914872805466,32350.446395730643,-16032.420091983578
B,4,0,0.6275226588098409,0.3740903481425974,0.01621346936635451,0.6458110046587958,0.2959821158784102,0.0880454816772851,0.13823267098554154,33210.57938043931,-16432.422772573336
B,4,1,0.2838118908116341,0.11337320635436485,0.016298481004976755,0.6448550685192264,0.3035687687597282,0.037505203830130764,0.1150722586925777,32949.22054712661,-16301.743355916988
B,4,2,0.5596364543948379,0.20545774799290362,0.019143865513749293,0.6197522075053334,0.3017724072699677,0.021718382993727914,0.10484660353590142,32668.860002646874,-16161.563083677116
B,4,3,0.27128630338386944,0.12459645463224714,0.015842214416221533,0.7723419199934869,0.3058169660334619,0.054512865028040355,0.13305122579441653,32755.958989511248,-16205.112577109303
B,4,4,0.5368450055694328,0.30707593029689534,0.010342319341538092,0.6183028763910635,0.3106023480803067,0.028412221483998242,0.10532497384414413,32962.89216625182,-16308.57916547959
B,4,5,0.4192605972531192,0.27370049860070383,0.016426930611488564,0.6178198928779186,0.29634086469659304,0.03423400064491266,0.1296750859057509,32821.8247236862,-16238.045444196781
B,4,6,0.4140149653703595,0.4017512585839401,0.016296167492997976,0.8850232746109,0.2963160150957472,0.07283285483274146,0.14469456672188713,32745.51041637501,-16199.888290541185
B,4,7,0.4786862052469814,0.20368419024544898,0.011969989081214858,0.6455680389781546,0.30774636331007754,0.020129997951021605,0.10886986113485664,32905.13810769017,-16279.702136198764
B,4,8,0.5749564964602465,0.22823007880241283,0.012055778280823683,0.6195773617124891,0.31505092808606533,0.0493139053163748,0.12097220089113087,32882.46645345888,-16268.366309083121
B,4,9,0.4882439062886274,0.22616648051825766,0.019518954623008105,0.6186411732979622,0.2972781218608164,0.026524324517309135,0.11227056796968055,32785.33568517584,-16219.8009249416
B,5,0,0.6990972906407552,0.3339251431958088,0.01717549510171544,0.8706802205280197,0.2930265688693335,0.07116573208198093,0.1856257072122557,33593.33535387687,-16596.242265174584
B,5,1,0.5076764565100997,0.2784148657938009,0.021490420424802176,0.6274653878086647,0.30276310609587187,0.029327398598656164,0.16999816812077062,33333.94541236035,-16466.547294416327
B,5,2,0.6372299750244058,0.2165924746912462,0.019025695298358843,0.6347211987974155,0.29638419049024756,0.02393134717010368,0.16859463573976763,33147.647058165174,-16373.398117318737
B,5,3,0.650453707458004,0.3293000807126417,0.021049498416826982,0.6291378353810754,0.29549313234967817,0.02251921607377036,0.17335610757493924,32904.58735390016,-16251.86826518623
B,5,4,0.5044355681064278,0.26185359086877147,0.011126482227625642,0.6548601636822282,0.3037332635274283,0.03991611594077348,0.17636963439251446,33418.90337134368,-16509.026273907988
B,5,5,0.5833104842507516,0.3674641913851926,0.01961624644432857,0.6467289830312096,0.2938619415200567,0.041087726137641396,0.17690325742060214,33285.27798532581,-16442.213580899053
B,5,6,0.5560788745911747,0.4896246202396791,0.019911500945296607,0.6976674607128621,0.29021232813545866,0.03620785793177605,0.19152335236913665,33032.432774258676,-16315.79097536549
B,5,7,0.6560856814169893,0.32630428207036916,0.015394140978226533,0.6401591961288281,0.30534231224950464,0.039382584440966366,0.1819099739746538,33387.457217466654,-16493.30319696948
B,5,8,0.3244622177664978,0.1476337490127393,0.01312213984771824,0.674592241823971,0.3070089385676873,0.041196738003345564,0.1803382509936236,33297.401748238815,-16448.275462355556
B,5,9,0.5211546710713983,0.3701477715061706,0.02194121419327094,0.6127034488233447,0.29036091198822944,0.04074115142409271,0.18041218995616914,33259.74579091724,-16429.44748369477
B,6,0,0.4763372153678856,0.2861640381515594,0.01754012003155823,0.6449815673159172,0.29174607920549067,0.06051420702574968,0.21450148274398134,33975.086344611926,-16762.06458407163
B,6,1,0.6764624058647051,0.31767735126421803,0.019597652457819262,0.6738108292655376,0.29823233868984095,0.026543409735534224,0.21004838121872044,33899.444653489445,-16724.24373851039
B,6,2,0.6863140959238245,0.463085416063998,0.0190888356909535,0.6395165205300855,0.29660027200140804,0.017589445569065856,0.20773405843621867,33569.25473690152,-16559.14878021643
B,6,3,0.6806356504175477,0.36251400034062026,0.020645687041679756,0.7187773030340718,0.2945666589057766,0.03472101497481551,0.2180414440064476,33376.594738593594,-16462.818781062466
B,6,4,0.7410870256003111,0.32529690902124936,0.01371817163768809,0.6827989366426394,0.3011309259707149,0.035276844058570525,0.2121595795979614,33857.71201436338,-16703.37741894736
B,6,5,0.744458805647564,0.4238742918297568,0.02238650220867362,0.6896140420579913,0.2883999001586277,0.037398262788098074,0.21586948117885713,33668.52332431648,-16608.783073923907
B,6,6,0.6745935027957523,0.3872568394891814,0.021041264185700195,0.7248892834040066,0.2868705278574444,0.02200852411483428,0.2214790094712089,33527.62562220011,-16538.334222865724
B,6,7,0.6876960740222731,0.35716380443539747,0.016174454324088816,0.6452632087227445,0.2992754264822831,0.0384333908858567,0.21414203110626978,33814.45954531788,-16681.751184424607
B,6,8,0.7423204815202047,0.3807539356135225,0.017502612534686532,0.6526380311423134,0.2992456279501877,0.03675168895695306,0.21067258153854457,33566.58609980928,-16557.81446167031
B,6,9,0.49618144346231013,0.2546642085133912,0.02120793038070131,0.6134286510008891,0.295199711418826,0.03061249291418448,0.20835635298536626,33694.36070061788,-16621.70176207461
