scenario,k_true,k_est,trial,rmse_Z,BIC
A,1,1,0,0.21801417585162486,18084.047567148576
A,1,1,1,0.19908733993165,17877.09185326052
A,1,1,2,0.21461140011066357,18111.233585101305
A,1,1,3,0.18520316522067076,17668.36544844417
A,1,1,4,0.18702095041328226,17830.056818598587
A,1,2,0,0.7225524203373573,18554.6856779417
A,1,2,1,0.37129848891953793,18272.59035823993
A,1,2,2,0.43533438708076416,18546.056471607906
A,1,2,3,0.4190737896437688,18121.52378146568
A,1,2,4,0.37292648156413766,18289.316278719903
A,1,3,0,0.6302106523693592,19017.62318435977
A,1,3,1,0.5575068077735004,18735.075035454312
A,1,3,2,0.5987562746358168,19002.527438381483
A,1,3,3,0.7257903155410987,18561.204907982254
A,1,3,4,0.5855532772726814,18873.647832060928
A,1,4,0,0.5213248912166246,19448.346719332894
A,1,4,1,0.6339962078203217,19240.859496286084
A,1,4,2,1.1595473719954332,19441.93611416729
A,1,4,3,0.6950006919242834,19072.19307282515
A,1,4,4,0.7375140476947212,19299.031687198796
A,1,5,0,0.7048420935649544,19962.70834292445
A,1,5,1,0.6747625608780777,19713.13229126114
A,1,5,2,0.7143489189623434,19903.008193964895
A,1,5,3,0.9039414716469506,19592.00176390242
A,1,5,4,0.8173903358858634,19738.32346620091
A,1,6,0,0.8263613606985653,20471.911240413625
A,1,6,1,0.7582202971017166,20229.84368771853
A,1,6,2,0.8162777264411148,20425.630617557785
A,1,6,3,0.9477433187644957,19985.817038717807
A,1,6,4,0.8166372115074065,20236.24372282355
A,1,7,0,0.7040850559395393,21000.321698938587
A,1,7,1,0.820725402315711,20675.609353507523
A,1,7,2,0.8654086430262287,20866.56130957641
A,1,7,3,1.211957184475414,20451.677222482518
A,1,7,4,0.6480234499328209,20735.371885415934
A,1,8,0,0.81474867633455,21374.08714903838
A,1,8,1,0.7355805290379698,21120.4270269287
A,1,8,2,0.9331816014957873,21333.7117980076
A,1,8,3,0.811981548728593,20928.133740436297
A,1,8,4,0.9530452797433066,21169.969685360997
A,1,9,0,0.7455363896958781,21885.057044290028
A,1,9,1,0.7500018803166117,21589.88680844223
A,1,9,2,1.1867567352607884,21809.68647902514
A,1,9,3,1.2481532581840844,21398.228724692028
