scenario,k_true,k_est,trial,rmse_Z,BIC
B,1,1,0,0.10848671914499945,31036.229203313764
B,1,1,1,0.11342961410280493,31298.671273426356
B,1,1,2,0.112929698724302,31127.888954989718
B,1,1,3,0.10901947715390216,30980.670908333293
B,1,1,4,0.09373012193543924,31108.512154251624
B,1,2,0,0.8806797107180374,31488.639568052266
B,1,2,1,0.29314428337819115,31682.54594732625
B,1,2,2,0.3760284756087223,31593.432698499193
B,1,2,3,0.30064332353314616,31414.898840255933
B,1,2,4,0.44153250310262987,31544.650606380783
B,1,3,0,0.566199370259275,31923.480795326435
B,1,3,1,0.6247756715307035,32197.473261373154
B,1,3,2,0.5352157897365576,32080.84661453077
B,1,3,3,0.7301682440575753,31855.880619907955
B,1,3,4,0.5058265766284691,32037.379254541745
B,1,4,0,0.5340629573112161,32303.81131293466
B,1,4,1,0.685831434785374,32563.093222972508
B,1,4,2,1.1823854420563318,32475.626812664603
B,1,4,3,0.7183797519029324,32302.88426510581
B,1,4,4,0.6207603658718159,32453.0779528362
B,1,5,0,0.6226081871045105,32769.177385291216
B,1,5,1,0.5909126475744019,32995.9921196641
B,1,5,2,0.9324044248856345,32976.47851261836
B,1,5,3,1.0265869516035804,32774.004020853565
B,1,5,4,0.7078471143328882,32940.402252350745
B,1,6,0,1.301179709718896,33125.711335840075
B,1,6,1,1.1096107494558194,33396.1617313462
B,1,6,2,0.7272187693803558,33320.29212433461
B,1,6,3,1.1774227705767244,33222.08979291567
B,1,6,4,1.1297690530750277,33389.955793509114
B,1,7,0,0.6501735769517091,33650.12655599324
B,1,7,1,0.7711763257583479,33842.22781534914
B,1,7,2,0.6728550940551629,33808.812865612395
B,1,7,3,1.2167113469764743,33706.1249089094
B,1,7,4,0.864043501671776,33839.25959245954
B,1,8,0,0.8149647904296606,33967.65569693916
B,1,8,1,0.7501081852111635,34235.21071537467
B,1,8,2,1.318578309426094,34237.84685412782
B,1,8,3,1.1466424787883875,34034.229309273425
B,1,8,4,0.7504209556152472,34294.90654738417
B,1,9,0,1.022801202547564,34376.891134645586
B,1,9,1,0.7672006901507437,34797.5123863139
B,1,9,2,0.7394753428323704,34778.98996268052
B,1,9,3,1.255232410735042,34542.77005828937
B,1,9,4,1.0809913381394498,34673.90386659556
B,1,10,0,0.9052931488424732,34875.808285431696
B,1,10,1,0.7183238652973688,35212.318735867455
B,1,10,2,1.1518440823709262,35194.401859603844
B,1,10,3,0.9913663929966163,34883.276893835435
B,1,10,4,0.893935619788294,35039.828959520426
B,3,1,0,1.2116190940399045,44250.43953678848
B,3,1,1,1.2111804827971704,45435.42687159523
B,3,1,2,0.6389586893779409,44752.88038340357
B,3,1,3,1.4213572065859599,44088.25705544452
