scenario,k_true,k_est,trial,rmse_Z,BIC
C,1,1,0,0.02893700050993651,-37058.4818237513
C,1,1,1,0.031865652558440295,-36789.355359770096
C,1,1,2,0.028796553497957247,-36971.13482802737
C,1,1,3,0.027053133607988437,-36945.50459566606
C,1,1,4,0.024299495552015483,-36614.85146360724
C,1,2,0,0.36884736195542756,-36629.546096394464
C,1,2,1,0.38112040386923746,-36388.63150125511
C,1,2,2,0.17754279710746423,-36487.34690981659
C,1,2,3,0.39202415958919723,-36521.22973352838
C,1,2,4,0.17901435945367417,-36170.08216556767
C,1,3,0,0.3064494081932671,-36124.66762355943
C,1,3,1,0.5466592457488494,-35909.84876267626
C,1,3,2,0.25364332983522486,-36003.74584194357
C,1,3,3,0.611628750860583,-36088.78645236531
C,1,3,4,0.3021038940925085,-35614.86778803618
C,1,4,0,0.47929303443951415,-35686.471881912796
C,1,4,1,0.6208493498377163,-35414.599531149746
C,1,4,2,0.6110516521688868,-35599.66200880415
C,1,4,3,0.6652688812648473,-35579.69066110997
C,1,4,4,0.28774037974304617,-35142.74561617877
C,1,5,0,0.8750359806090241,-35200.60961662181
C,1,5,1,0.4372594359736804,-35004.41836356625
C,1,5,2,0.7569776527557516,-35174.106170727355
C,1,5,3,0.5216714669005414,-35006.01854570095
C,1,5,4,0.7821002062884905,-34682.14783524076
C,1,6,0,0.43800929194223476,-34783.37301319556
C,1,6,1,0.3992583130221755,-34553.95035586193
C,1,6,2,0.5481835265262184,-34749.47402824069
C,1,6,3,0.5576674032528033,-34580.958458272464
C,1,6,4,0.4173798011985596,-34210.136655500275
C,1,7,0,0.4030861519082375,-34218.7615022974
C,1,7,1,0.8250161678508053,-34047.44097360975
C,1,7,2,0.5331980909260875,-34237.57637934751
C,1,7,3,0.5649184505385458,-34118.157706716804
C,1,7,4,0.9816512104570354,-33797.49646973651
C,1,8,0,0.9531831404200906,-33814.30504448039
C,1,8,1,1.0937452469297002,-33532.711043902804
C,1,8,2,0.7162159466983913,-33762.21000959753
C,1,8,3,0.4588438461918897,-33668.25160809662
C,1,8,4,0.4666266256128427,-33329.95013730743
C,1,9,0,0.8406312795339862,-33210.02267294325
C,1,9,1,0.43946319865361605,-33140.666673696476
C,1,9,2,0.5365674703608475,-33216.535690592435
C,1,9,3,0.8998813599143779,-33252.88892767815
C,1,9,4,0.9995917166081514,-32865.744682495664
C,1,10,0,0.9483483125511479,-32789.794788674204
C,1,10,1,0.4590842015838325,-32654.416636542574
C,1,10,2,0.6981351361742224,-32760.82322185228
C,1,10,3,0.4684620017650657,-32775.232235223244
C,1,10,4,0.43994233166120145,-32450.232033200165
C,3,1,0,1.0640155906287105,5584.3625195201885
C,3,1,1,0.8164567399563326,6558.355653337323
C,3,1,2,1.0226722304687579,5542.588453241322
C,3,1,3,0.8064717204265736,5928.510657288223
C,3,1,4,0.6328137285051542,5605.332764506776
C,3,2,0,0.5085493699243235,-2285.4442443591397
C,3,2,1,0.7384373396171632,-1246.537340874319
C,3,2,2,0.5029561098737694,-2337.383280869326
C,3,2,3,0.4932736875965187,-1860.1388258830095
C,3,2,4,0.6090787178865467,-4302.719742234833
C,3,3,0,0.03003244980394009,-35315.540848662735
C,3,3,1,0.027872228356049772,-35897.529061683395
C,3,3,2,0.0272514147838628,-35589.5940114008
C,3,3,3,0.02793567366596753,-35840.48024534855
C,3,3,4,0.0281136984688389,-35738.0095574364
C,3,4,0,0.2957286456042338,-34864.65900997298
C,3,4,1,0.46575015190683244,-35531.38482113114
C,3,4,2,0.15322523952933537,-35080.54056991428
C,3,4,3,0.44270280817920954,-35315.95770527365
C,3,4,4,0.5336753736117391,-35233.58519888245
C,3,5,0,0.4502937113343119,-34405.265286649
C,3,5,1,0.4438988154313681,-34942.386350238994
C,3,5,2,0.6117646933465934,-34654.64255671025
C,3,5,3,0.5311764923877241,-34846.648236119014
C,3,5,4,0.6483041162644534,-34789.25900671467
C,3,6,0,0.4385666118821434,-33908.79189299698
C,3,6,1,0.5148970550564587,-34522.1281991846
C,3,6,2,0.47388210646118467,-34071.88323610255
C,3,6,3,0.5590221155260272,-34448.89968334039
C,3,6,4,0.23029208642102447,-34370.41247183794
C,3,7,0,0.5696768169332385,-33332.79356722127
C,3,7,1,0.5126375590578741,-34013.00884022272
C,3,7,2,0.4326738130621241,-33729.53324065459
C,3,7,3,0.7405779856058674,-33970.20593162513
