scenario,k_est,trial,rmse_Z,BIC,Q_strict
A,1,0,0.7608995711131118,20844.912694926963,-10384.876582757759
A,1,1,1.4104270252513058,21129.3038439937,-10527.072157291128
A,1,2,0.7385250005392613,20546.599819888303,-10235.720145238429
A,1,3,1.0959511636692367,21184.45871548752,-10554.649593038037
A,1,4,1.3987298682689804,22257.960523108217,-11091.400496848386
A,1,5,0.6899758936448295,20691.383193913935,-10308.111832251245
A,1,6,0.9868198735845162,20776.268242927683,-10350.554356758119
A,1,7,0.8925607617538535,21124.214548359712,-10524.527509474134
A,1,8,0.7834778495073393,21364.37124633943,-10644.605858463992
A,1,9,0.7690788810980124,20760.84144630755,-10342.840958448052
A,2,0,0.5166644755133692,18415.10489894684,-9134.898237709025
A,2,1,0.572886089888516,18699.62082388116,-9277.156200176185
A,2,2,0.7338427508668305,18450.067722074236,-9152.379649272723
A,2,3,0.950594258867376,19216.18392108163,-9535.43774877642
A,2,4,0.7870829564216111,19515.646785979487,-9685.169181225348
A,2,5,0.7816711130906683,18828.47590902543,-9341.58374274832
A,2,6,0.6542122682398994,18494.617023868108,-9174.65430016966
A,2,7,0.7363184560398823,18383.85656100133,-9119.27406873627
A,2,8,0.9324587362905001,19073.187726043743,-9463.939651257477
A,2,9,0.9897404145699479,18949.727816338695,-9402.209696404952
A,3,0,0.30379689229837353,17146.525834373588,-8468.039576010773
A,3,1,0.2744490677165576,16709.17444119558,-8249.36387942177
A,3,2,0.2655525917110631,16692.635340481123,-8241.094329064541
A,3,3,0.2681889903912467,16861.43164292947,-8325.492480288714
A,3,4,0.2871407325296677,17140.042099503153,-8464.797708575556
A,3,5,0.2809584355847974,16964.09902442419,-8376.826171036075
A,3,6,0.2706015145117975,16805.886629278284,-8297.719973463121
A,3,7,0.2713230118178539,16535.556174480706,-8162.554746064332
A,3,8,0.2722226407566765,16880.49489783103,-8335.024107739495
A,3,9,0.29006015220504844,16803.87003380728,-8296.71167572762
A,4,0,0.529282018976641,17592.81980656229,-8661.122750340546
A,4,1,0.7138925832687001,17215.036552797308,-8472.231123458056
A,4,2,0.3530231633148846,17169.37140166337,-8449.398547891087
A,4,3,0.47469227358100385,17330.322434971236,-8529.87406454502
A,4,4,0.525220343766993,17593.563453205094,-8661.494573661948
A,4,5,0.578052796243891,17453.66807550741,-8591.546884813106
A,4,6,0.4472542721431499,17252.74508276099,-8491.085388439897
A,4,7,0.423947878518798,16957.34008500762,-8343.382889563212
A,4,8,0.5166785789969406,17262.27552404193,-8495.850609080366
A,4,9,0.4883453522637697,17319.253045286834,-8524.339369702819
A,5,0,0.7087965026910432,18097.12387546774,-8885.716290675742
A,5,1,0.6845983302077063,17727.050160276096,-8700.67943307992
A,5,2,0.8721019873224509,17651.769139769003,-8663.038922826374
A,5,3,0.7246203087009921,17882.206357265433,-8778.257531574589
A,5,4,0.7229622809963291,18088.794113049666,-8881.551409466705
A,5,5,0.6741293860077391,17908.44537992132,-8791.377042902532
A,5,6,0.7216104164560576,17667.24400381042,-8670.776354847083
A,5,7,0.5732794145122221,17418.80995057499,-8546.559328229367
A,5,8,0.7216713586053753,17831.51564122904,-8752.912173556393
A,5,9,0.6644704876994019,17756.891747515056,-8715.6002266994
A,6,0,0.6741275797947534,18566.213208236575,-9095.207780589679
A,6,1,0.6164968557431191,18197.704485193073,-8910.953419067928
A,6,2,0.8257485478172836,18164.32597653712,-8894.26416473995
A,6,3,0.5072830039476862,18406.520998508597,-9015.36167572569
A,6,4,0.7252764108105325,18518.015715476515,-9071.109034209649
A,6,5,0.6726478290479376,18378.72858515574,-9001.46546904926
A,6,6,0.7699816904157663,18199.100876277564,-8911.651614610173
A,6,7,0.6904774198288381,17961.45829403955,-8792.830323491165
A,6,8,0.8015069550904264,18305.426951298592,-8964.814652120687
A,6,9,0.6339304207600897,18251.217514334712,-8937.709933638747
