scenario,model_fx,model_fy,fix_w,fix_x,condition,correct,trial,rmse_Z,rmse_F,rmse_Y,rmse_X
A,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,0,0.6426436679034558,1.149955463824245,2.7588103717559584,1.81485165956858
A,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,1,0.807729189092785,1.1289429392833839,2.7862160373703673,1.698769668507375
A,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,2,0.6747639766534903,1.0609868512279288,2.7797749916432446,1.6530123501363823
A,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,3,0.6252271955823944,1.0925306419195864,2.764182461002511,1.6893902805932917
A,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,4,0.6543391831850494,1.0901553102519033,2.7602243457526145,1.5411261567361525
A,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,5,0.8185043975576816,1.0627480735015828,2.776277993571828,1.5709549953964972
A,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,6,0.7837562356892903,1.0949731384827928,2.7691534756401888,1.5488748633732559
A,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,7,0.59956930125502,0.8849492173280876,2.7662179757616294,1.5275375406511744
A,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,8,0.7903028072560062,1.1230312573293377,2.7708867968109816,1.687182454169609
A,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,9,0.7433502190377124,1.1094255369373438,2.7912482085059986,1.5726856845517578
A,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,0,0.6798370185794056,1.2512395721884249,0.20321214813744984,1.761783339377058
A,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,1,0.765394753679907,1.2479583979716982,0.21990243671211004,1.6699464003444122
A,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,2,0.6602817923654072,1.216929732697107,0.20446985390501024,1.6203637842087832
A,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,3,0.6486691640068818,1.202266118144105,0.19771579564449507,1.6231887407945302
A,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,4,0.6742878544597811,1.1285914868979363,0.20976418558556845,1.5050804750123368
A,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,5,0.7710210700058869,1.2525518904368311,0.2044840995668514,1.5608462808639554
A,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,6,0.7585851442113541,1.2007202084216284,0.21023987135122216,1.528198562623132
A,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,7,0.596823623130614,0.9841934671685987,0.20392659205548397,1.5017969051456783
A,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,8,0.7554147243971471,1.2739755676322313,0.2136545561176042,1.6677602678687375
A,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,9,0.7106152745788711,1.284861728030195,0.21802351799450306,1.5560911057965658
A,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",False,0,0.7261555234156203,1.1879562610475642,375.4691314236603,1.7727394599103374
A,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",False,1,0.8298829827123954,1.1064744268568794,521.8364004828127,1.6635737709093963
A,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",False,2,0.7301576245297596,1.1850618406057662,748.5756488347379,1.6011879446955943
A,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",False,3,0.7603833095737745,1.0674475432519321,333.63970262507735,1.6084447997078222
A,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",False,4,0.8018660503672285,1.0669633959330724,257.8213689661237,1.466087624892632
A,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",False,5,0.8182931247470888,1.1490228911075682,480.40100196831986,1.5599200567060947
A,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",False,6,0.7949438053724575,1.1498477114740955,294.31893208550895,1.5352715894938147
A,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",False,7,0.7041040291609452,0.920826530190404,561.7009456258488,1.4730683822879596
A,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",False,8,0.8028449380793402,1.198199790605388,522.579434962991,1.676530825954383
A,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",False,9,0.7896582890956593,1.1416475932112622,580.7904136767439,1.5596593859451335
A,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",False,0,0.607526078123251,3.440039917605857,2.8286184489955555,2.3275428766914454
A,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",False,1,0.6411921326906347,3.4764687991382464,2.823750371463942,2.218929409167709
A,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",False,2,0.9974592100911943,3.572321750965817,2.8646522891756043,2.3164687617696367
A,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",False,3,0.5640390446711187,3.2291467129997704,2.8236768591597863,2.2488438301166114
A,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",False,4,0.7612737216662069,3.4571391537944454,2.846694281066366,2.0878359077972095
A,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",False,5,0.8753605739125991,3.471066246505858,2.8529769960365963,2.2287401710786905
A,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",False,6,0.8512183570462412,3.412375778528028,2.84727176986667,2.103695623915136
A,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",False,7,1.327296901695047,3.3167973600320293,2.9226413312039474,2.263702355830598
A,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",False,8,0.6854804683307844,3.429252990658398,2.835759759064206,2.226434647139296
A,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",False,9,0.5873418514381015,3.3942852766692604,2.831932883562793,2.2010384378412757
A,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,0,0.9750050345559577,2.834227896399526,0.3058090452947271,2.4242807428803914
A,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,1,0.7835610284253858,2.672761374302963,0.28793678268481493,2.2637078727511026
A,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,2,1.011278982677097,2.78303904027015,0.2994772279189866,2.39882708538036
A,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,3,0.9850893447346415,2.4199128572265316,0.30480813550060437,2.335170876405756
A,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,4,0.9412826034003526,2.584199001898229,0.3039983384155813,2.214372145239898
A,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,5,0.9864296776025735,2.652870198539397,0.2948678835257029,2.3267472609141975
A,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,6,0.9810288231388253,2.615742727066815,0.30094057651380246,2.203659539913699
