scenario,k_est,trial,rmse_Z,BIC,Q_strict
B,1,0,1.1129274342577444,43697.59557572458,-21773.638258450846
B,1,1,1.2015540668605662,45582.82253325684,-22716.251737216975
B,1,2,0.7940384884155807,43357.27501414194,-21603.477977659524
B,1,3,1.1534977035265352,46302.94532349686,-23076.313132336985
B,1,4,1.2154610035804116,43514.48534568401,-21682.08314343056
B,1,5,1.0764638384368121,43679.8778090048,-21764.779375090955
B,1,6,1.1808903854857704,43311.5706241936,-21580.625782685354
B,1,7,0.9229257783678151,43983.558287278414,-21916.619614227762
B,1,8,0.9701835947113535,44509.19535018328,-22179.438145680197
B,1,9,0.9990374230330411,44341.01106801491,-22095.34600459601
B,2,0,0.8857139646511479,38622.65712850819,-19201.094587783977
B,2,1,0.5801182357783483,37850.89089504136,-18815.211471050563
B,2,2,0.8257771666685955,37339.38238400408,-18559.457215531922
B,2,3,0.8364635797074484,39393.657986597995,-19586.59501682888
B,2,4,0.551332648724137,37555.99135493618,-18667.761700997973
B,2,5,0.5740267143699928,37729.199647356814,-18754.36584720829
B,2,6,0.6936065917496105,38636.514831307286,-19208.023439183526
B,2,7,0.4769649239855073,37418.15755961055,-18598.844803335156
B,2,8,0.8632322033483313,38159.36033842525,-18969.446192742507
B,2,9,0.2232599781899314,38378.257298850054,-19078.89467295491
B,3,0,0.15132332121720515,32414.62049641073,-16064.507142323622
B,3,1,0.1515640057235803,32680.464250799214,-16197.429019517864
B,3,2,0.1598315607269857,32200.143911326413,-15957.268849781463
B,3,3,0.36520090466998284,35730.5933030226,-17722.493545629557
B,3,4,0.15963058799445404,32221.183590538672,-15967.788689387593
B,3,5,0.15191916840739397,32346.081188094875,-16030.237488165694
B,3,6,0.19880461248572515,32932.7171102934,-16323.555449264955
B,3,7,0.1674957843968312,32636.453820896313,-16175.423804566413
B,3,8,0.1579917660088296,32508.23899075514,-16111.316389495827
B,3,9,0.15335392479702395,32588.280970539105,-16151.337379387809
B,4,0,0.4295198135361447,32810.515047372384,-16232.390606039873
B,4,1,0.5786286423946654,33058.29930420499,-16356.282734456177
B,4,2,0.47233792847987904,32651.07629457531,-16152.671229641333
B,4,3,0.4539235346099933,33395.91910475393,-16525.092634730645
B,4,4,0.36690939192770394,32664.107977041884,-16159.187070874621
B,4,5,0.45372279644906666,32835.371195556894,-16244.818680132126
B,4,6,0.46443116051110495,33007.39726448614,-16330.83171459675
B,4,7,0.2478084933137311,33032.93181732314,-16343.59899101525
B,4,8,0.36910336702302937,32962.71596897414,-16308.49106684075
B,4,9,0.5232059723146314,32991.634138725174,-16322.950151716268
B,5,0,0.6631329028272998,33293.49311692425,-16446.321146698276
B,5,1,0.7077540700649383,33505.58033535602,-16552.364755914157
B,5,2,0.5869680302112602,33107.28057880211,-16353.214877637205
B,5,3,0.61982746408166,33235.31905989122,-16417.23411818176
B,5,4,0.4587716234886814,33173.95949724088,-16386.554336856592
B,5,5,0.6096024118970832,33192.47600102637,-16395.812588749337
B,5,6,0.522799522925547,33253.21306285742,-16426.18111966486
B,5,7,0.3650566523402993,33435.88489733641,-16517.517036904355
B,5,8,0.29455352719683586,33407.70069168572,-16503.42493407901
B,5,9,0.5467529061707597,33485.246865238645,-16542.198020855474
B,6,0,0.65719609563436,33663.656701008615,-16606.349762269976
B,6,1,0.691671607246541,33969.33841494693,-16759.190619239133
B,6,2,0.569390759928979,33536.56120618532,-16542.802014858327
B,6,3,0.6773700366520208,33530.82326496676,-16539.93304424905
B,6,4,0.7012852554086805,33572.45292583838,-16560.747874684857
B,6,5,0.6187819695785206,33678.20233446503,-16613.622578998184
B,6,6,0.6790774759563581,33726.234459509134,-16637.638641520236
B,6,7,0.511449631228279,33798.40887313142,-16673.725848331378
B,6,8,0.43686515472093684,33815.833751358055,-16682.438287444696
B,6,9,0.48193025847095905,33840.12961234407,-16694.586217937704
