scenario,model_fx,model_fy,fix_w,fix_x,condition,correct,trial,rmse_Z,rmse_F,rmse_Y,rmse_X
B,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,0,0.5904316261215798,0.17204750115251996,2.4004824532600715,0.4872069002487803
B,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,1,0.21364052007408477,0.04041874607118383,1.7526290745287705,0.32280422359422695
B,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,2,0.23667162064673902,0.05840355020694134,1.8641954186698757,0.32632087141550165
B,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,3,0.6656770229692665,0.21380639815796337,2.3469502325900105,0.48338013771672583
B,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,4,0.23377345399641344,0.047799732200675245,1.7286742927880052,0.335422705191361
B,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,5,0.3403528444299972,0.07891917240602483,1.909078151606921,0.38201428732373105
B,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,6,0.8364613971134379,0.4483951649217323,3.6439400022349853,0.43856985767790113
B,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,7,0.22287737166042595,0.06439566683779505,1.7171759526885746,0.33421235720656023
B,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,8,0.2505329984763376,0.04697812067185311,1.752592085035168,0.3385363114888222
B,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,9,0.6635201380621246,0.2141526443348665,2.3548234188075234,0.5207936089704621
B,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,0,1.3065755049436274,8421531.337120181,0.532951392749281,0.8622211108913721
B,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,1,1.1032464769933636,0.3197346757711532,0.5278351842130519,0.7349944536097219
B,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,2,1.0119306027677033,0.250416107158533,0.5305697289959133,0.7964785063201175
B,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,3,1.2241291126054374,0.3173165087348697,0.5319517966224419,0.8361310039289879
B,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,4,1.1701292381107529,17649.162363743348,0.5316169190617624,0.9368802220206757
B,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,5,1.1412045963749626,0.34361160219231834,0.5299987749194609,0.807609179832781
B,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,6,1.1471543433757971,0.17738602968467537,0.5332721106942101,0.7842142394077183
B,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,7,1.0310651355715947,0.28566532149052054,0.5305634818425818,0.8034535604716072
B,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,8,1.192274886707869,0.43992378816223665,0.5327805614979619,0.8844930813194105
B,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,9,1.1585266552173497,24294432.33828758,0.5267138442170982,0.7371200370625196
B,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",True,0,0.16025695749051952,0.04797186690524476,0.5929217783496425,0.3033667937621941
B,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",True,1,0.15561468839438514,0.036902314025616806,0.5675026754924025,0.3112291276270477
B,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",True,2,0.16952170604137554,0.06081890488936693,0.6655042522526838,0.307100740983318
B,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",True,3,0.17421541981093916,0.04632780295823709,0.6473882282338799,0.3089856867292403
B,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",True,4,0.15305992896328044,0.026712147834087794,0.5798385837395029,0.31341145339360993
B,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",True,5,0.15586358921186774,0.024997581270413925,0.511652062517917,0.2971576097590916
B,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",True,6,0.3332544223009338,0.2921066337600075,1.2878431329109994,0.3046670365
B,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",True,7,0.15209658166833534,0.045667517594418755,0.5824406676851602,0.31240007678891973
B,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",True,8,0.1643576318417543,0.02537555343670004,0.5638949752396085,0.3163185154314624
B,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",True,9,0.156942064192861,0.030485694649702147,0.5173926111714701,0.30165912676492107
B,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",False,0,0.6068025280480439,3.2506139957769458,2.3970962330797474,0.8721837086978936
B,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",False,1,0.4149587912437418,3.402456719249869,1.8443876164448871,0.8700681227034287
B,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",False,2,0.725303223072313,3.2663339010597348,2.2462939667509394,0.8511902262558865
B,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",False,3,0.7658017894885911,3.4893088931687473,2.3959988978820683,0.8756104485233218
B,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",False,4,0.5272048798754144,3.166150135647577,1.9023784804019843,0.8729712687172659
B,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",False,5,0.6502978328381731,3.167183653880643,2.260788226355684,0.8851115911906134
