scenario,k_est,trial,rmse_Z,BIC,Q_strict
C,1,0,0.6101428045413102,6500.4977768508925,-3210.1638060726764
C,1,1,1.2990922000979712,6683.799915835643,-3301.814875565052
C,1,2,0.8933187838861008,6415.86123617534,-3167.8455357349003
C,1,3,0.9010486190984277,5369.049884684859,-2644.4398599896595
C,1,4,0.8137737697419457,6410.266471880567,-3165.0481535875138
C,1,5,1.4172167700958305,6259.142469769809,-3089.486152532135
C,1,6,1.1629059892731517,6856.785560488312,-3388.307697891386
C,1,7,0.7563181381438987,6188.846016439031,-3054.3379258667455
C,1,8,1.0191273850099003,6377.280062192277,-3148.5549487433686
C,1,9,1.1060131432594804,5854.754160209304,-2887.2919977518823
C,2,0,0.6172349135852313,-2402.219504610118,1276.2692817165027
C,2,1,0.5482818388447791,-718.9914163573405,434.6552375901141
C,2,2,0.6485472679378685,-1564.3310484425847,857.3250536327362
C,2,3,0.47874017854964446,-2384.4023289833663,1267.360693903127
C,2,4,0.5933491408039764,-887.4177300605982,518.8683944417429
C,2,5,0.5898198565960018,-1972.894477574508,1061.6067681986979
C,2,6,0.7261219040493216,-1014.5679198695548,582.4434893462212
C,2,7,0.5276008447729668,-1785.5233387427318,967.9211987828097
C,2,8,0.5115279917528421,-1448.3063955106184,799.312727166753
C,2,9,0.5227071898112746,-2366.6447152685805,1258.481887045734
C,3,0,0.028062418198226826,-35585.08313070172,17900.27022417393
C,3,1,0.027936724436939897,-36012.048705763504,18113.753011704823
C,3,2,0.02670767981488309,-35853.34111058501,18034.399214115576
C,3,3,0.02935246431439579,-35508.3858226937,17861.92157016992
C,3,4,0.027373313443256952,-35990.14968011717,18102.803498881654
C,3,5,0.026681265148334618,-35703.15878306242,17959.30805035428
C,3,6,0.030129738833459905,-35456.68981478959,17836.073566217867
C,3,7,0.029291182572864328,-35943.1033679433,18079.280342794722
C,3,8,0.030058260299492046,-35882.18667765418,18048.82199765016
C,3,9,0.028828233548261264,-35634.53285154709,17924.995084596616
C,4,0,0.27268580224678945,-35131.40673358607,17703.49583738068
C,4,1,0.3757514366627096,-35564.588290917614,17920.086616046454
C,4,2,0.13846564456742616,-35323.757897393865,17799.67141928458
C,4,3,0.1547898986977047,-35061.3222414316,17668.453591303445
C,4,4,0.2822039859936905,-35555.32352319517,17915.45423218523
C,4,5,0.413497913370136,-35199.125228952835,17737.355085064064
C,4,6,0.4348018776928431,-35040.27114254937,17657.92804186233
C,4,7,0.41826399137256015,-35456.02994536855,17865.807443271922
C,4,8,0.21960895489695031,-35372.889715251855,17824.237328213574
C,4,9,0.27909048266056985,-35187.56222789798,17731.573584536636
C,5,0,0.4998251110115257,-34653.04391470886,17491.872922059607
C,5,1,0.22903028320812777,-35095.14820689456,17712.925068152457
C,5,2,0.38290726917010287,-34838.262201661426,17584.48206553589
C,5,3,0.46758579023591657,-34669.27046135101,17499.98619538068
C,5,4,0.35342411261320833,-35125.87273043362,17728.287329921986
C,5,5,0.5110493535168538,-34693.81833591984,17512.260132665095
C,5,6,0.4178530084237884,-34551.90035537604,17441.301142393197
C,5,7,0.2649458303935267,-35002.551749036604,17666.626839223478
C,5,8,0.2288954352374427,-34857.12614298088,17593.914036195616
C,5,9,0.523572772020713,-34668.33271642412,17499.517322917236
C,6,0,0.2891878113081985,-34150.07913123099,17265.443706791153
C,6,1,0.6272339211953551,-34645.185914869006,17512.99709861016
C,6,2,0.4108032781080922,-34460.16314886369,17420.485715607505
C,6,3,0.3108186927344077,-34180.855286222584,17280.83178428695
C,6,4,0.25815567306709813,-34585.71931919915,17483.263800775232
C,6,5,0.5386349020040984,-34266.4426581161,17323.62547023371
C,6,6,0.46775054806590394,-34126.430663264,17253.61947280766
C,6,7,0.6232934711505311,-34577.99399146835,17479.401136909833
C,6,8,0.46192705972512366,-34467.5056660378,17424.15697419456
C,6,9,0.18901835556270924,-34182.9514223693,17281.879852360307
