scenario,model_fx,model_fy,fix_w,fix_x,condition,correct,trial,rmse_Z,rmse_F,rmse_Y,rmse_X
C,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,0,0.02692785001703382,0.42400061767937547,0.03286802907255788,0.6637017898138142
C,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,1,0.02723898245830705,0.44032889793316043,0.033431713116881284,0.6793571334957146
C,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,2,0.17779876505039124,0.4518379888583704,0.1966679273355545,0.6590003186186636
C,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,3,0.6445921376939664,0.7614766817918456,0.4684966689978054,0.46670972986255904
C,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,4,0.030503801414092858,0.4416002070418901,0.0369235388921335,0.6844218897876285
C,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,5,0.02926658677963671,0.43709228753316276,0.03577191407861064,0.6741472370654212
C,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,6,0.027658965983957794,0.4412052410612429,0.033524351189819626,0.6789832828793989
C,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,7,0.03352706081236451,0.43543261179521786,0.040251624443519714,0.6760141908615145
C,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,8,0.028839669059192483,0.43474310343112565,0.03507302989040512,0.6596831785588441
C,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,9,0.0289497501311653,0.44336424800586954,0.03495148151211182,0.6721783733495514
C,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,0,0.4519513699438263,0.4343926322426271,0.4751758962467945,0.669108806679891
C,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,1,0.4522469641444396,0.45103984373381334,0.47824000882974904,0.6837379539475904
C,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,2,0.4584460528692656,0.4568904526333222,0.47592602427645514,0.6871729010812034
C,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,3,0.8638445914787454,0.5077675166306262,0.4809265311804186,0.7005357241547453
C,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,4,0.4538265204085682,0.45168862101962753,0.4764135686573753,0.6883052294576295
C,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,5,1.1446551325032694,0.5308584328390364,0.49359761703031696,0.6968668896131196
C,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,6,1.1629753467264847,1214851.8992502464,0.5003664617937208,0.7265667988346545
C,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,7,0.4606106792797407,0.44789510370265306,0.47681586251737,0.6810698236231921
C,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,8,0.4556998082812761,0.4436195585599011,0.47855991480441074,0.6640598850143905
C,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,9,0.8609375625504697,145012.34877458238,0.4882676740124666,0.6875597247928267
C,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",False,0,0.6349313321937973,1.1602492751512077,2.3397374442457437,0.4832511460634387
C,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",False,1,1.6081423018978318,3.4602514096196626,3.4791867984681937,0.4951431585546834
C,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",False,2,0.6383114429729948,1.4193375854005958,2.0178125939577,0.47019169647471093
C,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",False,3,1.5445972798412893,0.6590763881654709,2.9292884074287886,0.5263834759641755
C,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",False,4,1.5886363971721262,0.6543784557035638,3.0568189002625332,0.5618116248635057
C,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",False,5,0.6456156970777074,1.3734914175194215,1.8616424617251817,0.48019232428660547
C,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",False,6,0.6543832879559142,1.3378479159373853,2.6890765473375136,0.4721456797924633
C,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",False,7,1.3964899595752276,1.1369118919296282,2.5886970303474577,0.5561593708430304
C,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",False,8,1.5186752861426955,1.4825754115285403,3.9890530848635364,0.4854170751736203
C,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",False,9,1.6760661000409698,0.8736028758129463,3.223369468283471,0.5481635307651249
C,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",True,0,0.0277529196021621,0.2125910360501798,0.0340478702789936,0.4458366624174452
C,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",True,1,0.02688172044377139,0.17013082508493885,0.03299703348662172,0.4580648282423544
C,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",True,2,0.027634866070269118,0.19721139241840674,0.03361741342058965,0.45967484775607326
C,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",True,3,0.026957092814685037,0.19862341691469385,0.03302059232838554,0.45679398180988284
C,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",True,4,0.02915474152953095,0.1741318158290785,0.034840118541797645,0.4590689940623935
C,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",True,5,0.030093847569585132,0.18649077434576494,0.036780881542662215,0.4568374639591614
C,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",True,6,0.02970843816440589,0.18953745748088388,0.0361249661273873,0.4584247001226445
C,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",True,7,0.031027170390977358,0.20769369940867016,0.03734220945665213,0.45301196357388485
C,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",True,8,0.028467456872507183,0.21663512911235605,0.034565620968360286,0.4539624172086621
C,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",True,9,0.0295532043807119,0.17078392074633872,0.035536155898959504,0.4605318244407138
C,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,0,0.44928954273936506,0.2498533093619907,0.475387059888635,0.4529753615670604
C,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,1,0.4504409602306238,0.24644699379129714,0.47811344553656604,0.4633206704399255
C,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,2,0.4575668391876785,0.22603225922801487,0.4758232068930454,0.46465121987014874
C,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,3,0.4499738000103866,0.2718992328064088,0.4778836714407437,0.46403220781899623
C,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,4,0.4518332957665493,0.19222508043649156,0.4762598000315378,0.4617209646986978
C,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,5,0.44731081996479216,0.18969422983903106,0.47640223310391333,0.45990213817134806
C,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,6,0.46247061422302665,0.28040852855830783,0.4808836120315416,0.4672628903598442
C,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,7,0.4480418848500413,0.2774121908648124,0.47616379992275965,0.4616565787699942
C,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,8,0.4531432862347358,0.2489126628986364,0.4785419371064186,0.4574557400700069
C,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,9,0.45313563119579015,0.3586595785826565,0.4783961726576201,0.473386270750898
C,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,0,0.2975343253089918,0.19727975792688235,1.786405435380375,0.44705316500050146
C,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,1,0.3245845301274619,0.16169520097430376,2.5692536344749897,0.4615124193285412
C,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,2,0.3229967425063918,0.1963315751531604,1.8748216532672324,0.4607109350898012
C,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,3,0.3187049605848429,0.19519680900047187,2.054219662879487,0.4577846710654929
C,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,4,0.32786195814029834,0.18592534170172217,1.9995752730995344,0.4607272331232689
C,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,5,0.30432229818858225,0.19244066838888013,1.6445523766622194,0.45959615154983274
C,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,6,0.32614240282117307,0.18471576864026312,2.5014431104508543,0.4605734910305908
C,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,7,0.329334634201175,0.1928595331352788,1.666170980056286,0.45408733214818436
C,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,8,0.31180298086818414,0.208804559523748,3.3193389143632097,0.4556244782495153
C,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,9,0.3411750053006102,0.1820635782412031,2.3321701235960646,0.462659495364573
C,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,0,0.027351613382091987,0.42648657367581344,0.03361635400834974,0.6967947842130228
C,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,1,0.027400066306096472,0.44303262088745854,0.03363862566024561,0.6929044782093506
C,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,2,0.027657522477065603,0.4472238877659112,0.03358563213994211,0.6905168581203406
C,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,3,0.026168639460098907,0.440740115552256,0.03210731218345174,0.6864840583183012
C,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,4,0.028652407725174363,0.44401142787125775,0.03405068246457016,0.6885411530576234
C,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,5,0.028495463867887833,0.4389211507972982,0.03466661752611501,0.6967688013489468
C,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,6,0.029873552440728868,0.44168768632061745,0.03633811755791656,0.6932222570663406
C,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,7,0.030594746265881892,0.4380243792358966,0.036745950919455865,0.6902873454218916
C,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,8,0.02851049615940388,0.43799924498645176,0.034635206605913745,0.7079557186457605
C,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,9,0.029524208725579655,0.4458014918794365,0.0355071467335643,0.7020347632707319
