case,family,init,optimizer,bfgs_method,bfgs_maxiter,bfgs_gtol,convergence_grad_inf_tol,n_iter,finite,converged,gradient_inf,scipy_success,scipy_status,scipy_nit,scipy_njev,fallback_solvers,retries,loading,score,reference_score,reference_loading,score_abs_difference,loading_inf_distance,score_tolerance,loading_tolerance,passed
case_A_balanced_nonseparable,bernoulli,init_zero,bfgs,BFGS,2000,1e-10,1e-08,9,True,True,2.826448719517316e-09,False,2,9,47,,0,1.033497639330e+00|-5.275810342959e-01|-1.856962026113e-01,-14.827889129646644,-14.827889129646644,1.033497639330e+00|-5.275810342959e-01|-1.856962026113e-01,0.0,4.5274894944213884e-13,1e-08,1e-05,True
case_A_balanced_nonseparable,poisson,init_zero,bfgs,BFGS,2000,1e-10,1e-08,12,True,True,3.462714559532287e-10,False,2,12,15,,0,2.644701742437e-01|-1.288392044129e+00|-7.916230195655e-01,-21.52200123228716,-21.52200123228716,2.644701742437e-01|-1.288392044129e+00|-7.916230195655e-01,0.0,1.9118040484045196e-13,1e-08,1e-05,True
case_A_balanced_nonseparable,bernoulli,init_pos,bfgs,BFGS,2000,1e-10,1e-08,8,True,True,3.2178177455932657e-09,False,2,8,17,,0,1.033497640148e+00|-5.275810362300e-01|-1.856962041854e-01,-14.827889129646644,-14.827889129646644,1.033497639330e+00|-5.275810342959e-01|-1.856962026113e-01,0.0,1.9340504753273535e-09,1e-08,1e-05,True
case_A_balanced_nonseparable,poisson,init_pos,bfgs,BFGS,2000,1e-10,1e-08,11,True,True,1.295818741198218e-09,False,2,11,14,,0,2.644701742549e-01|-1.288392044138e+00|-7.916230194207e-01,-21.52200123228716,-21.52200123228716,2.644701742437e-01|-1.288392044129e+00|-7.916230195655e-01,0.0,1.448045017227173e-10,1e-08,1e-05,True
case_A_balanced_nonseparable,bernoulli,init_neg,bfgs,BFGS,2000,1e-10,1e-08,10,True,True,7.968736781549524e-13,True,0,10,11,,0,1.033497641073e+00|-5.275810315252e-01|-1.856962000918e-01,-14.827889129646646,-14.827889129646644,1.033497639330e+00|-5.275810342959e-01|-1.856962026113e-01,1.7763568394002505e-15,2.770684459640904e-09,1e-08,1e-05,True
case_A_balanced_nonseparable,poisson,init_neg,bfgs,BFGS,2000,1e-10,1e-08,12,True,True,7.443148319907777e-11,True,0,12,14,,0,2.644701742387e-01|-1.288392044176e+00|-7.916230195585e-01,-21.52200123228716,-21.52200123228716,2.644701742437e-01|-1.288392044129e+00|-7.916230195655e-01,0.0,4.690159371989466e-11,1e-08,1e-05,True
case_B_sparse_nonseparable,bernoulli,init_zero,bfgs,BFGS,2000,1e-10,1e-08,11,True,True,2.2175994374151742e-11,True,0,11,12,,0,5.138760468168e-01|-9.177042209570e-01|-1.458402697998e-01,-15.373228816243131,-15.373228816243131,5.138760468168e-01|-9.177042209570e-01|-1.458402697998e-01,0.0,2.7644553313166398e-14,1e-08,1e-05,True
case_B_sparse_nonseparable,poisson,init_zero,bfgs,BFGS,2000,1e-10,1e-08,11,True,True,3.9996166378841734e-10,False,2,11,14,,0,1.271004167752e-01|-1.418957097734e+00|-7.924948040558e-01,-21.44416310994483,-21.44416310994483,1.271004167752e-01|-1.418957097734e+00|-7.924948040558e-01,0.0,4.403144515663371e-13,1e-08,1e-05,True
case_B_sparse_nonseparable,bernoulli,init_pos,bfgs,BFGS,2000,1e-10,1e-08,8,True,True,1.3018741640280495e-11,True,0,8,11,,0,5.138760468204e-01|-9.177042209263e-01|-1.458402697753e-01,-15.373228816243131,-15.373228816243131,5.138760468168e-01|-9.177042209570e-01|-1.458402697998e-01,0.0,3.067401888046106e-11,1e-08,1e-05,True
case_B_sparse_nonseparable,poisson,init_pos,bfgs,BFGS,2000,1e-10,1e-08,13,True,True,3.5318876712153725e-10,False,2,13,14,,0,1.271004168471e-01|-1.418957097566e+00|-7.924948039275e-01,-21.44416310994483,-21.44416310994483,1.271004167752e-01|-1.418957097734e+00|-7.924948040558e-01,0.0,1.6836865235347886e-10,1e-08,1e-05,True
case_B_sparse_nonseparable,bernoulli,init_neg,bfgs,BFGS,2000,1e-10,1e-08,11,True,True,6.270295394017467e-11,True,0,11,12,,0,5.138760468349e-01|-9.177042209621e-01|-1.458402697894e-01,-15.373228816243131,-15.373228816243131,5.138760468168e-01|-9.177042209570e-01|-1.458402697998e-01,0.0,1.8074652885502474e-11,1e-08,1e-05,True
case_B_sparse_nonseparable,poisson,init_neg,bfgs,BFGS,2000,1e-10,1e-08,12,True,True,1.767511292882773e-09,False,2,12,14,,0,1.271004169272e-01|-1.418957097733e+00|-7.924948039120e-01,-21.44416310994483,-21.44416310994483,1.271004167752e-01|-1.418957097734e+00|-7.924948040558e-01,0.0,1.5195292246694692e-10,1e-08,1e-05,True
