sequence,stage,replicate,start_label,execution_kind,seed,status,started_utc,finished_utc,detail
1,pilot,rep1,start_B,exploration,952001,SUCCESS,2026-09-25T12:44:07.497936+00:00,2026-09-25T12:44:18.805944+00:00,
2,pilot,rep1,start_B,refit,953001,SUCCESS,2026-09-25T12:44:18.806951+00:00,2026-09-25T12:44:29.535149+00:00,
3,pilot,rep1,start_P,exploration,952001,SUCCESS,2026-09-25T12:44:29.536787+00:00,2026-09-25T12:44:40.614434+00:00,
4,pilot,rep1,start_P,refit,953001,SUCCESS,2026-09-25T12:44:40.615515+00:00,2026-09-25T12:44:51.401478+00:00,
5,pilot,rep2,start_B,exploration,952002,SUCCESS,2026-09-25T12:44:51.405192+00:00,2026-09-25T12:45:02.572608+00:00,
6,pilot,rep2,start_B,refit,953002,SUCCESS,2026-09-25T12:45:02.573738+00:00,2026-09-25T12:45:13.394190+00:00,
7,pilot,rep2,start_P,exploration,952002,SUCCESS,2026-09-25T12:45:13.395830+00:00,2026-09-25T12:45:24.351122+00:00,
8,pilot,rep2,start_P,refit,953002,SUCCESS,2026-09-25T12:45:24.352214+00:00,2026-09-25T12:45:35.105712+00:00,
9,pilot,rep3,start_B,exploration,952003,SUCCESS,2026-09-25T12:45:35.109310+00:00,2026-09-25T12:45:46.140341+00:00,
10,pilot,rep3,start_B,refit,953003,SUCCESS,2026-09-25T12:45:46.141665+00:00,2026-09-25T12:45:56.831847+00:00,
11,pilot,rep3,start_P,exploration,952003,SUCCESS,2026-09-25T12:45:56.833562+00:00,2026-09-25T12:46:07.701594+00:00,
12,pilot,rep3,start_P,refit,953003,SUCCESS,2026-09-25T12:46:07.702737+00:00,2026-09-25T12:46:18.395131+00:00,
