replicate,start_label,column,candidate_family,score,neg2_score,sigma_sq,optimizer,optimiser_iterations,optimiser_converged,optimiser_gradient_inf,scipy_success,loading_norm,family_x_true,selected_family
rep1,start_B,3,bernoulli,-40.467864502661484,80.93572900532297,,bfgs,7,True,1.0456862042929061e-10,False,1.4916209349812517,bernoulli,bernoulli
rep1,start_B,3,poisson,-72.07219593422595,144.1443918684519,,bfgs,11,True,3.142375071263359e-09,False,0.30133480384547484,bernoulli,bernoulli
rep1,start_B,4,bernoulli,-48.54075287324239,97.08150574648478,,bfgs,8,True,3.1524560739626394e-12,True,0.6220951686959039,bernoulli,bernoulli
rep1,start_B,4,poisson,-73.98129751174696,147.96259502349392,,bfgs,8,True,5.14419840058622e-11,True,0.16607900260786823,bernoulli,bernoulli
rep1,start_B,5,bernoulli,-43.06064756428849,86.12129512857697,,bfgs,7,True,7.352474185040591e-12,True,1.2823228051931246,bernoulli,bernoulli
rep1,start_B,5,poisson,-72.37361079842889,144.74722159685777,,bfgs,10,True,1.7426042830948062e-10,False,0.28926966587445146,bernoulli,bernoulli
rep1,start_B,6,bernoulli,-50.12404772800555,100.2480954560111,,bfgs,6,True,8.117950756059145e-14,True,0.4666620752857199,bernoulli,bernoulli
rep1,start_B,6,poisson,-74.71497854903689,149.42995709807377,,bfgs,8,True,2.4119479746786966e-10,False,0.08274384680910962,bernoulli,bernoulli
rep1,start_B,7,bernoulli,-50.039069189920404,100.07813837984081,,bfgs,7,True,8.26368751205564e-11,True,0.47706440207197204,bernoulli,bernoulli
rep1,start_B,7,poisson,-74.30793617631633,148.61587235263266,,bfgs,8,True,1.5046266454987744e-10,False,0.14050764998695786,bernoulli,bernoulli
rep1,start_B,8,bernoulli,-46.42305263986097,92.84610527972194,,bfgs,6,False,2.3234617174683336e-08,False,0.8396729762887902,bernoulli,bernoulli
rep1,start_B,8,poisson,-73.43847362048372,146.87694724096744,,bfgs,11,True,5.624034571383163e-11,True,0.20657358073336016,bernoulli,bernoulli
rep1,start_P,3,bernoulli,-41.201115456522345,82.40223091304469,,bfgs,7,True,3.26210169987462e-12,True,1.4071076615381675,bernoulli,bernoulli
rep1,start_P,3,poisson,-72.23082754214916,144.46165508429831,,bfgs,8,True,1.22841823380071e-09,False,0.2934347227976559,bernoulli,bernoulli
rep1,start_P,4,bernoulli,-48.99687086359872,97.99374172719745,,bfgs,7,True,8.738171741740075e-10,False,0.5808208736142644,bernoulli,bernoulli
rep1,start_P,4,poisson,-74.14580589035927,148.29161178071854,,bfgs,8,True,1.7410715091870089e-10,False,0.15368248814141452,bernoulli,bernoulli
rep1,start_P,5,bernoulli,-42.76129390265386,85.52258780530772,,bfgs,7,True,7.55240314731509e-12,True,1.3106980006063498,bernoulli,bernoulli
rep1,start_P,5,poisson,-72.34661714673061,144.69323429346122,,bfgs,11,True,2.8622437753256236e-11,True,0.29038486030159993,bernoulli,bernoulli
rep1,start_P,6,bernoulli,-50.21692326894053,100.43384653788107,,bfgs,8,True,2.857838410363911e-11,True,0.4426517274535185,bernoulli,bernoulli
rep1,start_P,6,poisson,-74.73446144713691,149.46892289427382,,bfgs,8,True,4.895035488061694e-11,True,0.0781519842244629,bernoulli,bernoulli
rep1,start_P,7,bernoulli,-49.906515496059754,99.81303099211951,,bfgs,7,True,6.350759917950199e-11,True,0.4961388360341851,bernoulli,bernoulli
rep1,start_P,7,poisson,-74.2883384060048,148.5766768120096,,bfgs,8,True,6.432341326245706e-11,True,0.14235622419608865,bernoulli,bernoulli
rep1,start_P,8,bernoulli,-46.73456494695428,93.46912989390856,,bfgs,7,True,4.738941239423866e-10,False,0.8157755452435634,bernoulli,bernoulli
rep1,start_P,8,poisson,-73.58919116405517,147.17838232811033,,bfgs,10,True,2.494244100148535e-09,False,0.1969184758278022,bernoulli,bernoulli
rep2,start_B,3,bernoulli,-40.29706602425348,80.59413204850696,,bfgs,7,True,1.6872547803359338e-11,True,1.5914757367096948,bernoulli,bernoulli
rep2,start_B,3,poisson,-71.06082805389833,142.12165610779667,,bfgs,12,True,2.485409211772094e-09,False,0.3283377675310786,bernoulli,bernoulli
rep2,start_B,4,bernoulli,-51.47613048266061,102.95226096532122,,bfgs,6,True,5.107967382400602e-11,True,0.2199953702445601,bernoulli,bernoulli
rep2,start_B,4,poisson,-74.49106847175157,148.98213694350315,,bfgs,8,False,1.0335439633024635e-07,False,0.10760022674559284,bernoulli,bernoulli
rep2,start_B,5,bernoulli,-45.96515921332999,91.93031842665998,,bfgs,7,True,1.170779029280311e-11,True,1.0034747094628713,bernoulli,bernoulli
rep2,start_B,5,poisson,-72.43190698307312,144.86381396614624,,bfgs,10,True,9.34029675825343e-10,False,0.2782176569092091,bernoulli,bernoulli
rep2,start_B,6,bernoulli,-47.9629335055085,95.925867011017,,bfgs,7,True,1.1644019082268642e-12,True,0.6690483650036492,bernoulli,bernoulli
rep2,start_B,6,poisson,-72.75742706134376,145.51485412268752,,bfgs,9,True,1.5712204870510505e-10,False,0.23584181230075085,bernoulli,bernoulli
rep2,start_B,7,bernoulli,-46.89833835398073,93.79667670796147,,bfgs,7,True,8.706070309116853e-11,True,0.7624405570454326,bernoulli,bernoulli
rep2,start_B,7,poisson,-74.20002323151246,148.40004646302492,,bfgs,11,True,7.431837589777502e-10,False,0.1452119261383752,bernoulli,bernoulli
rep2,start_B,8,bernoulli,-46.09416539311856,92.18833078623712,,bfgs,6,False,1.300721548247452e-08,False,0.7917674488043943,bernoulli,bernoulli
rep2,start_B,8,poisson,-74.31790583178733,148.63581166357466,,bfgs,12,True,1.547405759083631e-10,False,0.1190796684906641,bernoulli,bernoulli
rep2,start_P,3,bernoulli,-41.1094858901189,82.2189717802378,,bfgs,7,True,1.958877504648626e-12,True,1.5200686699440549,bernoulli,bernoulli
rep2,start_P,3,poisson,-71.0764499576645,142.152899915329,,bfgs,14,False,1.1825769519191454e-08,False,0.3306701681685426,bernoulli,bernoulli
rep2,start_P,4,bernoulli,-51.512324752451164,103.02464950490233,,bfgs,7,True,4.673705866764521e-13,True,0.21380725424733055,bernoulli,bernoulli
rep2,start_P,4,poisson,-74.35911311998632,148.71822623997264,,bfgs,8,True,1.74988024070899e-11,True,0.12129878146429682,bernoulli,bernoulli
rep2,start_P,5,bernoulli,-44.86773613655829,89.73547227311659,,bfgs,6,True,1.3899698059205435e-11,True,1.1243217497487616,bernoulli,bernoulli
rep2,start_P,5,poisson,-72.07371223013106,144.14742446026213,,bfgs,10,False,1.535603300073518e-08,False,0.30479083281922215,bernoulli,bernoulli
rep2,start_P,6,bernoulli,-46.93350817315927,93.86701634631854,,bfgs,6,True,7.396915302493312e-11,True,0.7708698197406854,bernoulli,bernoulli
rep2,start_P,6,poisson,-72.07343798895977,144.14687597791954,,bfgs,8,True,1.6347973752495192e-09,False,0.271071512336744,bernoulli,bernoulli
rep2,start_P,7,bernoulli,-45.83323077720449,91.66646155440898,,bfgs,7,True,2.2293278334473143e-13,True,0.8541606276608875,bernoulli,bernoulli
rep2,start_P,7,poisson,-74.23833164702789,148.47666329405578,,bfgs,12,True,3.461177483510269e-10,False,0.14272972388499483,bernoulli,bernoulli
rep2,start_P,8,bernoulli,-46.90809551272151,93.81619102544302,,bfgs,7,True,8.904563197908999e-11,True,0.741430960644712,bernoulli,bernoulli
rep2,start_P,8,poisson,-74.57633080494581,149.15266160989162,,bfgs,12,True,7.738307772342524e-11,True,0.09693339510745053,bernoulli,bernoulli
rep3,start_B,3,bernoulli,-49.53169847530834,99.06339695061668,,bfgs,7,True,4.0659031697032335e-12,True,0.5875317893336396,bernoulli,bernoulli
rep3,start_B,3,poisson,-73.82774183266865,147.6554836653373,,bfgs,9,True,3.670672099609362e-12,True,0.1906409017214166,bernoulli,bernoulli
rep3,start_B,4,bernoulli,-47.405910918608754,94.81182183721751,,bfgs,7,True,8.80526151991745e-11,True,0.84280716787632,bernoulli,bernoulli
rep3,start_B,4,poisson,-74.14978638891071,148.29957277782142,,bfgs,11,True,3.2208351541385126e-10,False,0.1754368507612964,bernoulli,bernoulli
rep3,start_B,5,bernoulli,-41.93504071063804,83.87008142127608,,bfgs,7,True,6.298463750553651e-10,False,1.2829309210053597,bernoulli,bernoulli
rep3,start_B,5,poisson,-72.04690832226704,144.0938166445341,,bfgs,9,False,3.023984225247745e-08,False,0.27810259149501226,bernoulli,bernoulli
rep3,start_B,6,bernoulli,-37.93177033894564,75.86354067789128,,bfgs,7,True,2.257741460454099e-09,False,1.663108138951812,bernoulli,bernoulli
rep3,start_B,6,poisson,-70.67976250283512,141.35952500567024,,bfgs,14,False,6.189538943601747e-08,False,0.3398411419904925,bernoulli,bernoulli
rep3,start_B,7,bernoulli,-43.33857199447848,86.67714398895696,,bfgs,7,True,5.421441073849564e-13,True,1.0142086173243214,bernoulli,bernoulli
rep3,start_B,7,poisson,-73.45411101567558,146.90822203135116,,bfgs,10,True,3.981501239813668e-12,True,0.180266382154049,bernoulli,bernoulli
rep3,start_B,8,bernoulli,-46.78896442555348,93.57792885110696,,bfgs,7,True,3.20681814436341e-11,True,0.8272253756743406,bernoulli,bernoulli
