replicate,start_label,iteration,column,candidate_optimizer,previous_family,selected_family,margin_neg2,changed,all_candidates_converged,score_bernoulli,score_poisson,bernoulli_optimizer,bernoulli_n_iter,bernoulli_converged,bernoulli_grad_inf,bernoulli_scipy_success,bernoulli_scipy_status,poisson_optimizer,poisson_n_iter,poisson_converged,poisson_grad_inf,poisson_scipy_success,poisson_scipy_status,selected_candidate_family,selected_candidate_score,selected_loading,selected_loading_sha256,loading_installation_policy,selected_loading_installed,installed_loading_sha256,family_x_true
rep1,start_B,1,3,bfgs,bernoulli,bernoulli,52.03406505776917,False,True,-47.22706721268902,-73.2440997415736,bfgs,9,True,5.094136668049032e-10,False,2,bfgs,8,True,2.1550583539919898e-11,True,0,bernoulli,-47.22706721268902,1.0024298826825329|-0.048928752083379344|0.32533323060350278,1d710a55342a5d2c898ec90800dd1a5221ddd159c76b3adecca1d6abda003bc7,selected_candidate_loading,True,1d710a55342a5d2c898ec90800dd1a5221ddd159c76b3adecca1d6abda003bc7,bernoulli
rep1,start_B,1,4,bfgs,bernoulli,bernoulli,47.74160436170993,False,True,-50.58477241512729,-74.45557459598226,bfgs,8,True,2.776965324358116e-11,True,0,bfgs,7,True,7.58085261232111e-12,True,0,bernoulli,-50.58477241512729,-0.43983226414277365|-0.45261113874145775|-0.24367114397681791,fabf8201321f5900bd138c88daeb195d9b44f7722d88795b31ab6bfab8d6848b,selected_candidate_loading,True,fabf8201321f5900bd138c88daeb195d9b44f7722d88795b31ab6bfab8d6848b,bernoulli
rep1,start_B,1,5,bfgs,bernoulli,bernoulli,47.57039851837182,False,True,-50.550422537397516,-74.33562179658342,bfgs,7,True,2.0368062791931153e-11,True,0,bfgs,7,True,1.2121170733792042e-11,True,0,bernoulli,-50.550422537397516,-0.27339374912966696|-0.1206088511687485|0.23356325568320935,df942e018e7cabfbfe545fcfe27c70815a3e9847e6d48d6dcdfdfc2b19c9694d,selected_candidate_loading,True,df942e018e7cabfbfe545fcfe27c70815a3e9847e6d48d6dcdfdfc2b19c9694d,bernoulli
rep1,start_B,1,6,bfgs,bernoulli,bernoulli,48.777636844725265,False,True,-50.0477264358763,-74.43654485823893,bfgs,8,True,1.5842678280364454e-10,False,2,bfgs,7,True,8.248323801751666e-10,False,2,bernoulli,-50.0477264358763,-0.57271304183674621|-0.4294233955991465|-0.32568832300813771,a317fc3b652a4d8b3e72b5696ed74c9671b42b963c23aed8d93b6ef0f42e95c0,selected_candidate_loading,True,a317fc3b652a4d8b3e72b5696ed74c9671b42b963c23aed8d93b6ef0f42e95c0,bernoulli
rep1,start_B,1,7,bfgs,bernoulli,bernoulli,47.460353133432875,False,False,-51.119007621417424,-74.84918418813386,bfgs,12,True,4.249045559845399e-13,True,0,bfgs,6,False,6.530185759912044e-08,False,2,bernoulli,-51.119007621417424,-0.25612577825496718|0.17408359406155388|-0.00087859174719183853,c0ae088947621141bce241686dfdf73024340dae19f7817dfb4408aacd97795d,selected_candidate_loading,True,c0ae088947621141bce241686dfdf73024340dae19f7817dfb4408aacd97795d,bernoulli
rep1,start_B,1,8,bfgs,bernoulli,bernoulli,49.25066724118524,False,True,-50.00410734533106,-74.62944096592368,bfgs,8,True,2.3112711744488478e-11,True,0,bfgs,8,True,5.471769859433095e-09,False,2,bernoulli,-50.00410734533106,-0.49238058039224952|-0.17299008799974594|-0.37103557426447709,a0eeb5f6e1896e2e135b6d57a21411f56745333d1031054732b74d5ba0b6a8b2,selected_candidate_loading,True,a0eeb5f6e1896e2e135b6d57a21411f56745333d1031054732b74d5ba0b6a8b2,bernoulli
rep1,start_B,2,3,bfgs,bernoulli,bernoulli,53.87707711009338,False,True,-46.544063314936224,-73.48260186998291,bfgs,8,True,2.147437783150963e-12,True,0,bfgs,12,True,6.109077688165599e-11,True,0,bernoulli,-46.544063314936224,1.0163101290702894|-0.069625792520581056|0.23969618176005819,f0795bd90df4885b4353f03ebe971115b449048a0f0799d7bd1ff331e73a38e8,selected_candidate_loading,True,f0795bd90df4885b4353f03ebe971115b449048a0f0799d7bd1ff331e73a38e8,bernoulli
rep1,start_B,2,4,bfgs,bernoulli,bernoulli,49.75939907675672,False,True,-49.733440387227745,-74.6131399256061,bfgs,9,True,1.0199677547007014e-09,False,2,bfgs,8,True,7.693036141454002e-09,False,2,bernoulli,-49.733440387227745,-0.077285874277798691|0.078170756587335327|-0.41428981789414632,1fc202401d53e167e09c6bfee853c536f3716a44c22a8d3c5339136747ed2f8d,selected_candidate_loading,True,1fc202401d53e167e09c6bfee853c536f3716a44c22a8d3c5339136747ed2f8d,bernoulli
rep1,start_B,2,5,bfgs,bernoulli,bernoulli,47.78267431863786,False,True,-50.87913322836017,-74.7704703876791,bfgs,7,True,8.224126490929962e-09,False,2,bfgs,7,True,5.271071357171309e-11,True,0,bernoulli,-50.87913322836017,0.10000828159132982|0.35158912405588422|0.16953911427084167,023d9147592b236370c53fdb3dec6434e1f56353ef5fbfe0f63a5e850b601a23,selected_candidate_loading,True,023d9147592b236370c53fdb3dec6434e1f56353ef5fbfe0f63a5e850b601a23,bernoulli
rep1,start_B,2,6,bfgs,bernoulli,bernoulli,50.61867262695965,False,True,-48.55835444571337,-73.8676907591932,bfgs,10,True,9.018563673635071e-13,True,0,bfgs,8,True,3.6932451763505013e-09,False,2,bernoulli,-48.55835444571337,-0.75636679207219659|-0.7786283062502638|-0.30327830584480708,1a30ee9f84cd5ff54a291a97af1410031ea1060c4b7fb4e01ce6dbb07c2d71f0,selected_candidate_loading,True,1a30ee9f84cd5ff54a291a97af1410031ea1060c4b7fb4e01ce6dbb07c2d71f0,bernoulli
