replicate,start_label,iteration,column,candidate_optimizer,previous_family,selected_family,margin_neg2,changed,all_candidates_converged,score_bernoulli,score_poisson,family_x_true
rep1,start_B,1,2,bfgs,bernoulli,bernoulli,24.99378821531652,False,True,-27.189182537065324,-39.686076644723585,bernoulli
rep1,start_B,1,3,bfgs,bernoulli,bernoulli,24.320051996883734,False,True,-27.64645173001844,-39.80647772846031,bernoulli
rep1,start_B,2,2,bfgs,bernoulli,bernoulli,24.820321013340887,False,True,-27.014475604126368,-39.42463611079681,bernoulli
rep1,start_B,2,3,bfgs,bernoulli,bernoulli,25.719021892900855,False,True,-26.58239988929529,-39.441910835745716,bernoulli
rep1,start_B,3,2,bfgs,bernoulli,bernoulli,24.359078608537246,False,True,-27.043211902490505,-39.22275120675913,bernoulli
rep1,start_B,3,3,bfgs,bernoulli,bernoulli,24.08238952292821,False,True,-27.319967500794597,-39.3611622622587,bernoulli
rep1,start_B,4,2,bfgs,bernoulli,bernoulli,25.04347648678258,False,True,-26.753407800313802,-39.27514604370509,bernoulli
rep1,start_B,4,3,bfgs,bernoulli,bernoulli,24.262024458261955,False,False,-27.438282228054494,-39.56929445718547,bernoulli
rep1,start_B,5,2,bfgs,bernoulli,bernoulli,25.22355006300738,False,False,-26.825776736820494,-39.437551768324184,bernoulli
rep1,start_B,5,3,bfgs,bernoulli,bernoulli,24.424527380183747,False,True,-27.32915746989252,-39.541421159984395,bernoulli
rep1,start_B,6,2,bfgs,bernoulli,bernoulli,24.64268262677338,False,True,-26.855233162844037,-39.176574476230726,bernoulli
rep1,start_B,6,3,bfgs,bernoulli,bernoulli,24.075679815258994,False,True,-27.204184124337935,-39.24202403196743,bernoulli
rep1,start_B,7,2,bfgs,bernoulli,bernoulli,24.61929489655906,False,True,-27.16516746288038,-39.47481491115991,bernoulli
rep1,start_B,7,3,bfgs,bernoulli,bernoulli,24.77393381469537,False,True,-26.49247308716656,-38.87943999451424,bernoulli
rep1,start_B,8,2,bfgs,bernoulli,bernoulli,24.249148385964894,False,True,-27.095249477098026,-39.21982367008047,bernoulli
rep1,start_B,8,3,bfgs,bernoulli,bernoulli,23.92797255873659,False,True,-27.370151639859625,-39.33413791922792,bernoulli
rep1,start_P,1,2,bfgs,poisson,bernoulli,25.009493948251617,True,False,-27.26403759298217,-39.76878456710798,bernoulli
rep1,start_P,1,3,bfgs,poisson,bernoulli,24.322584491520715,True,False,-27.420281731465444,-39.5815739772258,bernoulli
rep1,start_P,2,2,bfgs,bernoulli,bernoulli,25.166433522784992,False,True,-26.700629003597168,-39.283845764989664,bernoulli
rep1,start_P,2,3,bfgs,bernoulli,bernoulli,26.167326660597467,False,True,-26.297734247347677,-39.38139757764641,bernoulli
rep1,start_P,3,2,bfgs,bernoulli,bernoulli,24.86553578923789,False,False,-26.749321168924116,-39.18208906354306,bernoulli
rep1,start_P,3,3,bfgs,bernoulli,bernoulli,24.29599037435574,False,True,-27.44125376110543,-39.5892489482833,bernoulli
rep1,start_P,4,2,bfgs,bernoulli,bernoulli,24.261310156342837,False,False,-26.95473566734292,-39.08539074551434,bernoulli
rep1,start_P,4,3,bfgs,bernoulli,bernoulli,24.3092955629116,False,True,-27.150696920103478,-39.30534470155928,bernoulli
rep1,start_P,5,2,bfgs,bernoulli,bernoulli,24.647029483644474,False,True,-26.788357661376523,-39.11187240319876,bernoulli
rep1,start_P,5,3,bfgs,bernoulli,bernoulli,24.311032034999755,False,False,-26.85911516163788,-39.01463117913776,bernoulli
rep1,start_P,6,2,bfgs,bernoulli,bernoulli,24.342861119686027,False,True,-26.89257739347197,-39.064007953314984,bernoulli
rep1,start_P,6,3,bfgs,bernoulli,bernoulli,23.678434443121198,False,True,-27.388179040025097,-39.227396261585696,bernoulli
rep1,start_P,7,2,bfgs,bernoulli,bernoulli,24.42098605154859,False,True,-27.17174721407564,-39.382240239849935,bernoulli
rep1,start_P,7,3,bfgs,bernoulli,bernoulli,24.559262857612914,False,True,-26.970978769330213,-39.25061019813667,bernoulli
rep1,start_P,8,2,bfgs,bernoulli,bernoulli,24.75402935302172,False,True,-27.070497929121508,-39.44751260563237,bernoulli
rep1,start_P,8,3,bfgs,bernoulli,bernoulli,24.314033341125814,False,True,-27.268044209054995,-39.4250608796179,bernoulli
