replicate,start_label,iteration,column,candidate_optimizer,previous_family,selected_family,margin_neg2,changed,all_candidates_converged,score_bernoulli,score_poisson,bernoulli_optimizer,bernoulli_n_iter,bernoulli_converged,bernoulli_grad_inf,bernoulli_scipy_success,bernoulli_scipy_status,poisson_optimizer,poisson_n_iter,poisson_converged,poisson_grad_inf,poisson_scipy_success,poisson_scipy_status,selected_candidate_family,selected_candidate_score,selected_loading,selected_loading_sha256,loading_installation_policy,selected_loading_installed,installed_loading_sha256,family_x_true
rep1,start_B,1,2,bfgs,bernoulli,bernoulli,24.99378821531652,False,True,-27.189182537065324,-39.686076644723585,bfgs,7,True,1.4226397837546756e-11,True,0,bfgs,7,True,8.234124493355921e-11,True,0,bernoulli,-27.189182537065324,0.22547913470415984|-0.27354562369523922|0.019839829166515003,bc9bbef065603162c5800024864972dbf7fb689400461a7591a0df460398ba5a,selected_candidate_loading,True,bc9bbef065603162c5800024864972dbf7fb689400461a7591a0df460398ba5a,bernoulli
rep1,start_B,1,3,bfgs,bernoulli,bernoulli,24.320051996883734,False,True,-27.64645173001844,-39.80647772846031,bfgs,7,True,8.064660050877137e-14,True,0,bfgs,8,True,5.6684393290318266e-12,True,0,bernoulli,-27.64645173001844,-0.10863272480259183|-0.083194848739267066|0.086099780442512444,93859b250faddfa144247900bba121d488203faaccdc1c45db0d36e7f9cad359,selected_candidate_loading,True,93859b250faddfa144247900bba121d488203faaccdc1c45db0d36e7f9cad359,bernoulli
rep1,start_B,2,2,bfgs,bernoulli,bernoulli,25.079588567613627,False,True,-27.01916739181143,-39.55896167561824,bfgs,6,True,6.830986332140299e-11,True,0,bfgs,7,True,1.651912273636924e-10,False,2,bernoulli,-27.01916739181143,0.23064635553450827|-0.16376692841112375|0.20722891443030053,232df8a09dc0f7b5fddbb5e6d5dc06ad1bcf875f0006d5f711bca3cec2471c65,selected_candidate_loading,True,232df8a09dc0f7b5fddbb5e6d5dc06ad1bcf875f0006d5f711bca3cec2471c65,bernoulli
rep1,start_B,2,3,bfgs,bernoulli,bernoulli,26.38527246857805,False,False,-26.053847144791547,-39.24648337908057,bfgs,6,False,4.280294625402803e-08,False,2,bfgs,7,True,5.155487148300608e-13,True,0,bernoulli,-26.053847144791547,-0.62615055336433412|-0.32748102537633839|0.35944448850069066,6edf2490b96808001f0b7fbd3d6ec136e4689ff9c90042edd1121240c64b1057,selected_candidate_loading,True,6edf2490b96808001f0b7fbd3d6ec136e4689ff9c90042edd1121240c64b1057,bernoulli
rep1,start_B,3,2,bfgs,bernoulli,bernoulli,24.363078833697983,False,True,-27.091128787336885,-39.27266820418588,bfgs,6,True,4.332934011586076e-10,False,2,bfgs,9,True,6.082583325905944e-11,True,0,bernoulli,-27.091128787336885,0.082007525861161473|-0.1685264579735227|0.30323846480421585,fa677b3aeb51af8bbacd445cc8f6c90b83d11ea44b7bd23bb95519aa8729645b,selected_candidate_loading,True,fa677b3aeb51af8bbacd445cc8f6c90b83d11ea44b7bd23bb95519aa8729645b,bernoulli
rep1,start_B,3,3,bfgs,bernoulli,bernoulli,24.313648666227778,False,True,-27.21380571578851,-39.3706300489024,bfgs,8,True,6.557787091132638e-11,True,0,bfgs,13,True,7.808798052622023e-12,True,0,bernoulli,-27.21380571578851,-0.22037883027192179|-0.28645478368599597|0.18075635249146629,7b0b9cdb736a54260f061f6a5372dadbd75a150a1c9aad05405d1ea9d4f962bd,selected_candidate_loading,True,7b0b9cdb736a54260f061f6a5372dadbd75a150a1c9aad05405d1ea9d4f962bd,bernoulli
rep1,start_B,4,2,bfgs,bernoulli,bernoulli,25.119219719602583,False,True,-26.32875151474652,-38.88836137454781,bfgs,7,True,8.4178219950104e-11,True,0,bfgs,9,True,7.268676771587934e-11,True,0,bernoulli,-26.32875151474652,-0.012241048795998841|-0.44966455863434396|0.42351802339136002,50ffc874a16ff62b4d8968e71afa0cbb532e9615655e698954b2bacaa10e3480,selected_candidate_loading,True,50ffc874a16ff62b4d8968e71afa0cbb532e9615655e698954b2bacaa10e3480,bernoulli
rep1,start_B,4,3,bfgs,bernoulli,bernoulli,24.03692748705761,False,True,-27.507308696008188,-39.52577243953699,bfgs,7,True,1.8323120798413584e-12,True,0,bfgs,7,True,3.7609335645782947e-10,False,2,bernoulli,-27.507308696008188,-0.14222084354821593|-0.18761614254844253|0.019538065919610752,ad54aecf800f3683d17d683afe786c5b255be6ae748b589bf8a16e983be38017,selected_candidate_loading,True,ad54aecf800f3683d17d683afe786c5b255be6ae748b589bf8a16e983be38017,bernoulli
rep1,start_B,5,2,bfgs,bernoulli,bernoulli,24.66502812368116,False,True,-26.7484956788072,-39.08100974064778,bfgs,7,True,4.4490331418955973e-10,False,2,bfgs,8,True,1.0914602555089914e-11,True,0,bernoulli,-26.7484956788072,-0.12375416273364728|-0.24179859820501498|0.4145202018628148,cd3e300c48b9eca9f0059e6a809b9f1dfe47874d391c3af407452fc79ebb4243,selected_candidate_loading,True,cd3e300c48b9eca9f0059e6a809b9f1dfe47874d391c3af407452fc79ebb4243,bernoulli
rep1,start_B,5,3,bfgs,bernoulli,bernoulli,24.23685613963393,False,True,-27.01081109869653,-39.12923916851349,bfgs,6,True,2.6521984608507408e-11,True,0,bfgs,9,True,1.119160319973389e-12,True,0,bernoulli,-27.01081109869653,-0.16996018880906985|-0.38021323151748865|0.12677926343684742,a833b2137a5c6e2e6469f4b57c1b9125b2678d2374ea999c898b18fede8bc38d,selected_candidate_loading,True,a833b2137a5c6e2e6469f4b57c1b9125b2678d2374ea999c898b18fede8bc38d,bernoulli
rep1,start_B,6,2,bfgs,bernoulli,bernoulli,24.75589778452563,False,True,-26.71401569372457,-39.091964585987384,bfgs,6,True,4.1850478638139063e-11,True,0,bfgs,7,True,4.4784511654683003e-10,False,2,bernoulli,-26.71401569372457,-0.20158097816936879|-0.23594503346213042|0.39798345467113555,82cc9b8816e1453c9647e9b0934d27bf53a5741fd4f3565905666e78cc3b626d,selected_candidate_loading,True,82cc9b8816e1453c9647e9b0934d27bf53a5741fd4f3565905666e78cc3b626d,bernoulli
