scenario,family_x,family_y,k_est,n_trials,bic_mean,bic_std,q_strict_mean,rmse_z_mean,rmse_z_std,success_rate,note
A,poisson,bernoulli,1,10,20939.15493439379,494.91148183426924,-10431.997702491175,0.9033177404616535,0.20462190711999498,1.0,fixed_official full
A,poisson,bernoulli,2,10,18544.154849319337,419.8233854779059,-9199.423212895274,0.6214172486452612,0.11268933459964976,1.0,fixed_official full
A,poisson,bernoulli,3,10,16459.61606621786,186.6567579451053,-8124.584691932908,0.231861634359183,0.012286399290479855,1.0,fixed_official full
A,poisson,bernoulli,4,10,16796.46117302156,182.94505343909412,-8262.94343357018,0.46642107234243363,0.10797255747995255,1.0,fixed_official full
A,poisson,bernoulli,5,10,17136.268215743174,186.63664746374857,-8405.28846081346,0.6177465481718037,0.08978349536790414,1.0,fixed_official full
A,poisson,bernoulli,6,10,17473.139115379192,197.0278653153938,-8548.670734160987,0.6311477135460041,0.08428975334963766,1.0,fixed_official full
B,gaussian,poisson,1,10,44015.69351831411,920.8220971508799,-21932.68722974561,1.0665402496768759,0.21049838437798976,1.0,fixed_official full
B,gaussian,poisson,2,10,37689.41573087186,553.8358206305074,-18734.47388896581,0.5916311390699984,0.19450482984270243,1.0,fixed_official full
B,gaussian,poisson,3,10,32224.020393172657,157.02077519251714,-15969.207090704585,0.14055148175998128,0.00614269793008418,1.0,fixed_official full
B,gaussian,poisson,4,10,32528.597354466525,151.91207600671845,-16091.431759586942,0.39871389796252965,0.1098258146337546,1.0,fixed_official full
B,gaussian,poisson,5,10,32860.37888638151,147.71920577652506,-16229.764031426905,0.5714172036146711,0.15476162113582434,1.0,fixed_official full
B,gaussian,poisson,6,10,33207.36274566121,143.55887694753045,-16378.202784596273,0.6196098113338422,0.09702740122998425,1.0,fixed_official full
C,bernoulli,gaussian,1,10,6134.926609181711,418.50082309067403,-3027.3782222380855,0.9795658140481229,0.24426113766209537,1.0,fixed_official full
C,bernoulli,gaussian,2,10,-1967.3267019928603,642.4693531262225,1058.822880407874,0.5669841194751544,0.06711099465230601,1.0,fixed_official full
C,bernoulli,gaussian,3,10,-36228.38578822678,200.6334066692693,18221.921552936463,0.02319232483371441,0.0008206149653173378,1.0,fixed_official full
C,bernoulli,gaussian,4,10,-35902.66924995198,194.68295975127845,18089.127095563636,0.3469735009260509,0.14473462733749656,1.0,fixed_official full
C,bernoulli,gaussian,5,10,-35579.42486914074,195.53869382058062,17955.06339927555,0.4331038749360704,0.11378123798739459,1.0,fixed_official full
C,bernoulli,gaussian,6,10,-35262.98643767356,195.95465351899387,17821.897360012437,0.4786225291273306,0.1743179525417158,1.0,fixed_official full
