scenario,trial,seed_data,seed_model,k_est,k_true,family_x,family_y,n,d,q_strict,bic,num_params,rmse_z,rmse_x,rmse_y,success,error_message,note
A,0,4000,4050,1,3,poisson,bernoulli,150,15,-10384.40696517192,20843.973459755285,15,0.6989525460194224,2.080322773867465,0.2547741703122699,True,,fixed_official full k_true=3
A,1,4100,4150,1,3,poisson,bernoulli,150,15,-10355.644862669837,20786.449254751118,15,1.0856584367179294,1.9030339625426036,0.24391203306663636,True,,fixed_official full k_true=3
A,2,4200,4250,1,3,poisson,bernoulli,150,15,-10172.609903660188,20420.37933673182,15,0.7536222706998869,1.815911857303481,0.24561455662173357,True,,fixed_official full k_true=3
A,3,4300,4350,1,3,poisson,bernoulli,150,15,-10501.841142572479,21078.841814556403,15,1.1105549302603992,1.918641412375533,0.2578945800879134,True,,fixed_official full k_true=3
A,4,4400,4450,1,3,poisson,bernoulli,150,15,-11044.258068753457,22163.67566691836,15,1.280069601801574,2.108887659748967,0.26858047946790725,True,,fixed_official full k_true=3
A,5,4500,4550,1,3,poisson,bernoulli,150,15,-10248.059552886327,20571.2786351841,15,0.7002695399652212,2.0404146864868933,0.23394583285036352,True,,fixed_official full k_true=3
A,6,4600,4650,1,3,poisson,bernoulli,150,15,-10294.315161341128,20663.7898520937,15,1.0036585123188335,1.8597080973849802,0.2514384994160887,True,,fixed_official full k_true=3
A,7,4700,4750,1,3,poisson,bernoulli,150,15,-10455.808808537477,20986.777146486398,15,0.8845497403553584,1.9756685669539242,0.250980940377503,True,,fixed_official full k_true=3
A,8,4800,4850,1,3,poisson,bernoulli,150,15,-10577.520405051919,21230.200339515282,15,0.7407401777827896,2.0075290885543673,0.2597653284098583,True,,fixed_official full k_true=3
A,9,4900,4950,1,3,poisson,bernoulli,150,15,-10285.512154266993,20646.18383794543,15,0.7751016486951192,1.7496354154810263,0.26169348526856845,True,,fixed_official full k_true=3
A,0,4000,4050,2,3,poisson,bernoulli,150,15,-9012.237003293762,18169.782430116313,29,0.5149996993629555,1.353339958955729,0.18855560500149554,True,,fixed_official full k_true=3
