scenario,family_x,family_y,k_est,n_trials,bic_mean,bic_std,q_strict_mean,rmse_z_mean,rmse_z_std,success_rate,note
A,poisson,bernoulli,1,10,20939.15493439379,494.9114818342689,-10431.997702491175,0.9033177404616535,0.20462190711999498,1.0,fixed_official k1to9 combined
A,poisson,bernoulli,2,10,18544.15484931934,419.8233854779064,-9199.423212895275,0.6214172486452612,0.11268933459964978,1.0,fixed_official k1to9 combined
A,poisson,bernoulli,3,10,16459.61606621786,186.65675794510517,-8124.584691932908,0.23186163435918297,0.012286399290479871,1.0,fixed_official k1to9 combined
A,poisson,bernoulli,4,10,16796.46117302156,182.94505343909412,-8262.94343357018,0.46642107234243363,0.10797255747995255,1.0,fixed_official k1to9 combined
A,poisson,bernoulli,5,10,17136.268215743174,186.63664746374857,-8405.28846081346,0.6177465481718037,0.08978349536790416,1.0,fixed_official k1to9 combined
A,poisson,bernoulli,6,10,17473.139115379192,197.0278653153938,-8548.670734160987,0.6311477135460041,0.08428975334963766,1.0,fixed_official k1to9 combined
A,poisson,bernoulli,7,10,17828.663732983434,183.86770135664798,-8703.885184139672,0.7250952834312306,0.09491387443452748,1.0,fixed_official k1to9 combined
A,poisson,bernoulli,8,10,18196.369895424374,177.2128477233341,-8867.695724183757,0.763067463635706,0.059508692803125623,1.0,fixed_official k1to9 combined
A,poisson,bernoulli,9,10,18584.204219205192,193.45008795820436,-9044.075662544832,0.8159113874429993,0.06305108805970959,1.0,fixed_official k1to9 combined
B,gaussian,poisson,1,10,44015.69351831411,920.8220971508792,-21932.68722974561,1.0665402496768759,0.21049838437798973,1.0,fixed_official k1to9 combined
B,gaussian,poisson,2,10,37689.41573087186,553.8358206305063,-18734.47388896581,0.5916311390699984,0.19450482984270245,1.0,fixed_official k1to9 combined
B,gaussian,poisson,3,10,32224.020393172657,157.02077519251785,-15969.207090704585,0.14055148175998125,0.006142697930084165,1.0,fixed_official k1to9 combined
B,gaussian,poisson,4,10,32528.597354466525,151.91207600671888,-16091.431759586942,0.39871389796252965,0.1098258146337546,1.0,fixed_official k1to9 combined
B,gaussian,poisson,5,10,32860.37888638151,147.7192057765241,-16229.764031426905,0.5714172036146711,0.15476162113582437,1.0,fixed_official k1to9 combined
B,gaussian,poisson,6,10,33207.36274566121,143.55887694752954,-16378.202784596273,0.6196098113338422,0.09702740122998427,1.0,fixed_official k1to9 combined
B,gaussian,poisson,7,10,33550.165324813104,137.36105262930008,-16527.056215348788,0.6430698541027605,0.11797069614768599,1.0,fixed_official k1to9 combined
B,gaussian,poisson,8,10,33917.66215245527,132.72928193696256,-16690.762087993484,0.7426468595719599,0.12442056360627864,1.0,fixed_official k1to9 combined
B,gaussian,poisson,9,10,34274.169696059944,131.77365563944636,-16851.47863626649,0.7511900717356917,0.07874696998995885,1.0,fixed_official k1to9 combined
C,bernoulli,gaussian,1,10,6134.926609181711,418.50082309067415,-3027.3782222380855,0.9795658140481229,0.24426113766209537,1.0,fixed_official k1to9 combined
C,bernoulli,gaussian,2,10,-1967.3267019928603,642.4693531262226,1058.8228804078742,0.5669841194751544,0.06711099465230602,1.0,fixed_official k1to9 combined
C,bernoulli,gaussian,3,10,-36228.38578822678,200.6334066692693,18221.921552936463,0.023192324833714358,0.0008206149653173323,1.0,fixed_official k1to9 combined
C,bernoulli,gaussian,4,10,-35902.66924995198,194.68295975127845,18089.127095563636,0.3469735009260509,0.14473462733749662,1.0,fixed_official k1to9 combined
C,bernoulli,gaussian,5,10,-35579.42486914074,195.53869382058062,17955.06339927555,0.4331038749360704,0.11378123798739459,1.0,fixed_official k1to9 combined
C,bernoulli,gaussian,6,10,-35262.986437673564,195.95465351899492,17821.897360012437,0.4786225291273306,0.1743179525417158,1.0,fixed_official k1to9 combined
C,bernoulli,gaussian,7,10,-34937.14802808549,199.90975073793612,17681.52601404184,0.5012146312928477,0.13785036004173132,1.0,fixed_official k1to9 combined
C,bernoulli,gaussian,8,10,-34614.94993815264,184.53028414050752,17540.469510251794,0.5610609096499324,0.1007843217127956,1.0,fixed_official k1to9 combined
C,bernoulli,gaussian,9,10,-34308.728426991554,200.51376883389392,17404.89597820059,0.49983543992156737,0.11373972887519843,1.0,fixed_official k1to9 combined
