scenario,k,selected_count,total_trials,selected_rate,note
A,1,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
A,2,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
A,3,10,10,1.0,"fixed_official k1to9, trial-level best k frequency"
A,4,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
A,5,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
A,6,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
A,7,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
A,8,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
A,9,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
B,1,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
B,2,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
B,3,10,10,1.0,"fixed_official k1to9, trial-level best k frequency"
B,4,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
B,5,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
B,6,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
B,7,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
B,8,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
B,9,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
C,1,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
C,2,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
C,3,10,10,1.0,"fixed_official k1to9, trial-level best k frequency"
C,4,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
C,5,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
C,6,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
C,7,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
C,8,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
C,9,0,10,0.0,"fixed_official k1to9, trial-level best k frequency"
