scenario,trial,seed_data,seed_model,k_est,k_true,family_x,family_y,n,d,q_strict,bic,num_params,rmse_z,rmse_x,rmse_y,success,error_message,note
A,0,4000,4050,1,3,poisson,bernoulli,150,15,-10384.40696517192,20843.973459755285,15,0.6989525460194224,2.080322773867465,0.2547741703122699,True,,fixed_official full k_true=3
A,1,4100,4150,1,3,poisson,bernoulli,150,15,-10355.644862669837,20786.44925475112,15,1.0856584367179294,1.903033962542604,0.2439120330666363,True,,fixed_official full k_true=3
A,2,4200,4250,1,3,poisson,bernoulli,150,15,-10172.609903660188,20420.37933673182,15,0.7536222706998869,1.815911857303481,0.2456145566217335,True,,fixed_official full k_true=3
A,3,4300,4350,1,3,poisson,bernoulli,150,15,-10501.84114257248,21078.841814556403,15,1.1105549302603992,1.918641412375533,0.2578945800879134,True,,fixed_official full k_true=3
A,4,4400,4450,1,3,poisson,bernoulli,150,15,-11044.258068753456,22163.67566691836,15,1.280069601801574,2.108887659748967,0.2685804794679072,True,,fixed_official full k_true=3
A,5,4500,4550,1,3,poisson,bernoulli,150,15,-10248.059552886329,20571.2786351841,15,0.7002695399652212,2.0404146864868933,0.2339458328503635,True,,fixed_official full k_true=3
A,6,4600,4650,1,3,poisson,bernoulli,150,15,-10294.315161341128,20663.7898520937,15,1.0036585123188335,1.85970809738498,0.2514384994160887,True,,fixed_official full k_true=3
A,7,4700,4750,1,3,poisson,bernoulli,150,15,-10455.808808537477,20986.7771464864,15,0.8845497403553584,1.975668566953924,0.250980940377503,True,,fixed_official full k_true=3
A,8,4800,4850,1,3,poisson,bernoulli,150,15,-10577.52040505192,21230.20033951528,15,0.7407401777827896,2.0075290885543677,0.2597653284098583,True,,fixed_official full k_true=3
A,9,4900,4950,1,3,poisson,bernoulli,150,15,-10285.512154266991,20646.18383794543,15,0.7751016486951192,1.7496354154810263,0.2616934852685684,True,,fixed_official full k_true=3
A,0,4000,4050,2,3,poisson,bernoulli,150,15,-9012.237003293762,18169.782430116316,29,0.5149996993629555,1.353339958955729,0.1885556050014955,True,,fixed_official full k_true=3
A,1,4100,4150,2,3,poisson,bernoulli,150,15,-9137.863582414366,18421.03558835752,29,0.5294821276526692,1.5478686829925967,0.1902737784322581,True,,fixed_official full k_true=3
A,2,4200,4250,2,3,poisson,bernoulli,150,15,-9026.705309399436,18198.71904232766,29,0.7184314539946565,1.5270775670971912,0.1803899713070203,True,,fixed_official full k_true=3
A,3,4300,4350,2,3,poisson,bernoulli,150,15,-9454.10673262662,19053.52188878203,29,0.5716490443480655,1.669707711476496,0.19722809931101,True,,fixed_official full k_true=3
A,4,4400,4450,2,3,poisson,bernoulli,150,15,-9638.17449366152,19421.657410851836,29,0.7649898702722346,1.720997464322492,0.2113936933583133,True,,fixed_official full k_true=3
A,5,4500,4550,2,3,poisson,bernoulli,150,15,-9272.178998899632,18689.666421328053,29,0.414119364344865,1.7375780004674375,0.1784203078195864,True,,fixed_official full k_true=3
A,6,4600,4650,2,3,poisson,bernoulli,150,15,-9050.211440823528,18245.731305175847,29,0.6192706678219118,1.463342321227057,0.1946549445949041,True,,fixed_official full k_true=3
A,7,4700,4750,2,3,poisson,bernoulli,150,15,-8992.379470146456,18130.0673638217,29,0.6976350091653613,1.521669035542934,0.1894578338662242,True,,fixed_official full k_true=3
A,8,4800,4850,2,3,poisson,bernoulli,150,15,-9210.138503847762,18565.585431224317,29,0.7325316627404035,1.5586939225775125,0.1879246922650444,True,,fixed_official full k_true=3
A,9,4900,4950,2,3,poisson,bernoulli,150,15,-9200.236593839658,18545.781611208105,29,0.6510635867494879,1.5039842991809886,0.198501295092029,True,,fixed_official full k_true=3
A,0,4000,4050,3,3,poisson,bernoulli,150,15,-8258.216627950975,16726.87993825399,42,0.2513058626078224,1.2024412688482329,0.1108546385970896,True,,fixed_official full k_true=3
A,1,4100,4150,3,3,poisson,bernoulli,150,15,-8058.61223161783,16327.671145587705,42,0.2229048044474137,1.2310697386876894,0.0966438994672991,True,,fixed_official full k_true=3
A,2,4200,4250,3,3,poisson,bernoulli,150,15,-8056.652725574394,16323.752133500831,42,0.2289408360169864,1.2247818659816017,0.1020600106651994,True,,fixed_official full k_true=3
A,3,4300,4350,3,3,poisson,bernoulli,150,15,-8143.432289021726,16497.311260395494,42,0.2130684325069898,1.2162397638634288,0.1009851674998792,True,,fixed_official full k_true=3
A,4,4400,4450,3,3,poisson,bernoulli,150,15,-8261.849088406318,16734.144859164677,42,0.2376835386172923,1.2551548513364172,0.109834309910495,True,,fixed_official full k_true=3
A,5,4500,4550,3,3,poisson,bernoulli,150,15,-8186.336516484273,16583.119715320587,42,0.2305872717844947,1.2441787284827903,0.1033146140145703,True,,fixed_official full k_true=3
A,6,4600,4650,3,3,poisson,bernoulli,150,15,-8091.704415586018,16393.85551352408,42,0.2344012588025385,1.2202208450999523,0.1067524574905139,True,,fixed_official full k_true=3
A,7,4700,4750,3,3,poisson,bernoulli,150,15,-7959.854201050864,16130.155084453772,42,0.2246356849259939,1.193046299240593,0.1014143801652682,True,,fixed_official full k_true=3
A,8,4800,4850,3,3,poisson,bernoulli,150,15,-8122.966153406223,16456.37898916449,42,0.2237636600848171,1.218077867337069,0.1046213522029114,True,,fixed_official full k_true=3
A,9,4900,4950,3,3,poisson,bernoulli,150,15,-8106.22267023046,16422.89202281296,42,0.2513249937974811,1.2372810038876485,0.1124173454840017,True,,fixed_official full k_true=3
A,0,4000,4050,4,3,poisson,bernoulli,150,15,-8369.499738325894,17009.573782532985,54,0.5886734197721872,1.175428994102233,0.1207298499103193,True,,fixed_official full k_true=3
A,1,4100,4150,4,3,poisson,bernoulli,150,15,-8210.370982712891,16691.31627130698,54,0.5067651647791916,1.2398320495365238,0.1169749669248991,True,,fixed_official full k_true=3
A,2,4200,4250,4,3,poisson,bernoulli,150,15,-8210.694585880632,16691.96347764246,54,0.3647898664399264,1.2474964851831964,0.1208535916066733,True,,fixed_official full k_true=3
A,3,4300,4350,4,3,poisson,bernoulli,150,15,-8285.701299394399,16841.976904669995,54,0.6549132971355046,1.1977134919690966,0.1184534881512963,True,,fixed_official full k_true=3
A,4,4400,4450,4,3,poisson,bernoulli,150,15,-8405.169034389604,17080.912374660405,54,0.3921662146357256,1.2341482518156546,0.1217707052319043,True,,fixed_official full k_true=3
A,5,4500,4550,4,3,poisson,bernoulli,150,15,-8327.138144750745,16924.850595382686,54,0.5191606260387217,1.2290873605704296,0.1205022585994727,True,,fixed_official full k_true=3
A,6,4600,4650,4,3,poisson,bernoulli,150,15,-8227.302780365284,16725.179866611765,54,0.428441552796805,1.234587730528604,0.116332604297446,True,,fixed_official full k_true=3
A,7,4700,4750,4,3,poisson,bernoulli,150,15,-8083.843804295699,16438.261914472594,54,0.3564426545775406,1.180017774073587,0.1116718856432019,True,,fixed_official full k_true=3
A,8,4800,4850,4,3,poisson,bernoulli,150,15,-8262.348306927535,16795.270919736267,54,0.5198620338833388,1.1701330022576268,0.121011394574789,True,,fixed_official full k_true=3
A,9,4900,4950,4,3,poisson,bernoulli,150,15,-8247.365658659128,16765.305623199452,54,0.3329958933653946,1.210398469915377,0.1179593280520777,True,,fixed_official full k_true=3
A,0,4000,4050,5,3,poisson,bernoulli,150,15,-8542.76590957486,17411.223113265976,65,0.5591807019302285,1.1836354347720404,0.1322322623205892,True,,fixed_official full k_true=3
A,1,4100,4150,5,3,poisson,bernoulli,150,15,-8361.010792768368,17047.71287965299,65,0.7040843743274643,1.1899888637914764,0.1276730591260274,True,,fixed_official full k_true=3
A,2,4200,4250,5,3,poisson,bernoulli,150,15,-8347.11377091933,17019.918835954915,65,0.6159937190323216,1.2123986800386606,0.1326822498962776,True,,fixed_official full k_true=3
A,3,4300,4350,5,3,poisson,bernoulli,150,15,-8444.17832399707,17214.047942110396,65,0.495653210290609,1.2045829266916577,0.1312360848637311,True,,fixed_official full k_true=3
A,4,4400,4450,5,3,poisson,bernoulli,150,15,-8533.359412189653,17392.41011849556,65,0.650941776345161,1.247331335271686,0.1375565925936504,True,,fixed_official full k_true=3
A,5,4500,4550,5,3,poisson,bernoulli,150,15,-8464.705580858867,17255.10245583399,65,0.6784985137779476,1.2096580315983254,0.1271797577534079,True,,fixed_official full k_true=3
A,6,4600,4650,5,3,poisson,bernoulli,150,15,-8370.036045851719,17065.763385819693,65,0.7303745681422176,1.2085349819117557,0.1295994210174319,True,,fixed_official full k_true=3
A,7,4700,4750,5,3,poisson,bernoulli,150,15,-8233.538861283556,16792.769016683367,65,0.5576443521510906,1.1797342808696778,0.130251931632134,True,,fixed_official full k_true=3
A,8,4800,4850,5,3,poisson,bernoulli,150,15,-8393.328586128813,17112.348466373882,65,0.7029906926920765,1.1398227230543485,0.1303802111538302,True,,fixed_official full k_true=3
A,9,4900,4950,5,3,poisson,bernoulli,150,15,-8362.847324562343,17051.38594324094,65,0.4821035730289204,1.1722689370524932,0.1306837992145808,True,,fixed_official full k_true=3
A,0,4000,4050,6,3,poisson,bernoulli,150,15,-8681.446473360249,17738.690593777716,75,0.5916063576916397,1.2039979764158246,0.1480559489433637,True,,fixed_official full k_true=3
A,1,4100,4150,6,3,poisson,bernoulli,150,15,-8513.987104594666,17403.77185624655,75,0.5215954293742662,1.1635537972358654,0.1372250666583169,True,,fixed_official full k_true=3
A,2,4200,4250,6,3,poisson,bernoulli,150,15,-8480.781020322589,17337.359687702396,75,0.7309211794878455,1.179529762993215,0.1361086332101769,True,,fixed_official full k_true=3
A,3,4300,4350,6,3,poisson,bernoulli,150,15,-8600.5638290746,17576.925305206416,75,0.487867942353071,1.1407144591241505,0.140852471684689,True,,fixed_official full k_true=3
A,4,4400,4450,6,3,poisson,bernoulli,150,15,-8669.419175566614,17714.635998190446,75,0.6171300818272532,1.2537646673714171,0.1463107101729706,True,,fixed_official full k_true=3
A,5,4500,4550,6,3,poisson,bernoulli,150,15,-8630.721957281026,17637.24156161927,75,0.6496711547346224,1.1644297379585542,0.1376566694747049,True,,fixed_official full k_true=3
A,6,4600,4650,6,3,poisson,bernoulli,150,15,-8500.348426185252,17376.49449942772,75,0.6002400711191599,1.195565862001871,0.1372760083662193,True,,fixed_official full k_true=3
A,7,4700,4750,6,3,poisson,bernoulli,150,15,-8357.83184404901,17091.461335155236,75,0.6847604202567701,1.1319818310612462,0.1362408054457786,True,,fixed_official full k_true=3
