scenario,n,n_trials,rmse_z_mean,rmse_z_std,rmse_z_median,rmse_z_min,rmse_z_max,rmse_x_mean,rmse_y_mean,success_rate,note
A,50,10,0.3417316824119715,0.044297157547678954,0.3321172309649114,0.28077517116432477,0.4217867082582094,1.2043837404533857,0.15718896009740516,1.0,fixed_official exp2 n_sweep
A,100,10,0.26933000175197574,0.010193751653786321,0.2676326161925924,0.25456183987579595,0.28314303297358445,1.2250315606271696,0.12120447437203215,1.0,fixed_official exp2 n_sweep
A,150,10,0.23530411233953222,0.010820291089378226,0.23474962641598165,0.21938226546879716,0.251889887954772,1.2300972027799775,0.10551837486671309,1.0,fixed_official exp2 n_sweep
A,200,10,0.2066379719409083,0.0063827226813658235,0.20746982521954477,0.19617645799803712,0.21665329154349078,1.2330701611862624,0.09179407701242817,1.0,fixed_official exp2 n_sweep
A,250,10,0.18630465025385978,0.006178952418457943,0.18775630350828126,0.17720932232726477,0.19458585133218995,1.231961138625157,0.08355333701207976,1.0,fixed_official exp2 n_sweep
A,300,10,0.17332891916732765,0.004596787444324011,0.17318304086614428,0.16541024572538376,0.1805085818469691,1.2360550160584973,0.07650003628974884,1.0,fixed_official exp2 n_sweep
B,50,10,0.19024103457532465,0.019772315726046513,0.19305728761911006,0.15819191525818221,0.22411255447349956,0.30328283766574365,0.5579955781659185,1.0,fixed_official exp2 n_sweep
B,100,10,0.16655605029096937,0.03698738278873201,0.15820017192715435,0.14301373331954578,0.27044170334210516,0.3101091481506253,0.5808979206030636,1.0,fixed_official exp2 n_sweep
B,150,10,0.1400656969171286,0.002711521918841503,0.14030424526549556,0.13509348515802239,0.14506578826130995,0.31040702900594697,0.5194278699398533,1.0,fixed_official exp2 n_sweep
B,200,10,0.12858404451033661,0.0038078316830275002,0.12895557182154227,0.12121321605324752,0.13412142358900755,0.31171018153011637,0.44106025334256876,1.0,fixed_official exp2 n_sweep
B,250,10,0.11696877508681636,0.002579084904984197,0.1178659487642317,0.11235485425861956,0.11992156044173227,0.3137398101296659,0.45680972449644636,1.0,fixed_official exp2 n_sweep
B,300,10,0.11178556735532816,0.00215720960701776,0.11178814977099058,0.10783604642152772,0.11538483762480653,0.3140812365330041,0.4173760813401512,1.0,fixed_official exp2 n_sweep
C,50,10,0.03979685335331627,0.0018741537497798052,0.04040566832216225,0.03650756766404627,0.04193441903255896,0.4459716373571553,0.04735610891723342,1.0,fixed_official exp2 n_sweep
C,100,10,0.028257491580294947,0.0013472302955912442,0.02796884856588791,0.026330009239657632,0.030461207481045038,0.4519978342522519,0.03398901770624123,1.0,fixed_official exp2 n_sweep
C,150,10,0.023753788505910575,0.0006834237278754001,0.02392886730732511,0.02261020145681623,0.024769164740785443,0.4537673169895754,0.02889941959864064,1.0,fixed_official exp2 n_sweep
C,200,10,0.020077253751097496,0.0006676728172613015,0.01988039630443049,0.019239786437312313,0.02105495977205001,0.4534020666160964,0.024497025402956736,1.0,fixed_official exp2 n_sweep
C,250,10,0.017719231375927947,0.00041108118832258495,0.01775715729827862,0.016978240760335817,0.018405265727075064,0.4550898682971723,0.021620068582818234,1.0,fixed_official exp2 n_sweep
C,300,10,0.016456427024683792,0.000372127773391274,0.016569358088795207,0.01587680329143316,0.016925514918387775,0.4571759917215054,0.020077222425532837,1.0,fixed_official exp2 n_sweep
