scenario,trial,seed_data,seed_model,n,d,k,family_x,family_y,rmse_z,rmse_x,rmse_y,q_final,w_est,success,error_message,note
A,0,5065,5565,50,15,3,poisson,bernoulli,0.4217867082582094,1.2970379763253574,0.1821114645097917,-775.8435317888518,1.5536361331602877,True,,fixed_official exp2 n_sweep scen_a
A,1,6065,6565,50,15,3,poisson,bernoulli,0.3278508733641931,1.1393914493678554,0.15664804877430338,-870.3565460571378,1.5032303906450104,True,,fixed_official exp2 n_sweep scen_a
A,2,7065,7565,50,15,3,poisson,bernoulli,0.38673151327911004,1.2543992360653606,0.16491294246510782,-836.7349614313347,1.6498300953842013,True,,fixed_official exp2 n_sweep scen_a
A,3,8065,8565,50,15,3,poisson,bernoulli,0.3312687611178179,1.2113232582120694,0.16969643591046601,-866.4404514084345,1.6214226867566612,True,,fixed_official exp2 n_sweep scen_a
A,4,9065,9565,50,15,3,poisson,bernoulli,0.38313352008356744,1.1806264489115934,0.15452817057126988,-744.5735374780019,1.6299168401632216,True,,fixed_official exp2 n_sweep scen_a
A,5,10065,10565,50,15,3,poisson,bernoulli,0.28077517116432477,1.2159565273722894,0.14461505040461994,-815.8712522847361,1.5861104712075818,True,,fixed_official exp2 n_sweep scen_a
A,6,11065,11565,50,15,3,poisson,bernoulli,0.3329657008120049,1.1073799143570782,0.14802898454079344,-766.7668916663687,1.3612087837188522,True,,fixed_official exp2 n_sweep scen_a
A,7,12065,12565,50,15,3,poisson,bernoulli,0.3458349301524111,1.1362112114006633,0.16254223206680551,-867.6168217589741,1.4693400770179723,True,,fixed_official exp2 n_sweep scen_a
A,8,13065,13565,50,15,3,poisson,bernoulli,0.31889699278273775,1.3129767556164629,0.14785695881733651,-791.7609836734061,1.6529296971153011,True,,fixed_official exp2 n_sweep scen_a
A,9,14065,14565,50,15,3,poisson,bernoulli,0.2880726531053384,1.188534626905128,0.14094931291355736,-930.0084473794628,1.5320086805274553,True,,fixed_official exp2 n_sweep scen_a
A,0,5115,5615,100,15,3,poisson,bernoulli,0.25456183987579595,1.2310144400253946,0.12259036553996006,-2409.397060938899,1.6415409832272185,True,,fixed_official exp2 n_sweep scen_a
A,1,6115,6615,100,15,3,poisson,bernoulli,0.2802584135905285,1.2312829457270082,0.11686739513745054,-2574.2446452745216,1.4541734690959287,True,,fixed_official exp2 n_sweep scen_a
A,2,7115,7615,100,15,3,poisson,bernoulli,0.2830562609915512,1.3066615245584792,0.12480769511154136,-2787.2593157753668,1.4833168683490057,True,,fixed_official exp2 n_sweep scen_a
A,3,8115,8615,100,15,3,poisson,bernoulli,0.26231295811241606,1.3076405862680949,0.11949620831543396,-2389.270010666227,1.4949004048521688,True,,fixed_official exp2 n_sweep scen_a
