scenario,d,n_trials,rmse_z_mean,rmse_z_std,rmse_z_median,rmse_z_min,rmse_z_max,rmse_x_mean,rmse_y_mean,success_rate,note
A,5,10,0.26392340898466377,0.011436683786412345,0.26435066460040885,0.23968945096625252,0.2778874845910977,1.1977923467131644,0.11268160021280374,1.0,fixed_official exp3 d_sweep
A,10,10,0.2419695929252915,0.008157499285396191,0.24215253679866355,0.22616522886254298,0.2533303825419702,1.2118518101252163,0.10678494726703454,1.0,fixed_official exp3 d_sweep
A,15,10,0.23530411233953222,0.010820291089378226,0.23474962641598165,0.21938226546879716,0.251889887954772,1.2300972027799775,0.10551837486671309,1.0,fixed_official exp3 d_sweep
A,20,10,0.2248684690370894,0.00901132916129904,0.22221448786468134,0.214839704976626,0.24200012504223253,1.2204854950259794,0.10344206234339115,1.0,fixed_official exp3 d_sweep
A,25,10,0.2171425593573464,0.006745440565605515,0.21621982751176066,0.2074054611573257,0.2307745581635732,1.220541316449133,0.10132591452605647,1.0,fixed_official exp3 d_sweep
A,30,10,0.204550847626998,0.010006421482695463,0.2047800277395148,0.18699670147594916,0.22112110081049924,1.2150511409807498,0.09734952818344579,1.0,fixed_official exp3 d_sweep
B,5,10,0.1695238320654957,0.005334602453289192,0.17012522951622236,0.16304596017004222,0.17782705138752913,0.31894760438405373,0.5840505691951627,1.0,fixed_official exp3 d_sweep
B,10,10,0.15278318514240205,0.006198354793576092,0.1532372769667548,0.14161604549902343,0.1617610887121372,0.3117381687061915,0.5257768782138925,1.0,fixed_official exp3 d_sweep
B,15,10,0.1400656969171286,0.002711521918841503,0.14030424526549556,0.13509348515802239,0.14506578826130995,0.31040702900594697,0.5194278699398533,1.0,fixed_official exp3 d_sweep
B,20,10,0.14265280768488664,0.02342892292042738,0.13408648526590294,0.1264593406790315,0.19095266079430429,0.31036637933164296,0.5336239939770495,1.0,fixed_official exp3 d_sweep
B,25,10,0.16318411746140601,0.08344271576510749,0.1276821788670852,0.1180579101063297,0.3728062984503131,0.3128317093171288,0.6110478040251928,1.0,fixed_official exp3 d_sweep
B,30,10,0.16652690281972576,0.13638945722616877,0.12022234750568304,0.11442988261453156,0.5535733574457947,0.3144304015810644,0.5967640210771297,1.0,fixed_official exp3 d_sweep
C,5,10,0.023224311096899562,0.0007139427612556142,0.023174483868147883,0.02228667048343668,0.02479449500473533,0.4543599000651798,0.028268126114001573,1.0,fixed_official exp3 d_sweep
C,10,10,0.02319668192947819,0.0009721819396598735,0.023157988051801984,0.02153178741672,0.02475603315277558,0.4525923743293986,0.028266503988861248,1.0,fixed_official exp3 d_sweep
C,15,10,0.023753788505910575,0.0006834237278754001,0.02392886730732511,0.02261020145681623,0.024769164740785443,0.4537673169895754,0.02889941959864064,1.0,fixed_official exp3 d_sweep
C,20,10,0.023139531122134873,0.0006825681750560522,0.023019736213659037,0.02195367603070701,0.023989622822740503,0.4533289951811194,0.028168058590218748,1.0,fixed_official exp3 d_sweep
C,25,10,0.023509927866421424,0.0007738460795957474,0.023593682067063783,0.02178004245215891,0.024727834182681742,0.45301455205724495,0.02865146065292513,1.0,fixed_official exp3 d_sweep
C,30,10,0.02314494377785436,0.0008770416756780161,0.022919602037503456,0.02219561695933684,0.024485616920492757,0.4543266331974264,0.02821309709844726,1.0,fixed_official exp3 d_sweep
