scenario,trial,seed_data,seed_model,n,d,k,family_x,family_y,rmse_z,rmse_x,rmse_y,q_final,w_est,success,error_message,note
A,0,5155,5655,150,5,3,poisson,bernoulli,0.2520392665586907,1.2265769365549775,0.1133131898855511,-5132.060377055022,1.52888141549101,True,,fixed_official exp3 d_sweep scen_a
A,1,6155,6655,150,5,3,poisson,bernoulli,0.2727752802167543,1.2046010954493502,0.11293842013269878,-5304.815675123803,1.5161756813895197,True,,fixed_official exp3 d_sweep scen_a
A,2,7155,7655,150,5,3,poisson,bernoulli,0.2621297374572565,1.211605865319852,0.11313323784597003,-5350.869733281603,1.4823903270493002,True,,fixed_official exp3 d_sweep scen_a
A,3,8155,8655,150,5,3,poisson,bernoulli,0.2663742733808308,1.190368220270908,0.11424496947318001,-5555.471138277506,1.3812100552863635,True,,fixed_official exp3 d_sweep scen_a
A,4,9155,9655,150,5,3,poisson,bernoulli,0.23968945096625252,1.1547504521203076,0.10291394769621455,-5193.807095015893,1.5382353079784858,True,,fixed_official exp3 d_sweep scen_a
A,5,10155,10655,150,5,3,poisson,bernoulli,0.2778874845910977,1.2372768709974287,0.11298804170354973,-5437.321434279916,1.448323428152756,True,,fixed_official exp3 d_sweep scen_a
A,6,11155,11655,150,5,3,poisson,bernoulli,0.27508373192800195,1.2288880028641307,0.11413926664949493,-5339.009147371615,1.4940330874497236,True,,fixed_official exp3 d_sweep scen_a
A,7,12155,12655,150,5,3,poisson,bernoulli,0.2613262945331844,1.30043148265048,0.11403087625252424,-5146.018039939717,1.5239867068372417,True,,fixed_official exp3 d_sweep scen_a
A,8,13155,13655,150,5,3,poisson,bernoulli,0.2623270558199869,1.1481977132804229,0.11302992986145378,-5192.519295270266,1.4823295896732602,True,,fixed_official exp3 d_sweep scen_a
A,9,14155,14655,150,5,3,poisson,bernoulli,0.26960151439458246,1.0752268276237875,0.11608412262740003,-5395.650498908504,1.5112219305784262,True,,fixed_official exp3 d_sweep scen_a
A,0,5160,5660,150,10,3,poisson,bernoulli,0.2454730355869896,1.2301688696836537,0.10644417771568528,-5393.108183546125,1.444429905100579,True,,fixed_official exp3 d_sweep scen_a
A,1,6160,6660,150,10,3,poisson,bernoulli,0.22616522886254298,1.2033451065657477,0.09762399728732012,-5556.771511827076,1.4236372357416052,True,,fixed_official exp3 d_sweep scen_a
A,2,7160,7660,150,10,3,poisson,bernoulli,0.23836771937462173,1.1896320278852708,0.10821590267296533,-5443.342192193713,1.483203224995165,True,,fixed_official exp3 d_sweep scen_a
A,3,8160,8660,150,10,3,poisson,bernoulli,0.2413917611918121,1.20428046525102,0.10655794903625591,-5197.301464042883,1.554858160740399,True,,fixed_official exp3 d_sweep scen_a
A,4,9160,9660,150,10,3,poisson,bernoulli,0.24291331240551498,1.2117723271787053,0.10609556222381385,-5194.450622780101,1.5575045752066414,True,,fixed_official exp3 d_sweep scen_a
A,5,10160,10660,150,10,3,poisson,bernoulli,0.2533303825419702,1.2054831835349828,0.11263425725592241,-5342.185162928474,1.561773562488028,True,,fixed_official exp3 d_sweep scen_a
A,6,11160,11660,150,10,3,poisson,bernoulli,0.23644899367945973,1.2012705031786162,0.10977544662394939,-5621.273436594182,1.4922455366158398,True,,fixed_official exp3 d_sweep scen_a
A,7,12160,12660,150,10,3,poisson,bernoulli,0.25274593288252495,1.301252756774299,0.10545104093204064,-5332.125154938772,1.505167566368455,True,,fixed_official exp3 d_sweep scen_a
A,8,13160,13660,150,10,3,poisson,bernoulli,0.2462462258874267,1.207880400127487,0.10979232564265026,-5515.555188772787,1.4965176238486806,True,,fixed_official exp3 d_sweep scen_a
A,9,14160,14660,150,10,3,poisson,bernoulli,0.23661333684005184,1.16343246107238,0.10525881327974212,-5410.51763145388,1.4985250382165758,True,,fixed_official exp3 d_sweep scen_a
A,0,5165,5665,150,15,3,poisson,bernoulli,0.21938226546879716,1.287550039326274,0.1034764844389275,-5349.837261171704,1.5421889723327082,True,,fixed_official exp3 d_sweep scen_a
A,1,6165,6665,150,15,3,poisson,bernoulli,0.22031738056012096,1.2535988874043502,0.10099950218972399,-5295.069296089157,1.5464356454000452,True,,fixed_official exp3 d_sweep scen_a
A,2,7165,7665,150,15,3,poisson,bernoulli,0.2389072707452954,1.188474309266785,0.11213998298714961,-5571.4396604944295,1.4924322646180783,True,,fixed_official exp3 d_sweep scen_a
A,3,8165,8665,150,15,3,poisson,bernoulli,0.24698315894525769,1.266025043677218,0.10985258833041293,-5627.828107647898,1.5604854746483212,True,,fixed_official exp3 d_sweep scen_a
A,4,9165,9665,150,15,3,poisson,bernoulli,0.2272436607844085,1.185817402979473,0.10295595582321913,-5339.864281211001,1.5009555995248094,True,,fixed_official exp3 d_sweep scen_a
A,5,10165,10665,150,15,3,poisson,bernoulli,0.24449909146149398,1.2187336011843208,0.1057994208002426,-5531.156488853705,1.466233841272984,True,,fixed_official exp3 d_sweep scen_a
A,6,11165,11665,150,15,3,poisson,bernoulli,0.251889887954772,1.2157414950089984,0.10848425564436091,-5484.085410310063,1.5472137391036795,True,,fixed_official exp3 d_sweep scen_a
A,7,12165,12665,150,15,3,poisson,bernoulli,0.23431915464321343,1.2089680397567535,0.10127147361608092,-5697.677434031818,1.5080599992276318,True,,fixed_official exp3 d_sweep scen_a
A,8,13165,13665,150,15,3,poisson,bernoulli,0.23463440492545415,1.2570504716416355,0.10445261649516724,-5429.6007598222905,1.5171099116804394,True,,fixed_official exp3 d_sweep scen_a
