scenario,condition_name,true_x,true_y,est_x,est_y,fix_w,fix_x,n_trials,rmse_z_mean,rmse_z_std,rmse_z_median,rmse_z_min,rmse_z_max,rmse_x_mean,rmse_y_mean,success_rate,high_rmse_count,high_rmse_rate,note
A,XGauss_YGauss,poisson,bernoulli,gaussian,gaussian,False,False,10,0.3860377932991997,0.171341035675521,0.3036252977372676,0.27769433682614353,0.8031159505137793,2.0832118300604763,2.7054797367781473,1.0,1,0.1,"fixed_official exp4 scen_a, high_rmse_threshold=0.7"
A,XGauss_YBern,poisson,bernoulli,gaussian,bernoulli,False,False,10,0.485487406300081,0.20161296057944333,0.5295856630251803,0.24842441051130973,0.7453022051510907,1.8674802227027,0.1592503798431897,1.0,2,0.2,"fixed_official exp4 scen_a, high_rmse_threshold=0.7"
A,XGauss_YPois,poisson,bernoulli,gaussian,poisson,False,False,10,0.6916121075839726,0.05768073572337955,0.6880056822867,0.5847066857028818,0.7669858213943692,1.658563943790314,467.72571941520744,1.0,5,0.5,"fixed_official exp4 scen_a, high_rmse_threshold=0.7"
A,XBern_YGauss,poisson,bernoulli,bernoulli,gaussian,False,False,10,0.6096150097257256,0.26391494463709414,0.5235585268256107,0.43552619210613264,1.3071115630071437,2.2220465812451584,2.8015105186489135,1.0,2,0.2,"fixed_official exp4 scen_a, high_rmse_threshold=0.7"
A,XBern_YBern,poisson,bernoulli,bernoulli,bernoulli,False,False,10,1.0071286074161203,0.07999395064906974,1.0079577526527248,0.8979190621085806,1.1513969236323065,2.3029706462290482,0.2978145907217329,1.0,10,1.0,"fixed_official exp4 scen_a, high_rmse_threshold=0.7"
A,XBern_YPois,poisson,bernoulli,bernoulli,poisson,False,False,10,0.6663160189250421,0.3043912767161603,0.5542783100735116,0.34521652675110337,1.206554275960367,2.209089584875799,467.73204698578604,1.0,3,0.3,"fixed_official exp4 scen_a, high_rmse_threshold=0.7"
A,XPois_YGauss,poisson,bernoulli,poisson,gaussian,False,False,10,0.2664932170004965,0.015558181436005394,0.2686563651431831,0.23698286003589863,0.2873721567474044,1.2713644530462007,2.6848814366922618,1.0,0,0.0,"fixed_official exp4 scen_a, high_rmse_threshold=0.7"
A,oracle_A,poisson,bernoulli,poisson,bernoulli,False,False,10,0.23198466345505048,0.007304146722908002,0.23257832984209703,0.21811341499619932,0.24368076370729072,1.2125853567797307,0.10351393597463587,1.0,0,0.0,"fixed_official exp4 scen_a, high_rmse_threshold=0.7"
A,XPois_YPois,poisson,bernoulli,poisson,poisson,False,False,10,0.31532113650803373,0.014186595495853525,0.31666990493427616,0.29217709917624013,0.33716909629228603,1.2494778003613702,467.6969105925808,1.0,0,0.0,"fixed_official exp4 scen_a, high_rmse_threshold=0.7"
A,Y_only,poisson,bernoulli,poisson,bernoulli,False,True,10,0.2771247059752691,0.012854053313208994,0.2791786175885079,0.257975291258192,0.29357915655015193,2.210254858858461,0.11453312477720516,1.0,0,0.0,"fixed_official exp4 scen_a, high_rmse_threshold=0.7"
A,X_only,poisson,bernoulli,poisson,bernoulli,True,False,10,0.5980748526570479,0.09126410880860614,0.5904980096153707,0.5019778205866885,0.8320606266750508,1.2264344258100501,0.31565130363812366,1.0,1,0.1,"fixed_official exp4 scen_a, high_rmse_threshold=0.7"
