scenario,base_condition,condition_name,est_x,est_y,fix_w,fix_x,rmse_z_mean,oracle_rmse_z_mean,ratio_vs_oracle,rmse_z_median,oracle_rmse_z_median,median_ratio_vs_oracle,note
A,oracle_A,XGauss_YGauss,gaussian,gaussian,False,False,0.3860377932991997,0.23198466345505048,1.6640660100101774,0.3036252977372676,0.23257832984209703,1.3054754410843266,"fixed_official exp4 scen_a, ratio = rmse_z_mean / oracle_A_mean"
A,oracle_A,XGauss_YBern,gaussian,bernoulli,False,False,0.485487406300081,0.23198466345505048,2.0927564739388447,0.5295856630251803,0.23257832984209703,2.2770206638973143,"fixed_official exp4 scen_a, ratio = rmse_z_mean / oracle_A_mean"
A,oracle_A,XGauss_YPois,gaussian,poisson,False,False,0.6916121075839726,0.23198466345505048,2.9812837507595837,0.6880056822867,0.23257832984209703,2.9581676106875627,"fixed_official exp4 scen_a, ratio = rmse_z_mean / oracle_A_mean"
A,oracle_A,XBern_YGauss,bernoulli,gaussian,False,False,0.6096150097257256,0.23198466345505048,2.6278246184314895,0.5235585268256107,0.23257832984209703,2.251106228086972,"fixed_official exp4 scen_a, ratio = rmse_z_mean / oracle_A_mean"
A,oracle_A,XBern_YBern,bernoulli,bernoulli,False,False,1.0071286074161203,0.23198466345505048,4.3413585726595345,1.0079577526527248,0.23257832984209703,4.333842079513819,"fixed_official exp4 scen_a, ratio = rmse_z_mean / oracle_A_mean"
A,oracle_A,XBern_YPois,bernoulli,poisson,False,False,0.6663160189250421,0.23198466345505048,2.872241677537222,0.5542783100735116,0.23257832984209703,2.3831898287765,"fixed_official exp4 scen_a, ratio = rmse_z_mean / oracle_A_mean"
A,oracle_A,XPois_YGauss,poisson,gaussian,False,False,0.2664932170004965,0.23198466345505048,1.1487535987573265,0.2686563651431831,0.23257832984209703,1.1551220843557535,"fixed_official exp4 scen_a, ratio = rmse_z_mean / oracle_A_mean"
A,oracle_A,oracle_A,poisson,bernoulli,False,False,0.23198466345505048,0.23198466345505048,1.0,0.23257832984209703,0.23257832984209703,1.0,"fixed_official exp4 scen_a, ratio = rmse_z_mean / oracle_A_mean"
A,oracle_A,XPois_YPois,poisson,poisson,False,False,0.31532113650803373,0.23198466345505048,1.3592326829360881,0.31666990493427616,0.23257832984209703,1.3615623826573648,"fixed_official exp4 scen_a, ratio = rmse_z_mean / oracle_A_mean"
A,oracle_A,Y_only,poisson,bernoulli,False,True,0.2771247059752691,0.23198466345505048,1.1945820117930555,0.2791786175885079,0.23257832984209703,1.200363842057207,"fixed_official exp4 scen_a, ratio = rmse_z_mean / oracle_A_mean"
A,oracle_A,X_only,poisson,bernoulli,True,False,0.5980748526570479,0.23198466345505048,2.5780792736453084,0.5904980096153707,0.23257832984209703,2.5389210164862472,"fixed_official exp4 scen_a, ratio = rmse_z_mean / oracle_A_mean"
