scenario,condition_name,trial,seed_data,seed_model,true_x,true_y,est_x,est_y,fix_w,fix_x,n,d,k,rmse_z,rmse_x,rmse_y,q_final,w_est,success,error_message,note
A,XGauss_YGauss,0,6000,6050,poisson,bernoulli,gaussian,gaussian,False,False,150,15,3,0.2777101071399659,2.3473087979564404,2.686743861717,-195.78896659186574,0.17752580097942458,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YGauss,1,6100,6150,poisson,bernoulli,gaussian,gaussian,False,False,150,15,3,0.3032169483128641,2.273063405883535,2.6843175069414196,-369.9059274740606,0.17209632935451846,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YGauss,2,6200,6250,poisson,bernoulli,gaussian,gaussian,False,False,150,15,3,0.5528824513854211,1.86909932516929,2.744370592840931,-567.1344909881225,0.14572929645676969,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YGauss,3,6300,6350,poisson,bernoulli,gaussian,gaussian,False,False,150,15,3,0.27769433682614353,2.268302402923634,2.6931243524964326,-82.39786221363538,0.1775829099437339,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YGauss,4,6400,6450,poisson,bernoulli,gaussian,gaussian,False,False,150,15,3,0.2836445809627569,2.1324878393992086,2.6800909853822295,8.197551096296774,0.17702830744045636,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YGauss,5,6500,6550,poisson,bernoulli,gaussian,gaussian,False,False,150,15,3,0.8031159505137793,1.6159506755344302,2.762370322647354,-503.7078123694817,0.1565691873437137,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YGauss,6,6600,6650,poisson,bernoulli,gaussian,gaussian,False,False,150,15,3,0.2870895542817253,2.1281444571095753,2.6872287070561987,-153.75884508151339,0.17354455627787302,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YGauss,7,6700,6750,poisson,bernoulli,gaussian,gaussian,False,False,150,15,3,0.43597065791015854,1.750883844915221,2.7285424513162426,-202.60671759413617,0.16005584352558247,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YGauss,8,6800,6850,poisson,bernoulli,gaussian,gaussian,False,False,150,15,3,0.3040336471616711,2.25597489861302,2.685617352301025,-281.5967392865632,0.1701887471525919,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YGauss,9,6900,6950,poisson,bernoulli,gaussian,gaussian,False,False,150,15,3,0.3350196984975115,2.190902653100407,2.7023912350826387,-377.4922670053687,0.16679726217855098,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YBern,0,6000,6050,poisson,bernoulli,gaussian,bernoulli,False,False,150,15,3,0.24842441051130973,2.274377771401434,0.10489929709797226,-10030.730322168534,1.64627000797436,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YBern,1,6100,6150,poisson,bernoulli,gaussian,bernoulli,False,False,150,15,3,0.2664725427139328,2.211901446322772,0.11217160920627559,-10189.239593420545,1.5206488101165023,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YBern,2,6200,6250,poisson,bernoulli,gaussian,bernoulli,False,False,150,15,3,0.5774561437541039,1.719651754441734,0.18391040171090825,-10341.665040878506,1.1021908238307108,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YBern,3,6300,6350,poisson,bernoulli,gaussian,bernoulli,False,False,150,15,3,0.2654961031749938,2.1915811973475137,0.1103161830041686,-9933.06211574325,1.6625008743117258,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YBern,4,6400,6450,poisson,bernoulli,gaussian,bernoulli,False,False,150,15,3,0.28409614091143676,2.093087831514121,0.11284307094531172,-9853.619936381134,1.6094427164837475,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YBern,5,6500,6550,poisson,bernoulli,gaussian,bernoulli,False,False,150,15,3,0.7453022051510907,1.588788141574168,0.19301773442978917,-10355.497325485805,1.0031749148061306,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YBern,6,6600,6650,poisson,bernoulli,gaussian,bernoulli,False,False,150,15,3,0.7047519037402254,1.5554712504996735,0.2012990155426067,-10175.588363478386,1.069398347812416,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YBern,7,6700,6750,poisson,bernoulli,gaussian,bernoulli,False,False,150,15,3,0.4817151822962567,1.6325687935626116,0.1740235078668068,-10035.856615752855,1.1678586678231713,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YBern,8,6800,6850,poisson,bernoulli,gaussian,bernoulli,False,False,150,15,3,0.6571433297569171,1.7793649683452486,0.20140075304291685,-10433.076055103089,1.0464429459770512,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YBern,9,6900,6950,poisson,bernoulli,gaussian,bernoulli,False,False,150,15,3,0.6240161009905427,1.6280090720177247,0.1986222255851411,-10299.405737964731,1.0671710476040586,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YPois,0,6000,6050,poisson,bernoulli,gaussian,poisson,False,False,150,15,3,0.6695616794801817,1.8366209730168956,375.53149679358245,-12311.875778786201,0.38949097847907127,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YPois,1,6100,6150,poisson,bernoulli,gaussian,poisson,False,False,150,15,3,0.7669858213943692,1.7346340652459884,521.8496474368043,-12338.015496362787,0.3397843101384885,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YPois,2,6200,6250,poisson,bernoulli,gaussian,poisson,False,False,150,15,3,0.6588957783102739,1.689553090410517,748.5789197238055,-12176.561968213544,0.2922747947958842,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YPois,3,6300,6350,poisson,bernoulli,gaussian,poisson,False,False,150,15,3,0.6594722716805073,1.6765192277911136,333.65472551623077,-12116.176852940673,0.36200451483263746,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YPois,4,6400,6450,poisson,bernoulli,gaussian,poisson,False,False,150,15,3,0.6464418011609343,1.5718906164266004,257.83309216892997,-11941.782656889995,0.3801631156025916,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YPois,5,6500,6550,poisson,bernoulli,gaussian,poisson,False,False,150,15,3,0.7545625253826865,1.614044678250126,480.40568983051435,-12136.077085076822,0.33092847968541406,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YPois,6,6600,6650,poisson,bernoulli,gaussian,poisson,False,False,150,15,3,0.7215178623688691,1.5692893377947659,294.32450057816726,-11994.698218086021,0.3531511289759814,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YPois,7,6700,6750,poisson,bernoulli,gaussian,poisson,False,False,150,15,3,0.5847066857028818,1.557700587963188,561.7137459344659,-11936.672644895289,0.3753341530360687,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YPois,8,6800,6850,poisson,bernoulli,gaussian,poisson,False,False,150,15,3,0.747526965265803,1.7112181563001052,522.5744185740624,-12078.39110544406,0.3443136869994626,True,,fixed_official exp4 scen_a 10trials
A,XGauss_YPois,9,6900,6950,poisson,bernoulli,gaussian,poisson,False,False,150,15,3,0.7064496850932184,1.6241687047038376,580.7909575955117,-12126.598860007813,0.32169352621400027,True,,fixed_official exp4 scen_a 10trials
A,XBern_YGauss,0,6000,6050,poisson,bernoulli,bernoulli,gaussian,False,False,150,15,3,0.43740368085969494,2.330200877470974,2.7698041126898096,21614.9231894576,0.13935295516857324,True,,fixed_official exp4 scen_a 10trials
A,XBern_YGauss,1,6100,6150,poisson,bernoulli,bernoulli,gaussian,False,False,150,15,3,0.4576808465659998,2.222865196374158,2.7674525541717108,19949.74068214988,0.13654428602100444,True,,fixed_official exp4 scen_a 10trials
A,XBern_YGauss,2,6200,6250,poisson,bernoulli,bernoulli,gaussian,False,False,150,15,3,0.702290301672626,2.3150695292895342,2.830515733604964,22869.62207402525,0.1036588545090433,True,,fixed_official exp4 scen_a 10trials
A,XBern_YGauss,3,6300,6350,poisson,bernoulli,bernoulli,gaussian,False,False,150,15,3,0.5150015862885955,2.2366444850876466,2.7860397543457913,21132.09637914082,0.14053724502279147,True,,fixed_official exp4 scen_a 10trials
A,XBern_YGauss,4,6400,6450,poisson,bernoulli,bernoulli,gaussian,False,False,150,15,3,0.5321154673626258,2.0957883169958422,2.7831461023071054,21396.49075498694,0.13140464979568395,True,,fixed_official exp4 scen_a 10trials
A,XBern_YGauss,5,6500,6550,poisson,bernoulli,bernoulli,gaussian,False,False,150,15,3,0.5871720383826489,2.2386932276989904,2.799800293437305,22108.38437154798,0.12090885619387011,True,,fixed_official exp4 scen_a 10trials
A,XBern_YGauss,6,6600,6650,poisson,bernoulli,bernoulli,gaussian,False,False,150,15,3,0.6803372092167618,2.1042253376775237,2.818827784595,22598.150730226364,0.1187415432451194,True,,fixed_official exp4 scen_a 10trials
A,XBern_YGauss,7,6700,6750,poisson,bernoulli,bernoulli,gaussian,False,False,150,15,3,1.3071115630071437,2.241575458734069,2.922016008754513,2827.200897742043,1.1051865468661901,True,,fixed_official exp4 scen_a 10trials
A,XBern_YGauss,8,6800,6850,poisson,bernoulli,bernoulli,gaussian,False,False,150,15,3,0.43552619210613264,2.226273087206506,2.760043870494833,19538.5901982195,0.13391204272158436,True,,fixed_official exp4 scen_a 10trials
A,XBern_YGauss,9,6900,6950,poisson,bernoulli,bernoulli,gaussian,False,False,150,15,3,0.44151121179502756,2.20913029591634,2.777458972088106,18728.4913417989,0.12977443853419524,True,,fixed_official exp4 scen_a 10trials
A,XBern_YBern,0,6000,6050,poisson,bernoulli,bernoulli,bernoulli,False,False,150,15,3,0.9486555254952123,2.4017602077207263,0.30197107526611117,-3507.4795505226853,0.19737127708052116,True,,fixed_official exp4 scen_a 10trials
A,XBern_YBern,1,6100,6150,poisson,bernoulli,bernoulli,bernoulli,False,False,150,15,3,0.9958316115739614,2.3230750417750103,0.30134179748820644,-4652.982774287067,0.20691517712113647,True,,fixed_official exp4 scen_a 10trials
A,XBern_YBern,2,6200,6250,poisson,bernoulli,bernoulli,bernoulli,False,False,150,15,3,1.0283521515780167,2.4210363486042845,0.283282852162732,-4438.930811637324,0.1288835171809196,True,,fixed_official exp4 scen_a 10trials
A,XBern_YBern,3,6300,6350,poisson,bernoulli,bernoulli,bernoulli,False,False,150,15,3,0.9251226649125904,2.3191304115826177,0.3152367039377984,-1075.9200570203595,0.23254809012002003,True,,fixed_official exp4 scen_a 10trials
