scenario,condition_name,trial,seed_data,seed_model,true_x,true_y,est_x,est_y,fix_w,fix_x,n,d,k,rmse_z,rmse_x,rmse_y,q_final,w_est,success,error_message,note
B,XGauss_YGauss,0,7000,7050,gaussian,poisson,gaussian,gaussian,False,False,150,15,3,0.7286888574196412,0.6010650448722958,2.57408382165332,-15088.85289939136,1.485180039885764,True,,fixed_official exp4 scen_b 10trials
B,XGauss_YGauss,1,7100,7150,gaussian,poisson,gaussian,gaussian,False,False,150,15,3,0.27576725764555465,0.35450751616934983,1.8097558273463255,-14840.752164570682,1.0285832630386547,True,,fixed_official exp4 scen_b 10trials
B,XGauss_YGauss,2,7200,7250,gaussian,poisson,gaussian,gaussian,False,False,150,15,3,0.4963624105529535,0.5234669216383508,2.2126120946894963,-16664.639251339693,1.3233662432757847,True,,fixed_official exp4 scen_b 10trials
B,XGauss_YGauss,3,7300,7350,gaussian,poisson,gaussian,gaussian,False,False,150,15,3,0.7644203029543493,0.5635999547851002,2.482221826336787,-14292.067308605649,1.6940096005434435,True,,fixed_official exp4 scen_b 10trials
B,XGauss_YGauss,4,7400,7450,gaussian,poisson,gaussian,gaussian,False,False,150,15,3,0.40380313185822575,0.4505128687937788,1.9064343025826116,-14283.618348726546,1.0482445049169944,True,,fixed_official exp4 scen_b 10trials
B,XGauss_YGauss,5,7500,7550,gaussian,poisson,gaussian,gaussian,False,False,150,15,3,0.7182250672392816,0.6256354765355528,2.4004555707993975,-14566.45082080764,1.442052017093082,True,,fixed_official exp4 scen_b 10trials
B,XGauss_YGauss,6,7600,7650,gaussian,poisson,gaussian,gaussian,False,False,150,15,3,0.9574055810400514,0.7065066323559629,3.9859194301491274,-14839.421178927132,2.957248904058848,True,,fixed_official exp4 scen_b 10trials
B,XGauss_YGauss,7,7700,7750,gaussian,poisson,gaussian,gaussian,False,False,150,15,3,0.44273553578057384,0.4725910178164648,1.928812470982315,-14185.40271336544,1.0824753545750962,True,,fixed_official exp4 scen_b 10trials
B,XGauss_YGauss,8,7800,7850,gaussian,poisson,gaussian,gaussian,False,False,150,15,3,0.8524475298027652,0.5261038932597465,2.2951354269911235,-14205.887725735953,1.331523911453015,True,,fixed_official exp4 scen_b 10trials
B,XGauss_YGauss,9,7900,7950,gaussian,poisson,gaussian,gaussian,False,False,150,15,3,0.7130717725062138,0.5498861138868935,2.4337843078873727,-13786.667702036259,1.4488261716658402,True,,fixed_official exp4 scen_b 10trials
B,XGauss_YBern,0,7000,7050,gaussian,poisson,gaussian,bernoulli,False,False,150,15,3,1.1371701119038216,0.770596569966362,0.5327757490224483,132139.8229196468,4.499972942325826,True,,fixed_official exp4 scen_b 10trials
B,XGauss_YBern,1,7100,7150,gaussian,poisson,gaussian,bernoulli,False,False,150,15,3,1.1309200209126602,0.7008741504999361,0.5310203614133692,123502.10087900695,4.499955226169288,True,,fixed_official exp4 scen_b 10trials
B,XGauss_YBern,2,7200,7250,gaussian,poisson,gaussian,bernoulli,False,False,150,15,3,0.9920867847399628,0.763913608623992,0.5274843802278785,125864.70000576254,4.499905398313832,True,,fixed_official exp4 scen_b 10trials
B,XGauss_YBern,3,7300,7350,gaussian,poisson,gaussian,bernoulli,False,False,150,15,3,1.2497126196261608,0.8684704469742524,0.5325180686808794,110442.16429069269,4.499980342083016,True,,fixed_official exp4 scen_b 10trials
B,XGauss_YBern,4,7400,7450,gaussian,poisson,gaussian,bernoulli,False,False,150,15,3,1.0785324569124495,0.8423328078355173,0.5311642920044148,117981.31440346569,4.499920056916581,True,,fixed_official exp4 scen_b 10trials
B,XGauss_YBern,5,7500,7550,gaussian,poisson,gaussian,bernoulli,False,False,150,15,3,1.0739626160518532,0.7854649755244948,0.529050071955874,122121.8385730567,4.499844387297258,True,,fixed_official exp4 scen_b 10trials
B,XGauss_YBern,6,7600,7650,gaussian,poisson,gaussian,bernoulli,False,False,150,15,3,1.1606480855266368,0.8157020306661702,0.5327881807000626,118310.14325267002,4.499992056093876,True,,fixed_official exp4 scen_b 10trials
B,XGauss_YBern,7,7700,7750,gaussian,poisson,gaussian,bernoulli,False,False,150,15,3,1.1091968111090558,0.822486238217287,0.5317422092373728,119796.70703101729,4.499849933574743,True,,fixed_official exp4 scen_b 10trials
B,XGauss_YBern,8,7800,7850,gaussian,poisson,gaussian,bernoulli,False,False,150,15,3,1.020314804314844,0.7346151146659312,0.5315241758346588,120521.27253051207,4.499807435069076,True,,fixed_official exp4 scen_b 10trials
B,XGauss_YBern,9,7900,7950,gaussian,poisson,gaussian,bernoulli,False,False,150,15,3,1.0494879222754288,0.7729635485380042,0.5312405037426412,115666.27659514573,4.499901648866619,True,,fixed_official exp4 scen_b 10trials
B,oracle_B,0,7000,7050,gaussian,poisson,gaussian,poisson,False,False,150,15,3,0.14022293711162306,0.30787655385808593,0.522885331967155,-1791.8835154672524,0.48504568642824136,True,,fixed_official exp4 scen_b 10trials
B,oracle_B,1,7100,7150,gaussian,poisson,gaussian,poisson,False,False,150,15,3,0.14351235309931362,0.3132972350421223,0.4674553154149455,-2610.4969582174367,0.48577969320577263,True,,fixed_official exp4 scen_b 10trials
B,oracle_B,2,7200,7250,gaussian,poisson,gaussian,poisson,False,False,150,15,3,0.13704105618203416,0.31074418241945384,0.5460546434730486,-1862.0028485716841,0.499195308446121,True,,fixed_official exp4 scen_b 10trials
B,oracle_B,3,7300,7350,gaussian,poisson,gaussian,poisson,False,False,150,15,3,0.1361486114986385,0.3101276644307149,0.4603585631090005,-2915.6837996568825,0.4947185192759846,True,,fixed_official exp4 scen_b 10trials
B,oracle_B,4,7400,7450,gaussian,poisson,gaussian,poisson,False,False,150,15,3,0.13576615200423264,0.3174697421944734,0.5017733563553701,-3258.1949053673593,0.4983207821805129,True,,fixed_official exp4 scen_b 10trials
B,oracle_B,5,7500,7550,gaussian,poisson,gaussian,poisson,False,False,150,15,3,0.14221607215025586,0.3030701776370637,0.45890723824160834,-2955.2237724416073,0.494041367222447,True,,fixed_official exp4 scen_b 10trials
B,oracle_B,6,7600,7650,gaussian,poisson,gaussian,poisson,False,False,150,15,3,0.14010052349374644,0.30369629246295815,0.7290453472235889,-1166.6777665568516,0.48528615450641266,True,,fixed_official exp4 scen_b 10trials
B,oracle_B,7,7700,7750,gaussian,poisson,gaussian,poisson,False,False,150,15,3,0.13250867827203722,0.31693821841840586,0.5334385042122405,-3418.0457504556593,0.48751321445616513,True,,fixed_official exp4 scen_b 10trials
B,oracle_B,8,7800,7850,gaussian,poisson,gaussian,poisson,False,False,150,15,3,0.14805556696617772,0.319202358129631,0.5084763642334138,-3258.4124476678626,0.4868059417336782,True,,fixed_official exp4 scen_b 10trials
B,oracle_B,9,7900,7950,gaussian,poisson,gaussian,poisson,False,False,150,15,3,0.1430572041650176,0.3049598025664295,0.468337243283076,-3332.435282646517,0.4838326936259243,True,,fixed_official exp4 scen_b 10trials
