scenario,family_x,family_y,k_est,n_trials,bic_mean,bic_std,q_strict_mean,rmse_z_mean,rmse_z_std,success_rate,note
A,poisson,bernoulli,1,3,20683.600683746077,229.76371924944752,-10304.220577167316,0.8460777511457462,0.20927583083955834,1.0,fixed_official quick
A,poisson,bernoulli,2,3,18263.179020267165,137.47128408695605,-9058.935298369186,0.5876377603367603,0.11350188504072672,1.0,fixed_official quick
A,poisson,bernoulli,3,3,16459.434405780845,231.62291400856475,-8124.4938617144,0.23438383435740748,0.01496244296089711,1.0,fixed_official quick
A,poisson,bernoulli,4,3,16797.617843827476,183.55951264756231,-8263.52176897314,0.4867428169971018,0.11327679449560726,1.0,fixed_official quick
A,poisson,bernoulli,5,3,17159.618276291294,218.3388941715721,-8416.96349108752,0.6264195984300048,0.0730122783472933,1.0,fixed_official quick
A,poisson,bernoulli,6,3,17493.274045908885,215.1153307148845,-8558.738199425834,0.6147076555179171,0.10655782414303018,1.0,fixed_official quick
B,gaussian,poisson,1,3,44038.68462190509,1100.119092891775,-21944.182781541105,1.0674122243512014,0.31386401243534634,1.0,fixed_official quick
B,gaussian,poisson,2,3,37493.10350665374,330.3900384150283,-18636.31777685675,0.6540450424713925,0.18093439679115544,1.0,fixed_official quick
B,gaussian,poisson,3,3,32191.436754176142,234.16562892667255,-15952.915271206328,0.13666042712109508,0.003156316290110506,1.0,fixed_official quick
B,gaussian,poisson,4,3,32498.28974324263,191.2274981248382,-16076.277953974995,0.3887878086182588,0.06413816728854163,1.0,fixed_official quick
B,gaussian,poisson,5,3,32854.89717131027,199.16546264503154,-16227.023173891284,0.6397407465210214,0.15085376913077198,1.0,fixed_official quick
B,gaussian,poisson,6,3,33200.75176883485,182.64284429148276,-16374.897296183095,0.6527619284166254,0.021686464717703552,1.0,fixed_official quick
C,bernoulli,gaussian,1,3,6391.167473715316,115.51994943087506,-3155.4986545048887,0.9283274582866978,0.35989347555707346,1.0,fixed_official quick
C,bernoulli,gaussian,2,3,-1877.885012162584,847.235413220909,1014.1020354927359,0.5937131255319518,0.038993285757819324,1.0,fixed_official quick
C,bernoulli,gaussian,3,3,-36281.46728980719,218.07063292678387,18248.46230372666,0.022287168360709462,0.0005508129750238554,1.0,fixed_official quick
C,bernoulli,gaussian,4,3,-35953.051798781504,213.80355217601118,18114.3183699784,0.3187408053079,0.16939462503084327,1.0,fixed_official quick
C,bernoulli,gaussian,5,3,-35616.66853931195,222.270349650371,17973.68523436115,0.435252444221709,0.17088808426421379,1.0,fixed_official quick
C,bernoulli,gaussian,6,3,-35314.50714474968,244.19430600085326,17847.6577135505,0.43855477674013343,0.1837211336314732,1.0,fixed_official quick
