scenario,trial,seed_data,seed_model,k_est,k_true,family_x,family_y,n,d,q_strict,bic,num_params,rmse_z,rmse_x,rmse_y,success,error_message,note
A,0,4000,4050,1,3,poisson,bernoulli,150,15,-10384.40696517192,20843.973459755285,15,0.6989525460194224,2.080322773867465,0.2547741703122699,True,,fixed_official quick k_true=3
A,1,4100,4150,1,3,poisson,bernoulli,150,15,-10355.644862669837,20786.449254751118,15,1.0856584367179294,1.9030339625426036,0.24391203306663636,True,,fixed_official quick k_true=3
A,2,4200,4250,1,3,poisson,bernoulli,150,15,-10172.609903660188,20420.37933673182,15,0.7536222706998869,1.815911857303481,0.24561455662173357,True,,fixed_official quick k_true=3
A,0,4000,4050,2,3,poisson,bernoulli,150,15,-9012.237003293762,18169.782430116313,29,0.5149996993629555,1.353339958955729,0.18855560500149554,True,,fixed_official quick k_true=3
A,1,4100,4150,2,3,poisson,bernoulli,150,15,-9137.863582414366,18421.03558835752,29,0.5294821276526692,1.5478686829925967,0.19027377843225815,True,,fixed_official quick k_true=3
A,2,4200,4250,2,3,poisson,bernoulli,150,15,-9026.705309399435,18198.71904232766,29,0.7184314539946565,1.5270775670971912,0.18038997130702036,True,,fixed_official quick k_true=3
A,0,4000,4050,3,3,poisson,bernoulli,150,15,-8258.216627950975,16726.87993825399,42,0.2513058626078224,1.2024412688482327,0.1108546385970896,True,,fixed_official quick k_true=3
A,1,4100,4150,3,3,poisson,bernoulli,150,15,-8058.61223161783,16327.671145587703,42,0.2229048044474137,1.2310697386876894,0.0966438994672991,True,,fixed_official quick k_true=3
A,2,4200,4250,3,3,poisson,bernoulli,150,15,-8056.652725574394,16323.752133500831,42,0.2289408360169864,1.2247818659816017,0.10206001066519944,True,,fixed_official quick k_true=3
A,0,4000,4050,4,3,poisson,bernoulli,150,15,-8369.499738325894,17009.573782532985,54,0.5886734197721872,1.1754289941022327,0.1207298499103193,True,,fixed_official quick k_true=3
A,1,4100,4150,4,3,poisson,bernoulli,150,15,-8210.370982712891,16691.31627130698,54,0.5067651647791916,1.2398320495365238,0.1169749669248991,True,,fixed_official quick k_true=3
A,2,4200,4250,4,3,poisson,bernoulli,150,15,-8210.694585880632,16691.96347764246,54,0.3647898664399264,1.2474964851831964,0.12085359160667333,True,,fixed_official quick k_true=3
A,0,4000,4050,5,3,poisson,bernoulli,150,15,-8542.76590957486,17411.223113265976,65,0.5591807019302285,1.1836354347720404,0.1322322623205892,True,,fixed_official quick k_true=3
A,1,4100,4150,5,3,poisson,bernoulli,150,15,-8361.010792768368,17047.71287965299,65,0.7040843743274643,1.1899888637914764,0.12767305912602742,True,,fixed_official quick k_true=3
A,2,4200,4250,5,3,poisson,bernoulli,150,15,-8347.11377091933,17019.918835954915,65,0.6159937190323216,1.2123986800386606,0.13268224989627764,True,,fixed_official quick k_true=3
