scenario,condition_name,true_x,true_y,est_x,est_y,trial,seed_data,seed_model,old_rmse_z,fixed_rmse_z,diff_fixed_old_rmse_z,ratio_fixed_old_rmse_z,old_rmse_y,fixed_rmse_y,diff_fixed_old_rmse_y,old_rmse_x,fixed_rmse_x,diff_fixed_old_rmse_x,old_q_final,fixed_q_final,old_q_start,old_q_end,old_q_delta,fixed_q_start,fixed_q_end,fixed_q_delta,old_w_est,fixed_w_est,old_success,fixed_success,old_error_message,fixed_error_message,note
A,oracle_A,poisson,bernoulli,poisson,bernoulli,0,6000,6050,0.25585442852458584,0.21811341499619932,-0.03774101352838652,0.8524902861911579,0.11901830063402463,0.09769787775577761,-0.021320422878247022,1.1971556018649754,1.2232577973846868,0.02610219551971138,-5474.33176615329,-5288.047668616595,-7120.7077259458965,-5474.33176615329,1646.3759597926064,-6697.126688976381,-5288.047668616595,1409.0790203597862,1.4330820431770304,1.5700593382537318,True,True,,,Scenario A oracle (correct family)
A,oracle_A,poisson,bernoulli,poisson,bernoulli,1,6100,6150,0.2914786288012447,0.24368076370729072,-0.04779786509395398,0.8360158846275255,0.13006156578902114,0.11001432240001838,-0.020047243389002767,1.1976459142005849,1.1962619504318774,-0.001383963768707419,-5818.095090786252,-5620.768233872587,-7024.265475013196,-5818.095090786252,1206.1703842269444,-6627.957677193146,-5620.768233872587,1007.1894433205589,1.3191717595143948,1.4671903954941101,True,True,,,Scenario A oracle (correct family)
A,oracle_A,poisson,bernoulli,poisson,bernoulli,2,6200,6250,0.27634333172066416,0.23650772354041516,-0.039835608180249005,0.8558474057173343,0.12272877040052547,0.10549355426418902,-0.017235216136336454,1.227481502171545,1.2246048056555874,-0.0028766965159576774,-5829.405832215681,-5635.717654317688,-7290.930543919507,-5829.405832215681,1461.5247117038261,-6838.430368802388,-5635.717654317688,1202.7127144847,1.3462435546581284,1.5269820925746034,True,True,,,Scenario A oracle (correct family)
A,oracle_A,poisson,bernoulli,poisson,bernoulli,3,6300,6350,0.2724991128952589,0.22832454433607816,-0.044174568559180755,0.8378909637912831,0.122082342226841,0.10663176696883093,-0.015450575258010066,1.1837138378695933,1.2091076942782224,0.025393856408629123,-5507.001267729569,-5315.116053884655,-7130.706569818074,-5507.001267729569,1623.705302088505,-6566.828429617005,-5315.116053884655,1251.7123757323498,1.4341366183803643,1.5845655536816343,True,True,,,Scenario A oracle (correct family)
A,oracle_A,poisson,bernoulli,poisson,bernoulli,4,6400,6450,0.2785604807005619,0.23611331814649297,-0.04244716255406891,0.8476195817607831,0.12032630293798277,0.10260082883546862,-0.017725474102514155,1.1802034160135293,1.201565729973571,0.021362313960041623,-5695.9709522868725,-5506.721804713719,-7032.970297891501,-5695.9709522868725,1336.9993456046286,-6694.480471766699,-5506.721804713719,1187.75866705298,1.4071419172529391,1.5347059078220509,True,True,,,Scenario A oracle (correct family)
A,oracle_A,poisson,bernoulli,poisson,bernoulli,5,6500,6550,0.2916715569601146,0.2379299793562603,-0.053741577603854285,0.8157462518321479,0.12551992077816826,0.10372829935466368,-0.021791621423504576,1.1998946620602373,1.2216156091178905,0.02172094705765315,-5708.429084932179,-5512.875185770313,-7634.768897217679,-5708.429084932179,1926.3398122855006,-7156.612108108689,-5512.875185770313,1643.7369223383766,1.3553052672892059,1.5051628608049414,True,True,,,Scenario A oracle (correct family)
A,oracle_A,poisson,bernoulli,poisson,bernoulli,6,6600,6650,0.2838033669798511,0.22725608481254572,-0.05654728216730537,0.80075189815729,0.12572003284525368,0.10289024911195395,-0.022829783733299733,1.2620126751014071,1.260420596134575,-0.0015920789668322222,-5827.715424726168,-5626.892735414424,-7025.26617462368,-5827.715424726168,1197.550749897512,-6678.072894164567,-5626.892735414424,1051.1801587501423,1.3746798005882144,1.5147585175339469,True,True,,,Scenario A oracle (correct family)
A,oracle_A,poisson,bernoulli,poisson,bernoulli,7,6700,6750,0.27992105848423554,0.23525969942362504,-0.0446613590606105,0.8404501636909689,0.12012700389674547,0.10244610271024347,-0.017680901186501993,1.181709493962858,1.1952978801458183,0.01358838618296021,-5957.540928963019,-5756.069333163739,-7175.37892176158,-5957.540928963019,1217.8379927985616,-6770.347952003847,-5756.069333163739,1014.2786188401078,1.3172321761613663,1.4414112469024023,True,True,,,Scenario A oracle (correct family)
A,oracle_A,poisson,bernoulli,poisson,bernoulli,8,6800,6850,0.2838542782941667,0.22676414597102817,-0.05709013232313853,0.79887520925799,0.127950009771862,0.09855756528769381,-0.02939244448416818,1.2256189166857288,1.2160848685049954,-0.009534048180733334,-5700.252838755534,-5500.473299536166,-7106.805598145921,-5700.252838755534,1406.552759390387,-6824.692637455376,-5500.473299536166,1324.2193379192095,1.386738954128933,1.5418890313239133,True,True,,,Scenario A oracle (correct family)
A,oracle_A,poisson,bernoulli,poisson,bernoulli,9,6900,6950,0.2726127776287926,0.22989696026056902,-0.04271581736822358,0.8433095552608755,0.12508488628341308,0.10507879305751927,-0.020006093225893806,1.1672484474065852,1.1776366361700812,0.010388188763496009,-5770.168239470842,-5571.072738259587,-7379.383787628511,-5770.168239470842,1609.2155481576683,-6965.40238719566,-5571.072738259587,1394.3296489360728,1.349404578394234,1.47931157259377,True,True,,,Scenario A oracle (correct family)
