scenario,condition_name,true_x,true_y,est_x,est_y,trial,seed_data,seed_model,old_rmse_z,fixed_rmse_z,diff_fixed_old_rmse_z,ratio_fixed_old_rmse_z,old_rmse_y,fixed_rmse_y,diff_fixed_old_rmse_y,old_rmse_x,fixed_rmse_x,diff_fixed_old_rmse_x,old_q_final,fixed_q_final,old_q_start,old_q_end,old_q_delta,fixed_q_start,fixed_q_end,fixed_q_delta,old_w_est,fixed_w_est,old_success,fixed_success,old_error_message,fixed_error_message,note
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,0,8000,8050,0.4519513699438263,0.4480396193007544,-0.0039117506430718,0.9913447532119262,0.4751758962467945,0.4757557252070729,0.0005798289602783,0.669108806679891,0.6689822626071421,-0.0001265440727489,40575.733348614325,40843.23599990477,3589.762854339367,40575.733348614325,36985.97049427496,8742.027121038265,40843.23599990477,32101.208878866502,4.4817274874176505,4.481867140439001,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,1,8100,8150,0.4522469641444396,0.452618348479436,0.0003713843349963,1.0008211980719406,0.478240008829749,0.4782510586825678,1.1049852818800776e-05,0.6837379539475904,0.6836977501321265,-4.020381546387952e-05,40228.29725698998,40275.74488071282,9920.56150861095,40228.29725698998,30307.73574837903,3678.987075097056,40275.74488071282,36596.75780561576,4.480687344246856,4.480964442374017,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,2,8200,8250,0.4584460528692656,0.4624053244823253,0.0039592716130597,1.0086362868395964,0.4759260242764551,0.4761603794145939,0.0002343551381387,0.6871729010812034,0.6872995552803061,0.0001266541991026,41452.11635886955,41278.41265676795,4377.83756104916,41452.11635886955,37074.27879782039,8095.476046957631,41278.41265676795,33182.93660981032,4.480382953337476,4.479714872279347,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,3,8300,8350,0.8638445914787454,0.4462389673179446,-0.4176056241608007,0.5165732027725779,0.4809265311804186,0.4782138005354974,-0.0027127306449211,0.7005357241547453,0.6892266693965517,-0.0113090547581935,32056.399349534226,40528.47643782239,12789.853593151613,32056.399349534226,19266.545756382613,3793.1334747959568,40528.47643782239,36735.34296302644,4.483160461801621,4.47361157742598,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,4,8400,8450,0.4538265204085682,0.4519804588300315,-0.0018460615785366,0.995932230719186,0.4764135686573753,0.4758003322425217,-0.0006132364148535,0.6883052294576295,0.6883556228775127,5.039341988322121e-05,41775.54379156486,41935.43449495141,8811.004821198027,41775.54379156486,32964.53897036683,7169.336005989722,41935.43449495141,34766.09848896169,4.48147163499134,4.483855389235418,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,5,8500,8550,1.1446551325032694,0.8266319108248662,-0.3180232216784032,0.7221667796282782,0.4935976170303169,0.479334774189859,-0.0142628428404579,0.6968668896131196,0.6880364750993054,-0.0088304145138141,22845.30489893928,35080.36167081055,5702.77733777207,22845.30489893928,17142.527561167208,7636.189762989869,35080.36167081055,27444.17190782068,4.476706746803639,4.478623769122383,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,6,8600,8650,1.1629753467264847,0.8086933759111344,-0.3542819708153503,0.6953658804440054,0.5003664617937208,0.4792151984259471,-0.0211512633677736,0.7265667988346545,0.6939239934696172,-0.0326428053650372,19915.87390502147,34650.22497414151,5111.644642523866,19915.87390502147,14804.229262497603,7786.923155109665,34650.22497414151,26863.301819031843,4.4790630540059775,4.481945284469791,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,7,8700,8750,0.4606106792797407,0.4505428725129956,-0.010067806766745,0.9781424807985604,0.47681586251737,0.476750678351488,-6.518416588197073e-05,0.6810698236231921,0.6810342359075916,-3.558771560052687e-05,40393.90189314005,41021.7841707682,5958.308433377757,40393.90189314005,34435.59345976229,4747.9531036613125,41021.7841707682,36273.83106710689,4.478555105017844,4.480567283944923,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,8,8800,8850,0.4556998082812761,0.453377954452139,-0.002321853829137,0.9949048610797222,0.4785599148044107,0.4783113957316925,-0.0002485190727182,0.6640598850143905,0.6640116073688436,-4.82776455469347e-05,40301.96382139344,40501.16176116159,12047.782743613729,40301.96382139344,28254.18107777971,4122.893962789885,40501.16176116159,36378.2677983717,4.484414919050573,4.482538298332734,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,9,8900,8950,0.8609375625504697,0.4503716486830482,-0.4105659138674215,0.5231176664528987,0.4882676740124666,0.4792297536956424,-0.0090379203168242,0.6875597247928267,0.6763231071322183,-0.0112366176606083,30303.46671873653,40640.47121030483,13317.58640024233,30303.46671873653,16985.880318494204,4362.113505711504,40640.47121030483,36278.35770459333,4.483595303142408,4.482210259031651,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
