fit_index,k_true,n,replicate,k_est,start,data_seed,split_seed,model_seed,heldout_mean_log_score,q_strict,s2_q_based,s3_plugin_conditional,num_params,nan_occurred,nan_count,q_bic_failed,failure_reason,runtime_s
1,1,50,1,1,1,820501,830501,980111,-0.5171289013922963,-1448.460300006342,2955.6009450941065,1483.2543575905659,15,False,0,False,,4.554
2,1,50,1,1,2,820501,830501,980112,-0.5506372771801191,-1447.2014641257917,2953.0832733330058,1479.781399701062,15,False,0,False,,4.472
3,1,50,1,2,1,820501,830501,980121,-0.5864958009454774,-1484.0701271708767,3081.58892149917,1460.1404398957213,29,False,0,False,,4.796
4,1,50,1,2,2,820501,830501,980122,-0.5700486917218233,-1489.8757157318396,3093.2000986210955,1485.052225210576,29,False,0,False,,4.817
5,1,50,1,3,1,820501,830501,980131,-0.5951018527137981,-1524.8201556867798,3213.945277601542,1480.058660219276,42,False,0,False,,4.887
6,1,50,1,3,2,820501,830501,980132,-0.610875717996268,-1527.0485437186935,3218.4020536653693,1464.264741393917,42,False,0,False,,4.941
7,1,50,1,4,1,820501,830501,980141,-0.6296203030514581,-1571.1628114052264,3353.574865103573,1477.0523722608964,54,False,0,False,,4.964
8,1,50,1,4,2,820501,830501,980142,-0.6766877128592859,-1567.4167314633032,3346.0827052197264,1456.7978435571763,54,False,0,False,,4.973
9,1,50,1,5,1,820501,830501,980151,-0.7673605007340188,-1626.7469466384234,3507.7753886296764,1472.5507877494274,65,False,0,False,,5.317
10,1,50,1,5,2,820501,830501,980152,-0.7672853473677729,-1618.6363270013676,3491.5541493555647,1491.5003814683264,65,False,0,False,,5.034
11,1,50,1,6,1,820501,830501,980161,-0.7296456191515621,-1688.5031828986744,3670.4080912044597,1469.2893155293925,75,False,0,False,,5.119
12,1,50,1,6,2,820501,830501,980162,-0.7980051482235978,-1687.5696435416594,3668.5410124904297,1488.0158447944857,75,False,0,False,,5.102
13,1,50,1,7,1,820501,830501,980171,-0.7016972436904076,-1751.2372202070683,3831.0843728701007,1519.707638957562,84,False,0,False,,5.191
14,1,50,1,7,2,820501,830501,980172,-0.7400224529124872,-1759.9834528748556,3848.5768382056754,1581.3170095775993,84,False,0,False,,5.078
15,1,50,2,1,1,820502,830502,980211,-0.5031702829590694,-1465.9505630077952,2990.5814710970126,204.40778720486063,15,False,0,False,,4.602
16,1,50,2,1,2,820502,830502,980212,-0.5105025917817807,-1466.1389185171765,2990.9581821157753,219.2793404946622,15,False,0,False,,4.557
17,1,50,2,2,1,820502,830502,980221,-0.6264391536410215,-1500.897831565619,3115.2443302886545,185.22429129136526,29,False,0,False,,5.086
18,1,50,2,2,2,820502,830502,980222,-0.6079067849655194,-1509.0353079765557,3131.519283110528,222.14896499609802,29,False,0,False,,4.853
19,1,50,2,3,1,820502,830502,980231,-0.6776031522512888,-1541.9795741302983,3248.264114488579,199.47447113552207,42,False,0,False,,5.014
20,1,50,2,3,2,820502,830502,980232,-0.5985686565176017,-1558.1478613849072,3280.6006889977966,189.86199591514966,42,False,0,False,,5.218
21,1,50,2,4,1,820502,830502,980241,-0.7161160582904532,-1592.1564008253124,3395.562043943745,214.02162787326472,54,False,0,False,,4.99
22,1,50,2,4,2,820502,830502,980242,-0.68805423022923,-1594.9909716854395,3401.231185663999,183.27976596325482,54,False,0,False,,4.95
23,1,50,2,5,1,820502,830502,980251,-0.6242440618001838,-1658.1919975034994,3570.6654903598283,203.49004311453547,65,False,0,False,,4.988
24,1,50,2,5,2,820502,830502,980252,-0.7320751163669981,-1653.02384382511,3560.3291830030494,192.0141921381026,65,False,0,False,,5.175
25,1,50,2,6,1,820502,830502,980261,-0.7770637288347313,-1703.6961550114845,3700.79403543008,211.87331699366968,75,False,0,False,,5.119
26,1,50,2,6,2,820502,830502,980262,-0.7048636798077904,-1698.9510494308224,3691.3038242687558,254.1470083302848,75,False,0,False,,5.043
27,1,50,2,7,1,820502,830502,980271,-0.6142542002839153,-1756.0612671327299,3840.732466721424,256.5519820947148,84,False,0,False,,5.217
28,1,50,2,7,2,820502,830502,980272,-0.6524330583138287,-1773.7354155482458,3876.0807635524557,240.04356930270893,84,False,0,False,,5.319
29,1,50,3,1,1,820503,830503,980311,-0.4733208731698349,-1484.0754447088611,3026.8312344991446,-3908.5738109485897,15,False,0,False,,4.713
30,1,50,3,1,2,820503,830503,980312,-0.4666565388508542,-1483.7394258405452,3026.1591967625127,-3902.713404329995,15,False,0,False,,4.51
31,1,50,3,2,1,820503,830503,980321,-0.5075754114260307,-1525.2561999234501,3163.9610670043166,-3908.132862394125,29,False,0,False,,4.83
32,1,50,3,2,2,820503,830503,980322,-0.5153786293063548,-1522.6784906590353,3158.805648475487,-3889.1294158100886,29,False,0,False,,4.801
33,1,50,3,3,1,820503,830503,980331,-0.566101979686727,-1565.6002605625242,3295.5054873530307,-3907.5962550568984,42,False,0,False,,4.967
34,1,50,3,3,2,820503,830503,980332,-0.5108455281268239,-1582.3098733288148,3328.924712885612,-3910.6177913799706,42,False,0,False,,5.008
35,1,50,3,4,1,820503,830503,980341,-0.5205779264695026,-1611.5566544932035,3434.362551279527,-3925.945657475805,54,False,0,False,,5.026
36,1,50,3,4,2,820503,830503,980342,-0.5487410509058182,-1598.0762705932727,3407.4017834796655,-3907.8585824545416,54,False,0,False,,5.401
37,1,50,3,5,1,820503,830503,980351,-0.6672818829355209,-1654.1007809087932,3562.483057170416,-3932.73464474902,65,False,0,False,,5.063
38,1,50,3,5,2,820503,830503,980352,-0.6607369234989742,-1673.2139429015697,3600.709381155969,-3909.464730400723,65,False,0,False,,5.016
39,1,50,3,6,1,820503,830503,980361,-0.6320568587876219,-1711.3517158542566,3716.105157115624,-3921.665439142748,75,False,0,False,,5.076
40,1,50,3,6,2,820503,830503,980362,-0.6298629319062584,-1701.497596828527,3696.396919064165,-3919.275285993021,75,False,0,False,,5.138
41,1,50,3,7,1,820503,830503,980371,-0.7219699159525058,-1761.604869593808,3851.81967164358,-3917.362918088747,84,False,0,False,,5.833
42,1,50,3,7,2,820503,830503,980372,-0.5670806731896397,-1777.247636709838,3883.10520587564,-3869.258019193317,84,False,0,False,,5.216
43,1,50,4,1,1,820504,830504,980411,-0.48009208171189427,-1540.820045920611,3140.320436922644,1993.348068070724,15,False,0,False,,4.48
44,1,50,4,1,2,820504,830504,980412,-0.4756204790191654,-1536.5146700630617,3131.7096852075456,1996.849053897336,15,False,0,False,,4.453
45,1,50,4,2,1,820504,830504,980421,-0.5315363451840055,-1589.9447611888436,3293.3381895351035,2003.5241995739489,29,False,0,False,,4.803
46,1,50,4,2,2,820504,830504,980422,-0.48633209351341267,-1575.20606081247,3263.8607887823564,2006.4502965741292,29,False,0,False,,4.835
47,1,50,4,3,1,820504,830504,980431,-0.5581176638724916,-1615.4825772902002,3395.2701208083827,1978.604638234526,42,False,0,False,,4.972
48,1,50,4,3,2,820504,830504,980432,-0.595680504136989,-1627.5249891316655,3419.3549444913133,1994.6406385284465,42,False,0,False,,5.033
49,1,50,4,4,1,820504,830504,980441,-0.5411751196381287,-1679.4736834455289,3570.1966091841778,2009.2005170926182,54,False,0,False,,4.984
