K_TRUE,n,replicate,data_seed,split_seed,generator_version,F_rank,f_scale,mean_f_row_norm_sq,w0_true,w_true,link_policy,normalization_policy,x_mean,x_max,y_density,n_train_pairs,n_test_pairs,train_mask_hash,test_mask_hash
1,50,1,820501,830501,canonical-clean-v1,1,2.7386127875258306,0.49999999999999994,-1.0,1.7320508075688772,canonical_no_clipping_fail_fast,none,1.24,39.0,0.3404081632653061,980,245,db72c31cf726a9362f11e847b7337c5df85b71d027d2b446777d158a4ea3a24d,a76dd8e646d526d954dc1fa52b02f1978145c5403f7f9fceb41b821b51762227
1,50,2,820502,830502,canonical-clean-v1,1,2.7386127875258306,0.5000000000000001,-1.0,1.7320508075688772,canonical_no_clipping_fail_fast,none,1.624,113.0,0.3461224489795918,980,245,55c4d91ab2d096b54cf519407b8f952000f73896bffa66e04c04a2f7cd794a14,75aaea25a7338a768a80e81e781d612aa57000567149b9cea3f0866d128b8259
1,50,3,820503,830503,canonical-clean-v1,1,2.7386127875258306,0.5000000000000001,-1.0,1.7320508075688772,canonical_no_clipping_fail_fast,none,2.232,386.0,0.31183673469387757,980,245,ec70a6939830eb24f5d5bfaa63407de5623a51a0fcb5ee01cf5d1cb8a84b3bf2,ab03df8df30d61375e2456a3bc0c5ad1dff12d63671b112cf77009d2eb308b4e
1,50,4,820504,830504,canonical-clean-v1,1,2.7386127875258306,0.5000000000000002,-1.0,1.7320508075688772,canonical_no_clipping_fail_fast,none,1.1986666666666668,19.0,0.2946938775510204,980,245,ee0a2bf414db271626c54a26a9c74f59b11019deb9986a9293dac45bdf4670fd,e297c0f54ae07b54bd64cc87f7616f0c06bbf02fd6c59d06c9d2d958b2565f81
1,75,1,820751,830751,canonical-clean-v1,1,2.7386127875258306,0.49999999999999994,-1.0,1.7320508075688772,canonical_no_clipping_fail_fast,none,1.487111111111111,44.0,0.3347747747747748,2220,555,38becbdd81764c5d03ad12319f472115f97f6bfc80eadd892df8e874ceb2f5c8,05b2c353f1a1be8c8e54abda71d89718cd2416ba3a09b9babdb431c984ae8cf6
1,75,2,820752,830752,canonical-clean-v1,1,2.7386127875258306,0.5000000000000001,-1.0,1.7320508075688772,canonical_no_clipping_fail_fast,none,1.3928888888888888,33.0,0.34846846846846846,2220,555,4a02dea33f577aea63246fcacb4ecee9d9dd47c078dafe7d0ea4f23df66dfe65,45d7ef41b65bfbcecf88021259798fd1ab50569118d6ca42a2fa0dd2cde1afc9
1,75,3,820753,830753,canonical-clean-v1,1,2.7386127875258306,0.4999999999999998,-1.0,1.7320508075688772,canonical_no_clipping_fail_fast,none,1.408,75.0,0.3153153153153153,2220,555,430ad7978daac88a4cb818d7f7ff32ebabb165f000c8f42f687598777abfa8f6,2d08adecd515d316e15089f7763dd73d810ea376f17ada94d28e8d7a0a63865b
1,75,4,820754,830754,canonical-clean-v1,1,2.7386127875258306,0.49999999999999994,-1.0,1.7320508075688772,canonical_no_clipping_fail_fast,none,1.2293333333333334,31.0,0.3124324324324324,2220,555,554c8c86ea0009bc628dbf627518bdeb796246256055d6a3631411e179590efc,ffc3e0451ac66b52def3da74262d7b8e624529390e139d73465c1800a3865e1b
1,100,1,821001,831001,canonical-clean-v1,1,2.7386127875258306,0.49999999999999994,-1.0,1.7320508075688772,canonical_no_clipping_fail_fast,none,1.3913333333333333,42.0,0.3246464646464646,3960,990,78b5eee6a90a59f5795b7e35cc5880fc24c8e8094b133e1fe73b2d4849e067c3,26b332829fddfbe2c3ac50ad8f45401f5af64374ef30919fbe1250eb043c7b42
1,100,2,821002,831002,canonical-clean-v1,1,2.7386127875258306,0.5000000000000001,-1.0,1.7320508075688772,canonical_no_clipping_fail_fast,none,1.3293333333333333,43.0,0.3101010101010101,3960,990,cda8713fb2c173b0af35a45b33da9a2bb6d5e21044b17e2a602334af06d7064f,116bdd5032735f107ab7081a820872ac9f6a12f3839e1f7f438b21186e625d68
1,100,3,821003,831003,canonical-clean-v1,1,2.7386127875258306,0.5000000000000003,-1.0,1.7320508075688772,canonical_no_clipping_fail_fast,none,1.3826666666666667,43.0,0.31535353535353533,3960,990,85b5bfe3b3e9eb4dd8b37a5cc1a655598e2e3a2b1e022b7f6f70f74738b4ae46,730ac6cf70ada10af26bd30bdf91b612c70cc5565696080d56148a5b4016710f
1,100,4,821004,831004,canonical-clean-v1,1,2.7386127875258306,0.5000000000000001,-1.0,1.7320508075688772,canonical_no_clipping_fail_fast,none,1.402,22.0,0.3337373737373737,3960,990,c99ebf9a63292fa3616f285f7bb7793b616b416f7af64f0447465d46d25aa742,35a38c4c1c5bee6dd0721228026f841f560fe5a8ae8275214da0e82a3dd3ac3f
1,150,1,821501,831501,canonical-clean-v1,1,2.7386127875258306,0.5,-1.0,1.7320508075688772,canonical_no_clipping_fail_fast,none,1.4044444444444444,77.0,0.3213422818791946,8940,2235,390805744ca7033984bdc467d245024e6b890413464aef4515d0c0b712901527,e2331aab96a15ba670e37ed3c8b27cdaa245708eb074d9482b1ebddb94f3d283
1,150,2,821502,831502,canonical-clean-v1,1,2.7386127875258306,0.5000000000000002,-1.0,1.7320508075688772,canonical_no_clipping_fail_fast,none,1.3471111111111111,48.0,0.3157046979865772,8940,2235,92673926ed73fd3bd7355fd51d3573aa97fc58307e2b61496d389bf6e029b216,753dd6c8fb262ab1d46b8374da86be4d2403bfc2af61dc6b6b56e650bf38e04f
1,150,3,821503,831503,canonical-clean-v1,1,2.7386127875258306,0.5000000000000001,-1.0,1.7320508075688772,canonical_no_clipping_fail_fast,none,1.2715555555555556,23.0,0.31731543624161074,8940,2235,dfd409d8536014c05dd79c73bbc87552fe892d500c91f42ecb961dfdafc4e08c,bcb53dc1ee2b75c9c31f0599a8c1da13ec820faf1d8b087acd02ad76e0e83f21
1,150,4,821504,831504,canonical-clean-v1,1,2.7386127875258306,0.4999999999999999,-1.0,1.7320508075688772,canonical_no_clipping_fail_fast,none,1.3493333333333333,39.0,0.3157046979865772,8940,2235,87d7fa4bc7cce011e94c246c167d8c2451aef0959a59725909ba19332d85162b,f95273b9100fee33d7794e2f553f5426f59a6e06e5d4135e3cbfb73782a3b242
3,50,1,840501,850501,canonical-clean-v1,3,1.5811388300841898,0.5,-1.0,1.0,canonical_no_clipping_fail_fast,none,1.204,15.0,0.31673469387755104,980,245,08c9be22ddd482670de4b06f614153d13b27a6dafeec79e87bff1888a0480ff1,5d5b34d0140242d69bec03df1ec39efc963e10471f0779d4cfcceea0f1586396
3,50,2,840502,850502,canonical-clean-v1,3,1.5811388300841898,0.49999999999999994,-1.0,1.0,canonical_no_clipping_fail_fast,none,1.2866666666666666,21.0,0.32979591836734695,980,245,d2c9d5d71657d9365b02d22d59d719896a1a448073658d1b179676de0fb935bb,a21ea7de1b92d214fef8ef39d6fba73ebc38ff31d162db7d6464f6c0a11ffe34
3,50,3,840503,850503,canonical-clean-v1,3,1.5811388300841898,0.5000000000000001,-1.0,1.0,canonical_no_clipping_fail_fast,none,1.3746666666666667,21.0,0.3240816326530612,980,245,03b979a5cb638cd78f088143b0a00065486ee765ea8c729e915cbd30a0ba341f,9624e12c7eaf13c0cceb89e3d04ca15a5cf395980d0e21a5ea1c5901fa582229
3,50,4,840504,850504,canonical-clean-v1,3,1.5811388300841898,0.5,-1.0,1.0,canonical_no_clipping_fail_fast,none,1.3066666666666666,22.0,0.3306122448979592,980,245,c5bb1fd4402d9604d780b66fd2d59545dc000eaa61e00da8849c2ecd28f7b42b,a49349b743d8b953adafdbcb23f8f4ec88507a91f4629e79eb69dbc8c7b3bda6
3,75,1,840751,850751,canonical-clean-v1,3,1.5811388300841898,0.5000000000000002,-1.0,1.0,canonical_no_clipping_fail_fast,none,1.2435555555555555,18.0,0.31567567567567567,2220,555,1ba7c5e74bfc236a93b4250fba676bcf9c7e971fae3000fa35dc73fe855eff1b,c46263c8afd321047458d045cb3d927bb09e579f83230b81ac29fe15d5e1f8d9
3,75,2,840752,850752,canonical-clean-v1,3,1.5811388300841898,0.49999999999999994,-1.0,1.0,canonical_no_clipping_fail_fast,none,1.2533333333333334,25.0,0.3333333333333333,2220,555,6e4681f6dbb8bee8c94f1488cd4897bae4d0b078f5cf0f75944179079b81ebbf,d3948d34b97e195ec40e97902735efe9d277c0dd55d5a67528d886d4c960f43d
