K_TRUE,n,replicate,status,unthresholded_rank,min_eigenvalue,eigenvalues,gap_ratios
1,50,1,ok,15,-2.0656768528007317,"[9.268793052955516, 1.115846137932132, 0.5312758564075907, 0.34966164711247394, 0.2595622477206558, 0.07230940886885773, -0.15650818509203274, -0.2805826625755284, -0.4379118319369475, -0.5676953387532204, -0.6638448802569731, -0.8093474305497282, -0.8456404907645821, -1.1490454807904984, -2.0656768528007317]","[8.306515332062082, 2.1003140354943284, 1.5193998563894477, 1.347120585458885, 3.589605443897416, -0.4620167873414228, 0.5577970629240259, 0.6407286629695996, 0.7713852872188363, 0.8551626375930875, 0.8202223855904178, 0.9570821636248287, 0.7359504083187504, 0.5562561633164327]"
1,50,2,ok,15,-1.5341181288064778,"[12.01514560180902, 1.041474195001003, 0.8230592194165405, 0.5861959819187582, 0.4224526274838607, 0.21622415584905996, 0.18963438318288842, 0.023560428713188367, -0.12569663792979707, -0.24559047553921085, -0.3974224606209223, -0.41567379072949406, -0.4822583416302101, -0.7680075730113265, -1.5341181288064778]","[11.536671440810352, 1.2653696968965307, 1.40406834028864, 1.387601694917031, 1.953771658050838, 1.1402159894206931, 8.04885112624191, -0.1874388138077895, 0.5118139767180361, 0.6179582179515138, 0.9560921796956664, 0.8619317798098923, 0.6279343571304834, 0.5006182761224688]"
1,50,3,ok,15,-2.342230161398316,"[14.107876406813386, 1.4911225379835478, 1.1747586617196433, 0.5051264737325958, 0.3316239469780116, 0.22915555951408, 0.17346816481489, 0.039154065478285885, -0.10444468400460595, -0.16184517189085418, -0.2587669640996445, -0.2843083441877491, -0.35690666800104204, -0.7520370781077651, -2.342230161398316]","[9.461245502929314, 1.2693011650587045, 2.3256723272467754, 1.523190584804445, 1.4471564542497415, 1.3210237149774122, 4.430399824281139, -0.37487849047979516, 0.6453370390007173, 0.6254475815874694, 0.9101631006959199, 0.7965901723834395, 0.47458653089163, 0.32107736058645814]"
1,50,4,ok,15,-1.1813681467153965,"[5.69976498178834, 1.0487158471019917, 0.5806680228507746, 0.39090882727511256, 0.3410344684732659, 0.2014934913556245, 0.08071269720073627, -0.04716200160941805, -0.15691565102002294, -0.23817786994615733, -0.3521868129401423, -0.5497025601307673, -0.8648609940771488, -0.9361919203196025, -1.1813681467153965]","[5.434994615118098, 1.8060506276087815, 1.4854308276904524, 1.146244334260765, 1.6925334221905934, 2.4964286703800855, -1.7113925288662535, 0.30055639002765905, 0.6588170893269615, 0.6762827601572864, 0.6406861428048679, 0.6355964298254985, 0.9238073682390867, 0.7924641636246357]"
1,75,1,ok,15,-1.3097900916808558,"[9.872781890476588, 0.9086389592651598, 0.7006071474131912, 0.46325428710217836, 0.4224208240179791, 0.32694003624285256, 0.2621006531522776, 0.05308158805184043, 0.0182707769098675, -0.1403401002793387, -0.191046741326227, -0.29883894511508363, -0.3894281659441486, -0.6024185676617073, -1.3097900916808558]","[10.86546178744192, 1.2969307587284424, 1.5123597706903913, 1.0966653648742972, 1.2920437303194123, 1.2473835235080624, 4.937694269740111, 2.9052726281810517, -0.13018928213319356, 0.7345851559943499, 0.6392966661445496, 0.7673788679115285, 0.646441173710361, 0.4599351999133102]"
1,75,2,ok,15,-1.0876022399524419,"[7.328934518784131, 1.0571119401069837, 0.8192899452766049, 0.6031376409811203, 0.5434430755396669, 0.3154342085498401, 0.28328053078081966, 0.2121855153722946, -0.009935872297453482, -0.09374022135345188, -0.18123887709462477, -0.2617112689629219, -0.4977919009654556, -0.9251292584659923, -1.0876022399524419]","[6.932978656964574, 1.290278180760642, 1.3583797289518706, 1.109845111895434, 1.7228412797650012, 1.113504721557792, 1.335060643907685, -21.355499448868397, 0.1059936935714053, 0.5172191687355806, 0.692514608991873, 0.5257443290164807, 0.5380782160007259, 0.8506136016292554]"
1,75,3,ok,15,-0.7982994397834806,"[6.788234730153501, 1.2411187683500249, 0.6172136358501927, 0.4758464391893886, 0.3610922385790715, 0.341341523088636, 0.13019218087653878, 0.08742664115117019, 0.020858819182699766, -0.07471161601310174, -0.1593838044206435, -0.2853508491430633, -0.3580803943986013, -0.6142768816579135, -0.7982994397834806]","[5.469448132814843, 2.010841459522232, 1.2970857508183211, 1.317797472086037, 1.0578620359800377, 2.6218281373773906, 1.4891591300118956, 4.191351408026086, -0.27919111238394145, 0.46875287162755813, 0.5585538115596599, 0.7968904570224019, 0.5829299540496361, 0.7694817897210616]"
1,75,4,ok,15,-0.6740742263628293,"[5.753416671378993, 0.6349545888456853, 0.484707173690466, 0.3388049025230664, 0.22235796708067324, 0.08384780080991233, 0.01647019246730909, -0.026581998714953755, -0.14391085447735702, -0.23339949342438931, -0.3533570759828788, -0.4462281715258005, -0.49407967431709987, -0.5456721603769434, -0.6740742263628293]","[9.061146690566341, 1.3099756374787375, 1.4306380163948966, 1.5236913116773787, 2.651923663266628, 5.090881662514746, -0.6195994757175182, 0.18471156197002622, 0.6165859761130009, 0.6605202195970691, 0.7918753196926922, 0.9031502300566441, 0.9054514966931717, 0.8095134616276342]"
1,100,1,ok,15,-1.1560905950026155,"[8.077109715763214, 0.7248409443650005, 0.4881466306278935, 0.4823253403086034, 0.34408381356532236, 0.2534994418578048, 0.1173442768270604, 0.0347511064786773, 0.01621131932710728, -0.08488665749226092, -0.13835264677571374, -0.24807761078252422, -0.44086183220081837, -0.568604781230531, -1.1560905950026155]","[11.143285680197323, 1.484883637182237, 1.012069219327281, 1.4017670151666017, 1.3573355863967895, 2.1603051185138504, 3.376706203558177, 2.1436322224909397, -0.19097605920677535, 0.6135528265669712, 0.5576990456305215, 0.5627105652219891, 0.7753396502342785, 0.49183410338983397]"
1,100,2,ok,15,-0.717237237677448,"[7.002404881844136, 0.6482067715602511, 0.4930460854708084, 0.46453426566962663, 0.38989679461751736, 0.12967359894744981, 0.10471910323855418, 0.00972366435539873, -0.010571107406632562, -0.11291417653435641, -0.27837958171602173, -0.3896075018811487, -0.39511901621893897, -0.5313810738161086, -0.717237237677448]","[10.80273330836881, 1.3146981401166185, 1.0613772156507808, 1.1914287885473063, 3.0067554057439474, 1.2382993640811488, 10.76951028039265, -0.9198340326480717, 0.09362072798198276, 0.4056122788830881, 0.7145128889251792, 0.9860510020739263, 0.7435699833669182, 0.7408721213873706]"
1,100,3,ok,15,-0.6862750439462373,"[6.069228601727225, 1.0106263416544023, 0.6130273325159997, 0.5498834145044038, 0.3618702926933448, 0.33837677168446373, 0.2166645915698782, 0.11956332440341134, 0.0801341565000248, -0.03463443140793255, -0.043598216411061375, -0.22427290927981558, -0.31157737549586667, -0.4102548487684176, -0.6862750439462373]","[6.005413031083136, 1.6485828413336292, 1.1148314648997115, 1.5195594266987387, 1.069430064279911, 1.561753903730648, 1.8121325469242002, 1.4920394701275024, -2.3137136439800523, 0.7944001901679948, 0.1943980507991974, 0.7197984414718543, 0.7594727434208759, 0.5977994572108569]"
1,100,4,ok,15,-0.8444241781291599,"[7.4096216194342155, 1.0411545908028739, 0.6660838981246868, 0.5714872692138279, 0.4202944074750054, 0.36555216752101327, 0.28459116253944844, 0.21813010244917572, 0.19882774852239757, -0.06159133732905699, -0.08648720900468272, -0.27310499900652085, -0.3700587232259511, -0.5026142328183967, -0.8444241781291599]","[7.1167352906933585, 1.563098272956564, 1.1655270974644663, 1.3597308435464104, 1.1497521963150317, 1.2844817957772756, 1.304685411798026, 1.0970807851028086, -3.228177161670371, 0.7121438885341094, 0.3166811640918286, 0.7380044891949971, 0.7362678950630906, 0.5952153501004074]"
1,150,1,ok,15,-0.6996497305092562,"[8.517335744200857, 0.4968380104989288, 0.4261414852332018, 0.3400348966386395, 0.22610742666546885, 0.21216773256259974, 0.11708132424801578, -0.003294248682201244, -0.06285817289532547, -0.08875280643106592, -0.13869283578934097, -0.28064527852761195, -0.4582839048928851, -0.6391108837852353, -0.6996497305092562]","[17.143083991596534, 1.1658991854009215, 1.253228681661074, 1.503864342951145, 1.0657012917775148, 1.8121398431842168, -35.54113108721989, 0.05240764295976259, 0.708238707292566, 0.6399235110158941, 0.4941926567123606, 0.6123830130870672, 0.7170647793988834, 0.9134726362576366]"
1,150,2,ok,15,-0.5210522707918924,"[7.8087725491735664, 0.5255451454268822, 0.43816752761891603, 0.3034539094428602, 0.3008117606835963, 0.13005353306730943, 0.08627555178575891, 0.04900851639087708, -0.08876598234170277, -0.16780067231490253, -0.19453100627181213, -0.2133447039982241, -0.26950081117287517, -0.39410519704292024, -0.5210522707918924]","[14.858423899683764, 1.1994160048390452, 1.4439343636184794, 1.008783395812915, 2.312984150364532, 1.5074204728387115, 1.7604195788677062, -0.5521092100599961, 0.5289965833695851, 0.8625908821981821, 0.9118154921409787, 0.7916291719855756, 0.6838296302485071, 0.7563640331975932]"
1,150,3,ok,15,-0.5362018237244066,"[4.970944454424439, 0.7873013859091709, 0.4430508756119094, 0.37620431466420406, 0.3072047227365687, 0.29343878515972244, 0.14151864084464125, 0.12175586500621133, 0.06470607476007571, -0.03289510762794574, -0.1038637048893635, -0.17401300315799417, -0.24309856828834725, -0.4490695157215412, -0.5362018237244066]","[6.313902837455344, 1.7769999547383986, 1.1776868535050478, 1.224604593682641, 1.0469124678571486, 2.073499175856689, 1.1623147750412002, 1.8816759548105968, -1.9670425004204959, 0.3167141752066892, 0.5968732393812031, 0.7158125380302183, 0.5413383892196497, 0.8375009107621963]"
1,150,4,ok,15,-0.6384284365326562,"[7.11364165059798, 0.6502329316634672, 0.5876453208696706, 0.33635366909491826, 0.287696055815623, 0.25420591190321773, 0.1910351883089625, 0.1415621442146707, 0.03068599496865911, -0.018468169999016213, -0.06733329804989827, -0.2563347264235842, -0.307141498997366, -0.4589452459335452, -0.6384284365326562]","[10.940143607306092, 1.1065057587817966, 1.7471054276022728, 1.1691285378986171, 1.1317441583544123, 1.3306758516765447, 1.349479335515495, 4.613249280632877, -1.661561214256406, 0.2742798961864325, 0.26267723842704144, 0.8345818694652607, 0.6692334253786775, 0.7188671739405983]"
3,50,1,ok,15,-1.3623895243925552,"[2.592466850444336, 2.124032147494153, 1.5420209463199577, 0.8873218704540965, 0.5935270057981346, 0.4325504833079837, 0.36236259061017584, 0.1217662407716366, -0.11520345166494449, -0.17266337297977938, -0.32256210839535665, -0.5567771156857717, -0.6486694742486734, -0.6832521005339861, -1.3623895243925552]","[1.2205403075009118, 1.3774340436575576, 1.7378371903882093, 1.494998309741419, 1.372156612238791, 1.1936951951348502, 2.975887145023714, -1.056966948575284, 0.6672141849009052, 0.5352872159681881, 0.5793379420741154, 0.8583371621281597, 0.9493852616650792, 0.5015100955349945]"
