fit_index,K_TRUE,n,replicate,K,start,data_seed,split_seed,model_seed
1,1,50,1,1,1,820501,830501,980111
2,1,50,1,1,2,820501,830501,980112
3,1,50,1,2,1,820501,830501,980121
4,1,50,1,2,2,820501,830501,980122
5,1,50,1,3,1,820501,830501,980131
6,1,50,1,3,2,820501,830501,980132
7,1,50,1,4,1,820501,830501,980141
8,1,50,1,4,2,820501,830501,980142
9,1,50,1,5,1,820501,830501,980151
10,1,50,1,5,2,820501,830501,980152
11,1,50,1,6,1,820501,830501,980161
12,1,50,1,6,2,820501,830501,980162
13,1,50,1,7,1,820501,830501,980171
14,1,50,1,7,2,820501,830501,980172
15,1,50,2,1,1,820502,830502,980211
16,1,50,2,1,2,820502,830502,980212
17,1,50,2,2,1,820502,830502,980221
18,1,50,2,2,2,820502,830502,980222
19,1,50,2,3,1,820502,830502,980231
20,1,50,2,3,2,820502,830502,980232
21,1,50,2,4,1,820502,830502,980241
22,1,50,2,4,2,820502,830502,980242
23,1,50,2,5,1,820502,830502,980251
24,1,50,2,5,2,820502,830502,980252
25,1,50,2,6,1,820502,830502,980261
26,1,50,2,6,2,820502,830502,980262
27,1,50,2,7,1,820502,830502,980271
28,1,50,2,7,2,820502,830502,980272
29,1,50,3,1,1,820503,830503,980311
30,1,50,3,1,2,820503,830503,980312
31,1,50,3,2,1,820503,830503,980321
32,1,50,3,2,2,820503,830503,980322
33,1,50,3,3,1,820503,830503,980331
34,1,50,3,3,2,820503,830503,980332
35,1,50,3,4,1,820503,830503,980341
36,1,50,3,4,2,820503,830503,980342
37,1,50,3,5,1,820503,830503,980351
38,1,50,3,5,2,820503,830503,980352
39,1,50,3,6,1,820503,830503,980361
40,1,50,3,6,2,820503,830503,980362
41,1,50,3,7,1,820503,830503,980371
42,1,50,3,7,2,820503,830503,980372
43,1,50,4,1,1,820504,830504,980411
44,1,50,4,1,2,820504,830504,980412
45,1,50,4,2,1,820504,830504,980421
46,1,50,4,2,2,820504,830504,980422
47,1,50,4,3,1,820504,830504,980431
48,1,50,4,3,2,820504,830504,980432
49,1,50,4,4,1,820504,830504,980441
50,1,50,4,4,2,820504,830504,980442
51,1,50,4,5,1,820504,830504,980451
52,1,50,4,5,2,820504,830504,980452
53,1,50,4,6,1,820504,830504,980461
54,1,50,4,6,2,820504,830504,980462
55,1,50,4,7,1,820504,830504,980471
56,1,50,4,7,2,820504,830504,980472
57,1,75,1,1,1,820751,830751,1005111
58,1,75,1,1,2,820751,830751,1005112
59,1,75,1,2,1,820751,830751,1005121
60,1,75,1,2,2,820751,830751,1005122
61,1,75,1,3,1,820751,830751,1005131
62,1,75,1,3,2,820751,830751,1005132
63,1,75,1,4,1,820751,830751,1005141
64,1,75,1,4,2,820751,830751,1005142
65,1,75,1,5,1,820751,830751,1005151
66,1,75,1,5,2,820751,830751,1005152
67,1,75,1,6,1,820751,830751,1005161
68,1,75,1,6,2,820751,830751,1005162
69,1,75,1,7,1,820751,830751,1005171
70,1,75,1,7,2,820751,830751,1005172
71,1,75,2,1,1,820752,830752,1005211
72,1,75,2,1,2,820752,830752,1005212
73,1,75,2,2,1,820752,830752,1005221
74,1,75,2,2,2,820752,830752,1005222
75,1,75,2,3,1,820752,830752,1005231
76,1,75,2,3,2,820752,830752,1005232
77,1,75,2,4,1,820752,830752,1005241
78,1,75,2,4,2,820752,830752,1005242
79,1,75,2,5,1,820752,830752,1005251
80,1,75,2,5,2,820752,830752,1005252
81,1,75,2,6,1,820752,830752,1005261
82,1,75,2,6,2,820752,830752,1005262
83,1,75,2,7,1,820752,830752,1005271
84,1,75,2,7,2,820752,830752,1005272
85,1,75,3,1,1,820753,830753,1005311
86,1,75,3,1,2,820753,830753,1005312
87,1,75,3,2,1,820753,830753,1005321
88,1,75,3,2,2,820753,830753,1005322
89,1,75,3,3,1,820753,830753,1005331
90,1,75,3,3,2,820753,830753,1005332
91,1,75,3,4,1,820753,830753,1005341
92,1,75,3,4,2,820753,830753,1005342
93,1,75,3,5,1,820753,830753,1005351
94,1,75,3,5,2,820753,830753,1005352
95,1,75,3,6,1,820753,830753,1005361
96,1,75,3,6,2,820753,830753,1005362
97,1,75,3,7,1,820753,830753,1005371
98,1,75,3,7,2,820753,830753,1005372
99,1,75,4,1,1,820754,830754,1005411
100,1,75,4,1,2,820754,830754,1005412
101,1,75,4,2,1,820754,830754,1005421
102,1,75,4,2,2,820754,830754,1005422
103,1,75,4,3,1,820754,830754,1005431
104,1,75,4,3,2,820754,830754,1005432
105,1,75,4,4,1,820754,830754,1005441
