criterion,K_TRUE,n,replicate,selected_k,tie_candidates,signed_error,abs_error,label,best_mean,mean_scores
S1,1,50,1,1,[1],0,0,exact,-0.5338830892862076,"{""1"": -0.5338830892862076, ""2"": -0.5782722463336503, ""3"": -0.6029887853550331, ""4"": -0.6531540079553719, ""5"": -0.7673229240508959, ""6"": -0.7638253836875799, ""7"": -0.7208598483014474}"
S2,1,50,1,1,[1],0,0,exact,-2954.342109213556,"{""1"": -2954.342109213556, ""2"": -3087.3945100601327, ""3"": -3216.1736656334556, ""4"": -3349.8287851616496, ""5"": -3499.6647689926203, ""6"": -3669.4745518474447, ""7"": -3839.830605537888}"
S3,1,50,1,4,[4],3,3,over,-1466.9251079090363,"{""1"": -1481.5178786458139, ""2"": -1472.5963325531486, ""3"": -1472.1617008065964, ""4"": -1466.9251079090363, ""5"": -1482.025584608877, ""6"": -1478.652580161939, ""7"": -1550.5123242675807}"
S1,1,50,2,1,[1],0,0,exact,-0.506836437370425,"{""1"": -0.506836437370425, ""2"": -0.6171729693032705, ""3"": -0.6380859043844452, ""4"": -0.7020851442598416, ""5"": -0.678159589083591, ""6"": -0.7409637043212609, ""7"": -0.633343629298872}"
S2,1,50,2,1,[1],0,0,exact,-2990.769826606394,"{""1"": -2990.769826606394, ""2"": -3123.381806699591, ""3"": -3264.4324017431877, ""4"": -3398.3966148038717, ""5"": -3565.497336681439, ""6"": -3696.0489298494176, ""7"": -3858.4066151369398}"
S3,1,50,2,3,[3],2,2,over,-194.66823352533586,"{""1"": -211.8435638497614, ""2"": -203.68662814373164, ""3"": -194.66823352533586, ""4"": -198.65069691825977, ""5"": -197.75211762631903, ""6"": -233.01016266197723, ""7"": -248.29777569871186}"
S1,1,50,3,1,[1],0,0,exact,-0.46998870601034454,"{""1"": -0.46998870601034454, ""2"": -0.5114770203661927, ""3"": -0.5384737539067754, ""4"": -0.5346594886876603, ""5"": -0.6640094032172476, ""6"": -0.6309598953469402, ""7"": -0.6445252945710728}"
S2,1,50,3,1,[1],0,0,exact,-3026.4952156308286,"{""1"": -3026.4952156308286, ""2"": -3161.383357739902, ""3"": -3312.2151001193215, ""4"": -3420.8821673795965, ""5"": -3581.5962191631925, ""6"": -3706.251038089895, ""7"": -3867.46243875961}"
S3,1,50,3,5,[5],4,4,over,3921.0996875748715,"{""1"": 3905.643607639292, ""2"": 3898.6311391021068, ""3"": 3909.1070232184347, ""4"": 3916.9021199651734, ""5"": 3921.0996875748715, ""6"": 3920.4703625678844, ""7"": 3893.310468641032}"
S1,1,50,4,1,[1],0,0,exact,-0.47785628036552985,"{""1"": -0.47785628036552985, ""2"": -0.5089342193487091, ""3"": -0.5768990840047403, ""4"": -0.579880013777093, ""5"": -0.5941877137736127, ""6"": -0.5928692482600821, ""7"": -0.6043642790074543}"
