section,key,K,mean_across_replicates,std_across_replicates,min_across_replicates,max_across_replicates,value
k_wise,,1,-0.5930078890152662,0.0037187123054746377,-0.5968734653278507,-0.5894559001179978,
k_wise,,2,-0.520228337275651,0.013682418291449793,-0.5359130170361646,-0.5107423167969198,
k_wise,,3,-0.47183441235519097,0.012798666716685175,-0.48549316259490705,-0.4601178318844625,
k_wise,,4,-0.48373011586328163,0.005026545393036721,-0.48856019445744736,-0.47852779936992007,
k_wise,,5,-0.5131844263331896,0.03459578693919618,-0.5511118570650695,-0.4833578857131504,
k_wise,,6,-0.5425518978238987,0.009505167798866287,-0.5511231370946699,-0.5323292243815313,
k_wise,,7,-0.5713180007247814,0.009834027454458095,-0.5773369349296404,-0.5599696236664153,
pilot,n_replicates,,,,,,3
pilot,true_k,,,,,,3
pilot,selected_k_counts,,,,,,3:2|5:1
pilot,true_k_selected_count,,,,,,2
pilot,descriptive_recovery_rate,,,,,,0.6666666666666666
