replicate,K,start,data_seed,split_seed,model_seed,heldout_mean_log_score,Q_strict,retry,warnings,warning_count,q_failure,nan_occurred,finite_state,fit_status,x_hash,training_y_hash,train_mask_hash,test_mask_hash,fit_provenance_hash,target_topology_hash,score_target_hash,preprocessing_hash,score_config_hash,fit_config_hash
1,1,1,41001,42001,44011,-0.5988168836457601,-3219.536824403117,0,,0,False,False,True,clean,7b70d89f1ee1f99cbbef3d882fe03b234937f2e87b6c566fb1df21d350f6a43c,9d1ee824349ca4631da6f58b8f53b0fd2da9049f4261b844207fa0a627e2dd98,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,ba24bc13536db54d1f69f6e462146e4e16a1d15d46bf4d5692b09c8356acc3ea,a826f7ab064bb4c2c142de42c3b82df047b7eec682b5a711dcd9408fde874645,150e6c43d371fc87ef05294f3c7bfea88acc822ef7ab701a91bb6f0bb5b7d68b,8c050737bf3c32619cc617a01e350826b4f343c196c484ae53f2f6bd2054b48b,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,0cee10b52909f3974f2e980ca8e082aaf429c0ee9788093fc8a4f8947d9df91f
1,1,2,41001,42001,44012,-0.5949300470099413,-3224.1318157550504,0,,0,False,False,True,clean,7b70d89f1ee1f99cbbef3d882fe03b234937f2e87b6c566fb1df21d350f6a43c,9d1ee824349ca4631da6f58b8f53b0fd2da9049f4261b844207fa0a627e2dd98,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,ba24bc13536db54d1f69f6e462146e4e16a1d15d46bf4d5692b09c8356acc3ea,a826f7ab064bb4c2c142de42c3b82df047b7eec682b5a711dcd9408fde874645,150e6c43d371fc87ef05294f3c7bfea88acc822ef7ab701a91bb6f0bb5b7d68b,8c050737bf3c32619cc617a01e350826b4f343c196c484ae53f2f6bd2054b48b,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,8085b4611c88e3d8615d817efc01abaf9ce26dc1380f3c9cb863fbb1c7c2e20c
1,2,1,41001,42001,44021,-0.513855417139892,-2759.4465971194504,0,,0,False,False,True,clean,7b70d89f1ee1f99cbbef3d882fe03b234937f2e87b6c566fb1df21d350f6a43c,9d1ee824349ca4631da6f58b8f53b0fd2da9049f4261b844207fa0a627e2dd98,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,ba24bc13536db54d1f69f6e462146e4e16a1d15d46bf4d5692b09c8356acc3ea,a826f7ab064bb4c2c142de42c3b82df047b7eec682b5a711dcd9408fde874645,150e6c43d371fc87ef05294f3c7bfea88acc822ef7ab701a91bb6f0bb5b7d68b,8c050737bf3c32619cc617a01e350826b4f343c196c484ae53f2f6bd2054b48b,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,598dc62b82e60bef69077d39a77303d0152b5ea9d86ebfae3ffc59f9ea38a153
1,2,2,41001,42001,44022,-0.5076292164539475,-2752.3014442695185,0,,0,False,False,True,clean,7b70d89f1ee1f99cbbef3d882fe03b234937f2e87b6c566fb1df21d350f6a43c,9d1ee824349ca4631da6f58b8f53b0fd2da9049f4261b844207fa0a627e2dd98,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,ba24bc13536db54d1f69f6e462146e4e16a1d15d46bf4d5692b09c8356acc3ea,a826f7ab064bb4c2c142de42c3b82df047b7eec682b5a711dcd9408fde874645,150e6c43d371fc87ef05294f3c7bfea88acc822ef7ab701a91bb6f0bb5b7d68b,8c050737bf3c32619cc617a01e350826b4f343c196c484ae53f2f6bd2054b48b,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,318831bb87e5645d2e2746e852167ffb75d6985f98c24eca106b77596a264871
1,3,1,41001,42001,44031,-0.46309372543087296,-2636.788062784738,0,,0,False,False,True,clean,7b70d89f1ee1f99cbbef3d882fe03b234937f2e87b6c566fb1df21d350f6a43c,9d1ee824349ca4631da6f58b8f53b0fd2da9049f4261b844207fa0a627e2dd98,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,ba24bc13536db54d1f69f6e462146e4e16a1d15d46bf4d5692b09c8356acc3ea,a826f7ab064bb4c2c142de42c3b82df047b7eec682b5a711dcd9408fde874645,150e6c43d371fc87ef05294f3c7bfea88acc822ef7ab701a91bb6f0bb5b7d68b,8c050737bf3c32619cc617a01e350826b4f343c196c484ae53f2f6bd2054b48b,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,cf368a2870705b4c9c13db2f163f990f1c7e8e808bceab724e743c7dd6a5782c
1,3,2,41001,42001,44032,-0.457141938338052,-2655.5753985252277,0,,0,False,False,True,clean,7b70d89f1ee1f99cbbef3d882fe03b234937f2e87b6c566fb1df21d350f6a43c,9d1ee824349ca4631da6f58b8f53b0fd2da9049f4261b844207fa0a627e2dd98,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,ba24bc13536db54d1f69f6e462146e4e16a1d15d46bf4d5692b09c8356acc3ea,a826f7ab064bb4c2c142de42c3b82df047b7eec682b5a711dcd9408fde874645,150e6c43d371fc87ef05294f3c7bfea88acc822ef7ab701a91bb6f0bb5b7d68b,8c050737bf3c32619cc617a01e350826b4f343c196c484ae53f2f6bd2054b48b,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,efeafa593b341c00e5a72be5ebec57eafeff2ed6f46cd383aac909424fdf79d0
1,4,1,41001,42001,44041,-0.486473437425697,-2699.5303334190094,0,,0,False,False,True,clean,7b70d89f1ee1f99cbbef3d882fe03b234937f2e87b6c566fb1df21d350f6a43c,9d1ee824349ca4631da6f58b8f53b0fd2da9049f4261b844207fa0a627e2dd98,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,ba24bc13536db54d1f69f6e462146e4e16a1d15d46bf4d5692b09c8356acc3ea,a826f7ab064bb4c2c142de42c3b82df047b7eec682b5a711dcd9408fde874645,150e6c43d371fc87ef05294f3c7bfea88acc822ef7ab701a91bb6f0bb5b7d68b,8c050737bf3c32619cc617a01e350826b4f343c196c484ae53f2f6bd2054b48b,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,8c1691a9d8eb08d8534213f04fff414cc7a4505814036bcbf68dad09744d0d95
1,4,2,41001,42001,44042,-0.4906469514891977,-2691.4872945859042,0,,0,False,False,True,clean,7b70d89f1ee1f99cbbef3d882fe03b234937f2e87b6c566fb1df21d350f6a43c,9d1ee824349ca4631da6f58b8f53b0fd2da9049f4261b844207fa0a627e2dd98,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,ba24bc13536db54d1f69f6e462146e4e16a1d15d46bf4d5692b09c8356acc3ea,a826f7ab064bb4c2c142de42c3b82df047b7eec682b5a711dcd9408fde874645,150e6c43d371fc87ef05294f3c7bfea88acc822ef7ab701a91bb6f0bb5b7d68b,8c050737bf3c32619cc617a01e350826b4f343c196c484ae53f2f6bd2054b48b,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,ee6db86951d828c10d595af8185f76402efba1032f689b651a741095bb342a44
1,5,1,41001,42001,44051,-0.5289574317085848,-2765.575467956588,0,,0,False,False,True,clean,7b70d89f1ee1f99cbbef3d882fe03b234937f2e87b6c566fb1df21d350f6a43c,9d1ee824349ca4631da6f58b8f53b0fd2da9049f4261b844207fa0a627e2dd98,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,ba24bc13536db54d1f69f6e462146e4e16a1d15d46bf4d5692b09c8356acc3ea,a826f7ab064bb4c2c142de42c3b82df047b7eec682b5a711dcd9408fde874645,150e6c43d371fc87ef05294f3c7bfea88acc822ef7ab701a91bb6f0bb5b7d68b,8c050737bf3c32619cc617a01e350826b4f343c196c484ae53f2f6bd2054b48b,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,eb0151b7a227cb36a2d422c71c0185985e21df5b76acd989556d349a08e148e5
1,5,2,41001,42001,44052,-0.5732662824215543,-2776.3372377258092,0,,0,False,False,True,clean,7b70d89f1ee1f99cbbef3d882fe03b234937f2e87b6c566fb1df21d350f6a43c,9d1ee824349ca4631da6f58b8f53b0fd2da9049f4261b844207fa0a627e2dd98,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,ba24bc13536db54d1f69f6e462146e4e16a1d15d46bf4d5692b09c8356acc3ea,a826f7ab064bb4c2c142de42c3b82df047b7eec682b5a711dcd9408fde874645,150e6c43d371fc87ef05294f3c7bfea88acc822ef7ab701a91bb6f0bb5b7d68b,8c050737bf3c32619cc617a01e350826b4f343c196c484ae53f2f6bd2054b48b,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,dfe758300681aa443c3f4c39a8bf9cfd37acffe87c7906d299bf81f7dcf37632
