fit_index,replicate,K,start,data_seed,split_seed,model_seed
1,1,1,1,41001,42001,44011
2,1,1,2,41001,42001,44012
3,1,2,1,41001,42001,44021
4,1,2,2,41001,42001,44022
5,1,3,1,41001,42001,44031
6,1,3,2,41001,42001,44032
7,1,4,1,41001,42001,44041
8,1,4,2,41001,42001,44042
9,1,5,1,41001,42001,44051
10,1,5,2,41001,42001,44052
11,1,6,1,41001,42001,44061
12,1,6,2,41001,42001,44062
13,1,7,1,41001,42001,44071
14,1,7,2,41001,42001,44072
15,2,1,1,41002,42002,45011
16,2,1,2,41002,42002,45012
17,2,2,1,41002,42002,45021
18,2,2,2,41002,42002,45022
19,2,3,1,41002,42002,45031
20,2,3,2,41002,42002,45032
21,2,4,1,41002,42002,45041
22,2,4,2,41002,42002,45042
23,2,5,1,41002,42002,45051
24,2,5,2,41002,42002,45052
25,2,6,1,41002,42002,45061
26,2,6,2,41002,42002,45062
27,2,7,1,41002,42002,45071
28,2,7,2,41002,42002,45072
29,3,1,1,41003,42003,46011
30,3,1,2,41003,42003,46012
31,3,2,1,41003,42003,46021
32,3,2,2,41003,42003,46022
33,3,3,1,41003,42003,46031
34,3,3,2,41003,42003,46032
35,3,4,1,41003,42003,46041
36,3,4,2,41003,42003,46042
37,3,5,1,41003,42003,46051
38,3,5,2,41003,42003,46052
39,3,6,1,41003,42003,46061
40,3,6,2,41003,42003,46062
41,3,7,1,41003,42003,46071
42,3,7,2,41003,42003,46072
