replicate,K,start1_score,start2_score,mean_score,selected_k,best_mean_score,second_best_mean_score,margin,tie_candidates
1,1,-0.5988168836457601,-0.5949300470099413,-0.5968734653278507,3,-0.4601178318844625,-0.48856019445744736,0.02844236257298488,3
1,2,-0.513855417139892,-0.5076292164539475,-0.5107423167969198,3,-0.4601178318844625,-0.48856019445744736,0.02844236257298488,3
1,3,-0.46309372543087296,-0.457141938338052,-0.4601178318844625,3,-0.4601178318844625,-0.48856019445744736,0.02844236257298488,3
1,4,-0.486473437425697,-0.4906469514891977,-0.48856019445744736,3,-0.4601178318844625,-0.48856019445744736,0.02844236257298488,3
1,5,-0.5289574317085848,-0.5732662824215543,-0.5511118570650695,3,-0.4601178318844625,-0.48856019445744736,0.02844236257298488,3
1,6,-0.537417506923822,-0.5509891570671678,-0.5442033319954949,3,-0.4601178318844625,-0.48856019445744736,0.02844236257298488,3
1,7,-0.627729920303359,-0.5255649668532184,-0.5766474435782887,3,-0.4601178318844625,-0.48856019445744736,0.02844236257298488,3
2,1,-0.592883752556166,-0.5925048506437349,-0.5926943015999504,3,-0.4698922425862033,-0.47852779936992007,0.008635556783716747,3
2,2,-0.5210069111051253,-0.5070524448826115,-0.5140296779938685,3,-0.4698922425862033,-0.47852779936992007,0.008635556783716747,3
2,3,-0.4780034575055747,-0.4617810276668319,-0.4698922425862033,3,-0.4698922425862033,-0.47852779936992007,0.008635556783716747,3
2,4,-0.48704164405892286,-0.4700139546809173,-0.47852779936992007,3,-0.4698922425862033,-0.47852779936992007,0.008635556783716747,3
2,5,-0.4994805111910736,-0.5106865612516239,-0.5050835362213488,3,-0.4698922425862033,-0.47852779936992007,0.008635556783716747,3
2,6,-0.5522985439674497,-0.5123599047956129,-0.5323292243815313,3,-0.4698922425862033,-0.47852779936992007,0.008635556783716747,3
2,7,-0.5396686140548217,-0.5802706332780089,-0.5599696236664153,3,-0.4698922425862033,-0.47852779936992007,0.008635556783716747,3
3,1,-0.5950714176965486,-0.5838403825394468,-0.5894559001179978,5,-0.4833578857131504,-0.48410235376247734,0.0007444680493269296,5
3,2,-0.5386973157515896,-0.5331287183207396,-0.5359130170361646,5,-0.4833578857131504,-0.48410235376247734,0.0007444680493269296,5
3,3,-0.5032600661774977,-0.46772625901231635,-0.48549316259490705,5,-0.4833578857131504,-0.48410235376247734,0.0007444680493269296,5
3,4,-0.4662848084875521,-0.5019198990374026,-0.48410235376247734,5,-0.4833578857131504,-0.48410235376247734,0.0007444680493269296,5
3,5,-0.4868082265563306,-0.4799075448699703,-0.4833578857131504,5,-0.4833578857131504,-0.48410235376247734,0.0007444680493269296,5
3,6,-0.5255567743912247,-0.576689499798115,-0.5511231370946699,5,-0.4833578857131504,-0.48410235376247734,0.0007444680493269296,5
3,7,-0.5867682723852231,-0.5679055974740577,-0.5773369349296404,5,-0.4833578857131504,-0.48410235376247734,0.0007444680493269296,5
