n,k_est,bic_impl_mean,bic_impl_std,scf_mean,scf_std,s_laplace_post_mean,s_laplace_post_std,sum_log_det_A_post_mean,sum_log_det_A_post_std,mean_log_det_A_per_node_mean,mean_log_det_A_per_node_std,min_eig_A_mean,min_eig_A_std,max_eig_A_mean,max_eig_A_std,rmse_Z_mean,rmse_Z_std,rmse_X_mean,rmse_X_std,rank_F_mean,rank_F_std,num_params_mean,num_params_std,q_strict_mean,q_strict_std,lnpZ_abs_err_mean,lnpZ_abs_err_std,runtime_s_mean,runtime_s_std
75,1,7341.808369857493,264.9259533983163,7128.967589876792,264.9259533983163,7376.176143161353,253.81593189953776,247.20855328456187,11.118597468144873,3.2961140437941583,0.14824796624193165,19.605327751950885,4.2382521171825225,51.335725329883225,21.54451861343025,1.018436879440477,0.3431909711120245,1.8485630263587902,0.17303374490835788,1.0,0.0,15.0,0.0,-3638.523024077224,132.46297669915816,1.4210854715202004e-14,1.4210854715202004e-14,7.466666666666666,0.07023769168568478
75,2,6472.225118785583,297.90501322654444,6046.543558824182,297.90501322654444,6548.640741049862,286.1057378420746,502.0971822256816,12.89720695068914,6.694629096342422,0.17196275934252317,11.97723471415433,2.9276812186537646,68.17668860421063,19.4508236106138,0.6949207480684447,0.20572049838154619,1.4743823713179236,0.1742567796037441,2.0,0.0,29.0,0.0,-3173.5089817465155,148.9525066132719,9.473903143468002e-15,1.640928159047308e-14,8.196666666666667,0.08326663997864424
75,3,6000.988706144914,24.08353679568132,5362.466366202811,24.08353679568132,6098.516952736608,33.22349719648662,736.0505865337967,13.064341111314926,9.81400782045062,0.17419121481753244,7.980985459527588,2.7831449891029587,62.94820650217317,12.2920941099503,0.31305239747092034,0.015797287991156757,1.1689951437012052,0.046082065417807475,3.0,0.0,42.0,0.0,-2909.8271026881944,12.04176839784066,0.0,0.0,8.423333333333334,0.07234178138070285
75,4,6167.405815499169,25.59034159739475,5316.042695576365,25.59034159739475,6173.478118044976,36.52285480358141,857.4354224686109,16.055180500847193,11.432472299581482,0.2140690733446294,3.7581419162878444,0.3136808067494967,53.56585336242775,11.403830308431637,0.5649054892594902,0.11171910197364382,1.1443577746220044,0.031123190891657992,4.0,0.0,54.0,0.0,-2967.1307286841043,12.795170798697637,3.789561257387201e-14,6.563712636189232e-14,8.453333333333333,0.08326663997864553
75,5,6366.495547424365,46.80558380963596,5302.29164752086,46.80558380963596,6262.672625953345,41.06693818114121,960.3809784324848,13.425155601499128,12.805079712433129,0.17900207468665047,2.917316875558853,0.7454151852187717,49.56475456060309,11.113776260021398,0.6139476086965888,0.10301399041874841,1.1371882788276582,0.0248423316816117,5.0,0.0,65.0,0.0,-3042.9294100222523,23.40279190481798,0.0,0.0,8.58,0.0608276253029825
75,6,6541.92520755137,54.73610049517958,5264.880527667166,54.73610049517902,6340.379442269611,46.901290917492894,1075.4989146024461,14.31803718804282,14.339985528032614,0.19090716250723866,2.4374947855484503,0.46342290515761125,44.658878006168294,8.467030998201222,0.742289792908028,0.051931912608460896,1.1342928331600861,0.030579243803149435,6.0,0.0,75.0,0.0,-3109.0567995180736,27.36805024758979,3.789561257387201e-14,6.563712636189232e-14,8.723333333333333,0.08962886439832515
75,7,6736.341331264656,54.77405047701042,5246.455871399749,54.774050477010285,6425.554601652715,55.49599524736055,1179.0987302529645,10.461691744472061,15.721316403372862,0.13948922325962934,2.1024338529816355,0.49262265515051923,39.631405883243644,6.007508337182908,0.7145031936085736,0.03447582816391683,1.0944339760331596,0.04531428540078388,7.0,0.0,84.0,0.0,-3186.8361648638024,27.387025238505608,3.789561257387201e-14,6.563712636189232e-14,8.913333333333334,0.07234178138070314
150,1,21274.362568195083,157.8256688343596,20848.681008233685,157.82566883435882,21408.187082224766,168.93668613277228,559.5060739910817,12.583369943523893,3.730040493273878,0.08388913295682632,14.65764863621776,6.995425507930535,61.24583283342628,11.112395864779678,0.9217520736024585,0.3181365846054247,2.0051797144811587,0.18204283570268381,1.0,0.0,15.0,0.0,-10599.601519391821,78.9128344171798,9.473903143468002e-15,1.640928159047308e-14,16.523333333333333,0.1814754345175495
150,2,18462.527780653178,433.3637172114453,17611.164660730374,433.3637172114453,18734.392802138584,399.2441498183357,1123.2281414082101,34.120837565605534,7.488187609388068,0.2274722504373706,8.371712306818928,4.140636501509702,86.53542418891307,37.149214667254256,0.6525006788898077,0.058058778622447675,1.5427593677917757,0.043175444531573806,2.0,0.0,29.0,0.0,-9158.609678562194,216.68185860572265,0.0,0.0,18.816666666666666,0.22143471573656534
150,3,16277.425133767023,236.9080900826941,15000.380453882819,236.908090082695,16690.696153854875,223.73633497888983,1690.3156999720566,13.17561913083443,11.268771333147042,0.08783746087222959,8.949973826359136,2.6921448148026412,96.68524961235168,18.682917807930412,0.22299658691496457,0.007570647250271461,1.2153962555755806,0.0200659315134324,3.0,0.0,42.0,0.0,-8033.48922570749,118.45404504134768,0.0,0.0,19.756666666666664,0.13203534880225476
