n,trial,score,argmin_k,k_range_lo,k_range_hi,at_range_boundary,interior_minimum,matches_K_TRUE,monotone_decreasing,monotone_increasing
75,1,bic_impl,3,1,7,False,True,True,False,False
75,1,scf,7,1,7,True,False,False,True,False
75,1,s_laplace_post,3,1,7,False,True,True,False,False
75,2,bic_impl,3,1,7,False,True,True,False,False
75,2,scf,7,1,7,True,False,False,True,False
75,2,s_laplace_post,3,1,7,False,True,True,False,False
75,3,bic_impl,3,1,7,False,True,True,False,False
75,3,scf,7,1,7,True,False,False,False,False
75,3,s_laplace_post,3,1,7,False,True,True,False,False
150,1,bic_impl,3,1,7,False,True,True,False,False
150,1,scf,7,1,7,True,False,False,True,False
150,1,s_laplace_post,3,1,7,False,True,True,False,False
150,2,bic_impl,3,1,7,False,True,True,False,False
150,2,scf,7,1,7,True,False,False,True,False
150,2,s_laplace_post,3,1,7,False,True,True,False,False
150,3,bic_impl,3,1,7,False,True,True,False,False
150,3,scf,7,1,7,True,False,False,True,False
150,3,s_laplace_post,3,1,7,False,True,True,False,False
