run_code_sha,scientific_baseline_sha,reviewed_full_execution_main_sha,protocol_hash,fit_index,estimand,role,K_TRUE,replicate,K,start,data_seed,split_seed,model_seed,mask_design,mask_group_id,anchor_mask_hash,anchor_train_mask_hash,heldout_mean_log_score,internal_retry,warning_count,q_failure,nan_occurred,finite_state,real_full_fits_executed
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,1,A,primary,1,1,1,1,51101,42001,541011,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.5379672597839914,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,2,A,primary,1,1,1,2,51101,42001,541012,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.5241715233222446,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,3,A,primary,1,1,2,1,51101,42001,541021,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.5695931026112778,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,4,A,primary,1,1,2,2,51101,42001,541022,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.5755098950660117,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,5,A,primary,1,1,3,1,51101,42001,541031,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.5964539211096014,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,6,A,primary,1,1,3,2,51101,42001,541032,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.5784214604931504,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,7,A,primary,1,1,4,1,51101,42001,541041,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.5938501593425585,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,8,A,primary,1,1,4,2,51101,42001,541042,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.6038116249433224,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,9,A,primary,1,1,5,1,51101,42001,541051,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.6060464631083319,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,10,A,primary,1,1,5,2,51101,42001,541052,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.5965721513697669,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,11,A,primary,1,1,6,1,51101,42001,541061,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.599662015969446,0,0,False,False,True,336
