fit_index,estimand,role,K_TRUE,replicate,K,start,data_seed,split_seed,split_mask_hash,train_mask_hash,mask_design,mask_group_id,anchor_mask_hash,anchor_train_mask_hash,intentional_seed_reuse,model_seed,w0_true,w_true
1,A,primary,1,1,1,1,51101,42001,,,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,541011,-1.0,1.5
2,A,primary,1,1,1,2,51101,42001,,,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,541012,-1.0,1.5
3,A,primary,1,1,2,1,51101,42001,,,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,541021,-1.0,1.5
4,A,primary,1,1,2,2,51101,42001,,,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,541022,-1.0,1.5
5,A,primary,1,1,3,1,51101,42001,,,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,541031,-1.0,1.5
6,A,primary,1,1,3,2,51101,42001,,,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,541032,-1.0,1.5
7,A,primary,1,1,4,1,51101,42001,,,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,541041,-1.0,1.5
8,A,primary,1,1,4,2,51101,42001,,,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,541042,-1.0,1.5
9,A,primary,1,1,5,1,51101,42001,,,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,541051,-1.0,1.5
10,A,primary,1,1,5,2,51101,42001,,,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,541052,-1.0,1.5
11,A,primary,1,1,6,1,51101,42001,,,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,541061,-1.0,1.5
12,A,primary,1,1,6,2,51101,42001,,,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,541062,-1.0,1.5
13,A,primary,1,1,7,1,51101,42001,,,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,541071,-1.0,1.5
14,A,primary,1,1,7,2,51101,42001,,,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,541072,-1.0,1.5
15,A,primary,1,2,1,1,51102,42002,,,S_C,r2,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,True,542011,-1.0,1.5
16,A,primary,1,2,1,2,51102,42002,,,S_C,r2,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,True,542012,-1.0,1.5
17,A,primary,1,2,2,1,51102,42002,,,S_C,r2,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,True,542021,-1.0,1.5
18,A,primary,1,2,2,2,51102,42002,,,S_C,r2,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,True,542022,-1.0,1.5
