estimand,role,K_TRUE,replicate,selected_k,signed_error,abs_error,label,lineage,run_code_sha,artifact_dir
A,primary,1,1,1,0,0,exact,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
A,primary,1,2,1,0,0,exact,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
A,primary,1,3,1,0,0,exact,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
A,primary,2,1,2,0,0,exact,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
A,primary,2,2,3,1,1,over,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
A,primary,2,3,2,0,0,exact,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
A,primary,3,1,3,0,0,exact,phase7e_anchor,b9311e64a7b36c0a8a9704fff0ee7b38efe36a8a,expfam/results/k_selection/heldout_full_pilot_20260824
A,primary,3,2,3,0,0,exact,phase7e_anchor,b9311e64a7b36c0a8a9704fff0ee7b38efe36a8a,expfam/results/k_selection/heldout_full_pilot_20260824
A,primary,3,3,5,2,2,over,phase7e_anchor,b9311e64a7b36c0a8a9704fff0ee7b38efe36a8a,expfam/results/k_selection/heldout_full_pilot_20260824
A,primary,4,1,4,0,0,exact,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
A,primary,4,2,4,0,0,exact,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
A,primary,4,3,4,0,0,exact,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
A,primary,5,1,4,-1,1,under,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
A,primary,5,2,4,-1,1,under,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
A,primary,5,3,5,0,0,exact,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
B,sensitivity,1,1,1,0,0,exact,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
B,sensitivity,1,2,1,0,0,exact,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
B,sensitivity,1,3,1,0,0,exact,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
B,sensitivity,2,1,2,0,0,exact,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
B,sensitivity,2,2,3,1,1,over,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
B,sensitivity,2,3,2,0,0,exact,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
B,sensitivity,3,1,3,0,0,exact,phase7e_anchor,b9311e64a7b36c0a8a9704fff0ee7b38efe36a8a,expfam/results/k_selection/heldout_full_pilot_20260824
B,sensitivity,3,2,3,0,0,exact,phase7e_anchor,b9311e64a7b36c0a8a9704fff0ee7b38efe36a8a,expfam/results/k_selection/heldout_full_pilot_20260824
B,sensitivity,3,3,5,2,2,over,phase7e_anchor,b9311e64a7b36c0a8a9704fff0ee7b38efe36a8a,expfam/results/k_selection/heldout_full_pilot_20260824
B,sensitivity,4,1,4,0,0,exact,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
B,sensitivity,4,2,4,0,0,exact,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
B,sensitivity,4,3,4,0,0,exact,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
B,sensitivity,5,1,3,-2,2,under,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
B,sensitivity,5,2,4,-1,1,under,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
B,sensitivity,5,3,5,0,0,exact,phase8a_new,ef85b4c921546129b8d4f7440f8a09a41aa652e5,k_true_robustness_full_attempt2_20260904
