scenario,model_fx,model_fy,fix_w,fix_x,condition,is_ablation,is_oracle,n_trials,rmse_Z_mean,rmse_Z_std,rmse_Z_median,oracle_rmse_Z_mean,ratio_vs_oracle_mean,ratio_vs_oracle_median
A,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,False,10,0.9489944144123065,0.06899091008974088,0.9780169288473914,0.2786599020989476,3.4055650176584575,3.5024145302098266
A,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",False,False,10,0.7898188339665179,0.23619196398192613,0.7233770949984957,0.2786599020989476,2.834346915424043,2.5905138997231405
A,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,False,10,0.7824851965532256,0.24580785326675694,0.7126811071519783,0.2786599020989476,2.808029395902744,2.5522100808999433
A,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",False,False,10,0.7020930419415256,0.05945845285015591,0.6952261465791383,0.2786599020989476,2.5195337996358864,2.489701441497758
A,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",False,False,10,0.7140186173212886,0.08328092554845472,0.7090570978456013,0.2786599020989476,2.5623299654636074,2.539231999971192
A,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",False,False,10,0.775828967705427,0.042980381143257376,0.7923010472340584,0.2786599020989476,2.784142827373645,2.8373401505466482
A,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",False,True,10,0.2786599020989476,0.010480878105778909,0.2792407695923987,0.2786599020989476,1.0,1.0
A,poisson,bernoulli,False,True,Y-only (fix_x),True,False,10,0.3476846262439922,0.015317316512468222,0.34412878431570293,0.2786599020989476,1.2477023914281542,1.2323729977467823
A,poisson,bernoulli,True,False,X-only (fix_w),True,False,10,0.5980748526570479,0.09126410880860614,0.5904980096153707,0.2786599020989476,2.1462537241711988,2.114655429711453
A,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,False,10,0.2956917927290338,0.014162344166350224,0.2949690709821833,0.2786599020989476,1.0611207084399192,1.056325232926205
