k,split_trial,model_trial,model_seed,split_seed,condition,family_y,nb_r,w0,w,bic_train,nan_occurred,runtime_s,r_hat_train,train_n_pairs,train_rmse,train_mae,train_pearson,train_spearman,train_mean_ll,train_pearson_dispersion,train_hc_density,train_hc_auc,train_hc_ap,test_n_pairs,test_rmse,test_mae,test_pearson,test_spearman,test_mean_ll,test_pearson_dispersion,test_hc_density,test_hc_auc,test_hc_ap
3,0,0,42300,41000,poisson_strict,poisson,,3.4087443525443133,0.27333798705018586,29083.35874748311,False,9.14,175.04007817683362,3960,6.928779611800287,5.280693979031307,0.9445246571191598,0.944336391699976,-3.355053278590603,1.129908764590035,0.06893939393939394,0.9853609007392571,0.8648925381684647,990,7.687514212687137,5.9098684985215435,0.9342834331755061,0.9312172901207936,-3.4665410191017725,1.3635484916394094,0.06767676767676768,0.9815009459743536,0.8311735201019035
3,0,0,42300,41000,nb_strict,nb,175.04007817683362,3.389886064249898,0.2782665757927359,29078.737705294232,False,9.38,175.04007817683362,3960,7.054139844614909,5.37540309913753,0.9424334839525302,0.9438500501349079,-3.3584427336634564,1.1353024180593967,0.06893939393939394,0.9842213658324318,0.8560837222663881,990,7.819790309560639,5.9540646800991235,0.9318889994699625,0.9307660597453102,-3.4443373041362,1.3670088433592924,0.06767676767676768,0.9790268592034411,0.8047203792566571
3,0,0,42300,41000,poisson_full,poisson,,3.413910932657267,0.2716312586360001,35783.777473228285,False,8.53,,3960,6.970193471694156,5.286247166350194,0.9440423286046649,0.9442979180624836,-3.354835746311062,1.1259785781203377,0.06893939393939394,0.9840147195720833,0.8597100493830573,990,7.177333643261808,5.482887415043521,0.9431778807022598,0.9417877707683426,-3.376972549652588,1.178594802697464,0.06767676767676768,0.9827622451124658,0.8387672302881372
3,0,1,42301,41000,poisson_strict,poisson,,3.4124896864654546,0.2723431540605419,29074.87911279115,False,8.57,200.2468941511262,3960,6.940419364556673,5.298602644012332,0.9444126492271766,0.944564188101951,-3.3512589229370824,1.1208121159884417,0.06893939393939394,0.9835666548441163,0.8564049517574828,990,7.784312679169739,5.891043730797239,0.9326625160144257,0.9318270899821379,-3.4634851737414007,1.3554921562349365,0.06767676767676768,0.977959606086577,0.7982745504863005
3,0,1,42301,41000,nb_strict,nb,200.2468941511262,3.3961050136622353,0.2772854675572084,29062.01376778252,False,8.75,200.2468941511262,3960,7.00999050021031,5.332325472705775,0.9431101021214079,0.9447199822243578,-3.3527914196768736,1.1259255254952594,0.06893939393939394,0.98264966206382,0.8465688282958481,990,7.847830461468548,5.917092980841838,0.9314411409496947,0.9316641047937455,-3.4435575589822016,1.3699587091675345,0.06767676767676768,0.9767468184537766,0.7902434113615362
3,0,1,42301,41000,poisson_full,poisson,,3.4173588121961633,0.2708493024703492,35778.66014524968,False,8.52,,3960,6.943075629287101,5.250401443956374,0.9443423068990626,0.9451941244140335,-3.351024927269589,1.1208368007892087,0.06893939393939394,0.9822542523925762,0.8465558895825306,990,7.163488355980747,5.464154889851067,0.9434897793966871,0.942207256324367,-3.3751171974447054,1.18168840218836,0.06767676767676768,0.9834090651832926,0.8324742733877485
5,0,0,42500,41000,poisson_strict,poisson,,3.1571089113392494,0.26185764480476903,31602.39194462374,False,8.6,24.107936572395687,3960,7.603726193525011,6.116841246865032,0.955874675397339,0.95757294813772,-3.55376552417909,1.7432539145256671,0.06893939393939394,0.9898634048349264,0.8957328118352399,990,13.877939207955187,7.232853123409289,0.843209584927933,0.934606181017743,-4.07501000146673,2.5827522188920176,0.06767676767676768,0.9840720557558902,0.8071115282348676
5,0,0,42500,41000,nb_strict,nb,24.107936572395687,3.3366845104460103,0.2001089769592188,30420.904992751104,False,9.26,24.107936572395687,3960,6.69086544214881,5.064664793438586,0.948429236558474,0.9505026062727239,-3.4729082184697346,0.9810120673032033,0.06893939393939394,0.9856142411065113,0.8659186199394635,990,7.727734484659214,5.583299990675886,0.9336687685957721,0.9372661037451163,-3.5151025812699324,1.2584329851676368,0.06767676767676768,0.9743212431881761,0.7633622475173926
5,0,0,42500,41000,poisson_full,poisson,,3.393246025952079,0.19247289224112252,34521.81088793541,False,9.5,,3960,5.679191796427921,4.3154547451887435,0.963179856956718,0.9630665108527213,-3.170511188848759,0.765998040856144,0.06893939393939394,0.9880790938561482,0.8860313080819073,990,5.821044116714044,4.386869359357805,0.9631950020001615,0.9628050676547323,-3.1746015277936754,0.7767473401451299,0.06767676767676768,0.9918177261040411,0.906149665215303
5,0,1,42501,41000,poisson_strict,poisson,,3.3848305390935676,0.1941520406240018,28186.975979208437,False,9.56,1000000.0,3960,5.649407750417623,4.32545809634699,0.9634229372694061,0.963074500208176,-3.165510757413212,0.758592927437238,0.06893939393939394,0.9893686460000536,0.8976582694699773,990,6.589442290778129,5.0028089669672235,0.9522224109102277,0.9505952296123479,-3.2823570586072868,0.9816144420541655,0.06767676767676768,0.9872899856082534,0.8744987675926367
