r_true_tag,fit_condition,n_trials,n_nan,rmse_Z_mean,rmse_Z_std,rmse_F_mean,rmse_F_std,w0_err_mean,w0_err_std,w_err_mean,w_err_std,test_mean_ll_mean,test_mean_ll_std,test_rmse_mean,test_rmse_std,test_pearson_mean,test_pearson_std,test_pearson_dispersion_mean,test_pearson_dispersion_std,train_pearson_dispersion_mean,train_pearson_dispersion_std,bic_train_mean,bic_train_std,y_var_mean_ratio_gen_mean,y_var_mean_ratio_gen_std,runtime_s_mean,runtime_s_std
2,nb_moment,5,0,0.4471298300421049,0.026376294281777308,0.30604634018952936,0.03232105927327709,0.009129638347556623,0.004771727054335801,0.004060317964462457,0.0038389612452083056,-2.625555598850298,0.032990858252626286,5.12422930903507,0.4499811939789527,0.392376969700543,0.06201081291218303,4.283345389208796,0.5289691495244216,3.471520694384266,0.06824959795809456,23010.43616850089,72.6221737929369,6.360464165162069,0.6417030183496878,8.99,0.472916483113033
2,nb_oracle,5,0,0.44112842007691155,0.01777105378521573,0.30457847515490905,0.02490635827575644,0.01070852703993772,0.005352192918844142,0.004284261873417183,0.0018797558508720227,-2.6172714316697547,0.03433550699432274,5.031866540607377,0.35306566264334954,0.4179843315424706,0.05765468101018048,4.233840468504622,0.5264865810986572,3.5283479485128,0.08015061896056556,23006.109924344353,92.43526592169096,6.360464165162069,0.6417030183496878,8.928,0.30962881002904136
2,poisson,5,0,0.3801358122476091,0.018432720227197476,0.26853077306560935,0.01816360577348219,0.018368025043216017,0.013009906505851375,0.025586543265915918,0.0038503613032058654,-3.3772143798563357,0.10711950569380639,5.123167888152732,0.298024329239755,0.432627620114748,0.07012600262536726,4.168134462580367,0.45875232670607824,3.1292529241140046,0.07761141865296743,26551.103455909004,176.73680993092177,6.360464165162069,0.6417030183496878,8.510000000000002,0.3236510466536455
20,nb_moment,5,0,0.27358898123679387,0.010402244391622937,0.2760393644082004,0.022804489086711496,0.007987694764686326,0.002575687581871624,0.0040474596349314605,0.002657778051967796,-2.321693284128314,0.02055881914241307,2.981179942236011,0.12192076987770006,0.6893047588275261,0.03175688156143646,1.53059293752433,0.06795906458822215,1.269940730420009,0.03750748170301379,20512.285051021834,55.72612534748498,3.4011201171469687,0.21695337209435658,10.686,0.8835609769563162
20,nb_oracle,5,0,0.26791734267781375,0.012556041669101632,0.27591840277068824,0.02466787178955527,0.007952437943761482,0.002339480480193196,0.0037754031985095414,0.002353598136280181,-2.3231924336920358,0.025554306633460817,2.9945343268080418,0.12219689003979506,0.6886328546494385,0.026906030427008756,1.530861572899322,0.08334035545483169,1.2714881189511487,0.03451036916150474,20507.94156171021,54.51337741971869,3.4011201171469687,0.21695337209435658,10.734,1.0398701842057019
20,poisson,5,0,0.25213979585375224,0.008722287772004901,0.2688300956519781,0.020169965617593565,0.007210364127930769,0.001566043421588457,0.003743998394328685,0.00275023424313006,-2.359421793998613,0.03474628888062689,2.958822747401655,0.1671798553947938,0.6971690260831183,0.039083838398207164,1.5097141207754983,0.10067939854370665,1.241989968306876,0.028609913262937516,20532.901557113808,67.61361373091748,3.4011201171469687,0.21695337209435658,10.203999999999999,0.9258671610981782
5,nb_moment,5,0,0.32798537852988985,0.014625143565874455,0.2750629968330331,0.01537419647389783,0.011333943602256414,0.00865552340983218,0.0040283495543775305,0.00328460219362103,-2.474684440087608,0.03717669359280649,3.9306012945665763,0.39754831516565037,0.5542075253870465,0.0615401773438316,2.4177923255254234,0.2076213512987853,2.0139985166937646,0.05400342451016408,21861.162562703263,120.62235443205817,4.334694826627785,0.19968128479220693,8.796,0.14570518178843203
5,nb_oracle,5,0,0.3367436012449114,0.013381079808166812,0.27444435569080194,0.01182877671697905,0.011811788033248005,0.008199841945725388,0.00407581518133161,0.0024081489597176844,-2.4797106581872854,0.033726689332378115,3.9363980637151217,0.34678607336570694,0.543785614328901,0.05134897567496955,2.440359199001887,0.19746092894238876,2.014957770973097,0.045992423789606794,21865.389496896336,114.10801085299374,4.334694826627785,0.19968128479220693,8.852,0.31554714386284677
5,poisson,5,0,0.2981346063665031,0.013378478586076334,0.25975127066924897,0.012161316226140906,0.009857293629704245,0.006407682045290052,0.009262202826010313,0.0046302600607021184,-2.7132215117703447,0.06183214531442778,3.8059634231083463,0.30291987773035683,0.5804006840627242,0.026116186758037643,2.365559295165742,0.15976466123685348,1.8905468995543278,0.0477869675384908,22716.478570520158,180.47433531316037,4.334694826627785,0.19968128479220693,8.632,0.7167426316328616
inf,nb_moment,5,0,0.23732257105241752,0.006344977954986036,0.2646186963517164,0.023321369842671993,0.0053922675262138235,0.0036664708075363137,0.0012225858628973963,0.0006265382302141309,-2.2291017449714374,0.019387532467459754,2.546123500600377,0.05993931443033163,0.7624878932415153,0.01055514315015645,1.2020741467904703,0.05111633320421877,0.9900773199477584,0.026059456737339944,19668.38329611088,93.86215892615677,3.1041135447958634,0.1935081566164036,10.568000000000001,0.6574724328821705
inf,poisson,5,0,0.23617382915406684,0.008049484371977477,0.2616583063946557,0.0220162879876462,0.005516185528575868,0.0035238296230249897,0.0011815152132956808,0.0008742932810749854,-2.229795880466006,0.01999452927518502,2.5502550999484654,0.05728868437081963,0.7612476647804457,0.011036842782057037,1.1994738185300169,0.047972649576444246,0.9892043699402239,0.02601585192799465,19658.451916659422,90.80980546277445,3.1041135447958634,0.1935081566164036,9.684,0.5487986880450795
