condition,step,trial,n_cols_used,rmse_Z,w0_err,w_err,train_y_ll,test_y_ll,test_y_rmse,nan_occurred,runtime_s
y_only,0,0,0,0.25960545117747463,0.011439656865376069,0.0029620740692615777,-1.9541199691488633,-1.999405748954632,1.925448709682048,False,5.26
bern_only,1,0,3,0.26551427498985625,0.01046924504590474,0.0041897022153950525,-1.954633020536866,-2.0009000822969356,1.9281932868333,False,6.68
bern_gauss,2,0,6,0.18778735027476665,0.009997244083315815,0.0030763574246098213,-1.9604993761038036,-1.9918109169982032,1.9031500438705247,False,7.19
bern_gauss_pois,3,0,9,0.18209681527265423,0.010988873695579882,0.0033391606115708017,-1.9611119311558085,-1.9909472160410968,1.8999495585244468,False,7.98
bern_gauss_pois_noise3,4,0,12,0.18320409029420737,0.010854030516543878,0.0032814396931113987,-1.9608785051540136,-1.9925797052753558,1.903545652223523,False,7.99
y_only,0,1,0,0.3231520991917838,3.879734409406588e-05,0.00782459697747584,-1.986148370972962,-2.0353869307743726,2.2611928424714822,False,5.14
bern_only,1,1,3,0.31763207154172374,0.0001447360893847005,0.007933770551943553,-1.9855066099445964,-2.031359016856745,2.2569709798305593,False,6.66
bern_gauss,2,1,6,0.2382781752406825,0.0014078911031716324,0.007689172121522592,-1.9901821395651222,-1.9821585798778094,2.1009902064793966,False,7.16
bern_gauss_pois,3,1,9,0.24296463840994392,0.0022299942933645678,0.007003660959945535,-1.9884234683649697,-1.9911296656060269,2.1325173444855583,False,7.95
bern_gauss_pois_noise3,4,1,12,0.24864117445280437,0.0016796621147001645,0.0067957552406881505,-1.9883773984476367,-1.9916345890344962,2.1337419053152114,False,7.98
y_only,0,2,0,0.3018943891312118,0.00953898660464425,0.0015040503200485222,-1.957432744136764,-2.0857213202290534,2.192636456119806,False,5.07
bern_only,1,2,3,0.304028464098227,0.00840731197248612,0.0008761299906783759,-1.9581306545018906,-2.09380701645773,2.352603181755263,False,6.55
bern_gauss,2,2,6,0.2671425642428222,0.008980493333989648,0.003779366876961454,-1.9568929402617146,-2.074400584661449,2.16180345134812,False,7.18
bern_gauss_pois,3,2,9,0.2606105008392886,0.008615741620708883,0.001226097416638594,-1.9581172394754567,-2.061982880096823,2.108667249856046,False,8.14
bern_gauss_pois_noise3,4,2,12,0.25969803508829037,0.0088023790117302,0.001023405954551082,-1.957855367097067,-2.0615904305114716,2.1084848197882806,False,7.96
