condition,split,model_trial,n_cols_used,test_y_ll,test_y_rmse,test_spearman,train_y_ll,w0,w,nan_occurred,runtime_s
y_only,0,0,0,-3.4325055240046285,7.441813282932653,0.9365371949013831,-3.372088769365685,3.4313998748918744,0.2680030056720901,False,7.39
genre_only,0,0,19,-3.416049971683296,7.3274088933658685,0.939118718148772,-3.3594261891395543,3.4105419114530986,0.2720616862903972,False,8.54
rating_stats_only,0,0,3,-3.869970219946761,9.590570424199937,0.8898154423814639,-3.730718272349028,3.1621107644554103,0.3280377205522043,False,9.55
mixed_percolumn,0,0,22,-3.8472115045528157,9.47458972928429,0.8934993252339563,-3.7213134387215865,3.1546460614959644,0.32961264958990033,False,11.17
mixed_all_gaussian,0,0,22,-3.432835159157777,7.403819335417682,0.9365089877845633,-3.373086023742648,3.4325988818491364,0.2671040458785711,False,7.4
mixed_all_bernoulli,0,0,22,-4.157285467349303,10.966058337129688,0.9131075077479144,-4.03519984029395,3.0061606030060677,0.3539945065139221,False,8.49
y_only,0,1,0,-3.4605951351939357,7.6368835876943,0.9324236621855245,-3.370664680123766,3.4323675006912198,0.2682038592577861,False,7.62
genre_only,0,1,19,-3.4323613103987305,7.481359212625216,0.9357371295015302,-3.3529199883859513,3.410500986601128,0.27272329839993414,False,8.71
rating_stats_only,0,1,3,-3.8261226508233506,9.386761752467084,0.894642328814446,-3.711983858490934,3.1492519870409237,0.33207698988702017,False,12.81
mixed_percolumn,0,1,22,-3.8220955244923744,9.361674614728061,0.8943696765102958,-3.7173186250378367,3.1430612175609887,0.3328979869278143,False,14.84
mixed_all_gaussian,0,1,22,-3.4300288852750813,7.3887106168987176,0.9374650488684022,-3.372756158016097,3.434156930329584,0.266912086555273,False,9.45
mixed_all_bernoulli,0,1,22,-4.106919462712516,10.762802547579053,0.9139462319259388,-3.987915503320625,2.995388294097001,0.35664464779371424,False,11.88
y_only,1,0,0,-3.461051483440118,7.648047599346229,0.9303091058863546,-3.3665351442639886,3.438029076351739,0.2681619346151309,False,10.93
genre_only,1,0,19,-3.4264187030681503,7.452235112577482,0.9342990804021535,-3.3503740667535533,3.4144066716918284,0.2733074686487348,False,13.18
rating_stats_only,1,0,3,-3.775988551044329,9.186481434333794,0.895883737888505,-3.723462523358786,3.1571467140503757,0.3305246424091317,False,11.4
mixed_percolumn,1,0,22,-3.7947524270850774,9.263902407482322,0.8944254150449785,-3.7362885883305244,3.153980904334615,0.33070877504769175,False,12.08
mixed_all_gaussian,1,0,22,-3.4561628095857864,7.63793227507972,0.9312852338070129,-3.3654326316421965,3.436607338833499,0.2678037250868065,False,6.5
mixed_all_bernoulli,1,0,22,-4.197102618271712,11.004625470775848,0.9021937447679964,-4.023855383173223,3.000743469587351,0.35509036772405256,False,7.4
y_only,1,1,0,-3.4599148039592924,7.681431426526059,0.9304643478024217,-3.3657173789452277,3.436770009600484,0.26844610714964495,False,6.49
genre_only,1,1,19,-3.417119183382545,7.380586548450965,0.9347231786570457,-3.3517159422170977,3.414364294508707,0.2723113825516452,False,7.33
rating_stats_only,1,1,3,-3.7917623030252345,9.265946331831271,0.8958400138686422,-3.7300977770307284,3.1588572376043467,0.32924150997738716,False,8.09
mixed_percolumn,1,1,22,-3.794878819800435,9.247640807736442,0.893597181920784,-3.7250636142456752,3.15389528559401,0.33064924645305416,False,9.97
mixed_all_gaussian,1,1,22,-3.5004452569755156,7.8945387750794485,0.9263054204579622,-3.367137749219566,3.4381639103707675,0.2679922623790882,False,6.51
mixed_all_bernoulli,1,1,22,-4.214186186698245,11.088457449813758,0.9041920747179377,-4.036745356650983,2.996245703255736,0.356622681545824,False,7.28
